Comment,Designator,Footprint,LCSC,Quantity
100n,"C10,C11,C13,C14,C22,C8,C9",C_0402_1005Metric,C1525,7
100p,C3,C_0201_0603Metric,C1546,1
10m,"R3,R5",R_0402_1005Metric,C3024467,2
15k,"R23,R8",R_0402_1005Metric,C25756,2
1k,"R1,R7",R_0402_1005Metric,C11702,2
1u,"C1,C12,C5,C6",C_0402_1005Metric,C52923,4
32MHz,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C383840,1
33k,R4,R_0402_1005Metric,C25779,1
470n,C18,C_0402_1005Metric,C47339,1
47n,L1,L_0402_1005Metric,C22334,1
47n,"C4,C7",C_0402_1005Metric,C5142571,2
510,"R2,R6",R_0402_1005Metric,C25123,2
51k,"R10,R24,R9",R_0402_1005Metric,C25794,3
68p,C2,C_0201_0603Metric,C14441,1
AO3401A,Q1,SOT-23,C15127,1
Antenna_Shield,AE1,ANT-SMD_1909763-1,C392444,1
BALFHB-WL-02D3,U2,CSPG-8_L2.1-W1.8_BALFHB-WL-03D3,C5350082,1
BGS12P2L6,U1,Infineon_PG-TSNP-6-10_0.7x1.1mm_0.7x1.1mm_P0.4mm,C3312945,1
DS8242,U4,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C5884134,1
D_Zener,D3,D_SOD-323F,C7420320,1
INA2180,U7,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C83224,1
LED,"D1,D2",LED_0603_1608Metric,C89811,2
STM32WLE4CCUx,U3,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C2888218,1
TPS25970LRPWR,"U5,U6",QFN-10-2x2-hotrod,C3662801,2
Conn_01x04,J2,PinHeader_1x04_P2.54mm_Vertical,,1
Power 1,J7,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,,1
Power 1,J3,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,,1
Conn_01x06,J5,PinHeader_1x06_P1.27mm_Vertical,,1
Power 1,J4,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,,1
Power 1,J1,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,,1
