Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Shield,ANT-SMD_1909763-1,6.7668,-1.7053,180.0,top
C1,1u,C_0402_1005Metric,5.0546,-23.5458,-90.0,top
C10,100n,C_0402_1005Metric,8.2282,-18.9436,-90.0,top
C11,100n,C_0402_1005Metric,3.2512,-14.5034,-90.0,top
C12,1u,C_0402_1005Metric,3.076,-2.8956,0.0,top
C13,100n,C_0402_1005Metric,12.6732,-10.7902,90.0,top
C14,100n,C_0402_1005Metric,11.5302,-18.5118,0.0,top
C18,470n,C_0402_1005Metric,9.6506,-18.7658,0.0,top
C2,68p,C_0201_0603Metric,5.9628,-5.0279,180.0,top
C22,100n,C_0402_1005Metric,2.8702,-10.0076,180.0,top
C3,100p,C_0201_0603Metric,5.8168,-8.0728,-90.0,top
C4,47n,C_0402_1005Metric,3.5668,-7.4828,-90.0,top
C5,1u,C_0402_1005Metric,10.5644,-3.048,180.0,top
C6,1u,C_0402_1005Metric,15.0602,-1.778,-90.0,top
C7,47n,C_0402_1005Metric,2.8956,-9.017,0.0,top
C8,100n,C_0402_1005Metric,4.723,-18.5118,180.0,top
C9,100n,C_0402_1005Metric,7.2376,-18.9436,-90.0,top
D1,LED,LED_0603_1608Metric,2.9718,-24.1808,180.0,bottom
D2,LED,LED_0603_1608Metric,1.6764,-11.3792,180.0,bottom
D3,D_Zener,D_SOD-323F,11.3186,-4.4958,0.0,top
J1,Power 1,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,1.2972,-2.2606,270.0,bottom
J2,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,10.668,-23.7998,90.0,bottom
J3,Power 1,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,1.27,-7.9094,270.0,bottom
J4,Power 1,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,1.2446,-15.2554,270.0,bottom
J5,Conn_01x06,PinHeader_1x06_P1.27mm_Vertical,11.5062,-21.59,270.0,bottom
J7,Power 1,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,1.1702,-20.5486,270.0,bottom
L1,47n,L_0402_1005Metric,5.2368,-9.2528,0.0,top
Q1,AO3401A,SOT-23,11.0368,-7.3891,-90.0,top
R1,1k,R_0402_1005Metric,2.7178,-24.1808,0.0,top
R10,51k,R_0402_1005Metric,13.8918,-4.191,0.0,top
R2,510,R_0402_1005Metric,3.81,-4.9276,-90.0,top
R23,15k,R_0402_1005Metric,2.6416,-1.2192,90.0,top
R24,51k,R_0402_1005Metric,3.7592,-1.2192,-90.0,top
R3,10m,R_0402_1005Metric,2.54,-7.4676,-90.0,top
R4,33k,R_0402_1005Metric,8.5852,-9.271,180.0,top
R5,10m,R_0402_1005Metric,3.6576,-23.114,180.0,top
R6,510,R_0402_1005Metric,2.5146,-20.8788,90.0,top
R7,1k,R_0402_1005Metric,1.0414,-9.9568,0.0,top
R8,15k,R_0402_1005Metric,2.1844,-17.8582,90.0,top
R9,51k,R_0402_1005Metric,3.175,-17.8582,-90.0,top
U1,BGS12P2L6,Infineon_PG-TSNP-6-10_0.7x1.1mm_0.7x1.1mm_P0.4mm,6.7928,-4.0479,90.0,top
U2,BALFHB-WL-02D3,CSPG-8_L2.1-W1.8_BALFHB-WL-03D3,6.5068,-6.3928,90.0,top
U3,STM32WLE4CCUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,8.0589,-13.8958,180.0,top
U4,DS8242,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,12.6264,-1.844,0.0,top
U5,TPS25970LRPWR,QFN-10-2x2-hotrod,4.433,-21.1694,180.0,top
U6,TPS25970LRPWR,QFN-10-2x2-hotrod,1.894,-4.9494,0.0,top
U7,INA2180,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,14.3136,-13.904,90.0,top
Y1,32MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,2.268,-11.9982,90.0,top
