Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Shield,ANT-SMD_1909763-1,3.6468,-20.1253,0.0,bottom
C10,100n,C_0402_1005Metric,11.6078,-18.4658,-90.0,top
C13,1u,C_0402_1005Metric,7.7968,-18.0628,-90.0,top
C14,100n,C_0402_1005Metric,11.2268,-5.2578,180.0,top
C15,1u,C_0402_1005Metric,6.8485,-18.0824,-90.0,top
C17,100n,C_0402_1005Metric,14.7468,-11.1503,90.0,top
C18,100n,C_0402_1005Metric,10.6172,-18.4912,-90.0,top
C19,100n,C_0402_1005Metric,5.842,-16.4592,-90.0,top
C20,100n,C_0402_1005Metric,4.9468,-11.3628,180.0,top
C21,100n,C_0402_1005Metric,15.1468,-14.7628,0.0,top
C22,100n,C_0402_1005Metric,9.6012,-7.5184,90.0,top
C26,220n,C_0402_1005Metric,16.2468,-1.0628,0.0,top
C27,22n,C_0402_1005Metric,18.4468,-2.0628,0.0,top
C28,220n,C_0402_1005Metric,23.9468,-16.0628,0.0,top
C29,100n,C_0402_1005Metric,22.0468,-16.0628,180.0,top
C30,22n,C_0402_1005Metric,20.1448,-16.0528,180.0,top
C4,100n,C_0402_1005Metric,16.2468,-2.0628,0.0,top
C5,1u,C_0402_1005Metric,3.5668,-12.3628,0.0,top
C6,1u,C_0402_1005Metric,2.0468,-8.1628,0.0,top
D1,LED,LED_0603_1608Metric,7.6708,-4.4958,180.0,bottom
D3,LED,LED_0603_1608Metric,2.4384,-6.8834,0.0,bottom
D4,D_Schottky,D_SOD-323F,3.4468,-20.7628,0.0,top
J1,Power 1,wago2pin3mmspace,12.2428,-22.1488,0.0,bottom
J2,USB_B_Micro,MICRO-USB-SMD_U254-051T-4BHJ25-F2S,9.0468,-21.6853,0.0,top
J3,Power 1,wago2pin3mmspace,20.6248,-16.0528,0.0,bottom
J4,Power 1,wago2pin3mmspace,20.6248,-9.9568,0.0,bottom
J7,Power 1,wago2pin3mmspace,16.5608,-3.8608,0.0,bottom
J8,Conn_01x03,PinHeader_1x03_P2.00mm_Vertical,8.6468,-1.6628,90.0,bottom
Q1,AO3401A,SOT-23,3.0468,-14.5628,0.0,top
Q2,AO3401A,SOT-23,23.7592,-18.5143,-90.0,top
Q3,AO3401A,SOT-23,3.0468,-17.9628,180.0,top
Q4,AO3401A,SOT-23,12.4468,-2.9628,180.0,top
R1,1k,R_0402_1005Metric,7.0612,-4.4958,180.0,top
R11,1k,R_0402_1005Metric,20.7006,-6.3896,0.0,top
R12,50k,R_0402_1005Metric,20.5468,-2.4728,90.0,top
R14,5.1k,R_0402_1005Metric,17.8816,-11.3284,90.0,top
R15,5.1k,R_0402_1005Metric,15.9766,-11.3538,90.0,top
R16,5.1k,R_0402_1005Metric,16.9418,-11.3538,90.0,top
R17,5.1k,R_0402_1005Metric,23.6944,-6.8002,-90.0,top
R18,5.1k,R_0402_1005Metric,22.7292,-6.8002,-90.0,top
R19,5.1k,R_0402_1005Metric,20.7006,-7.3396,0.0,top
R21,50k,R_0402_1005Metric,19.2468,-14.2628,-90.0,top
R23,27k,R_0402_1005Metric,21.5392,-18.3134,90.0,top
R24,51k,R_0402_1005Metric,20.1422,-17.9832,180.0,top
R25,1k,R_0402_1005Metric,19.5468,-3.5628,-90.0,top
R3,1k,R_0402_1005Metric,17.4264,-15.2146,0.0,top
R4,22R,R_0402_1005Metric,9.6968,-18.3753,90.0,top
R5,22R,R_0402_1005Metric,8.7468,-18.4253,-90.0,top
R6,5.1k,R_0402_1005Metric,7.9468,-6.9628,-90.0,top
R7,27k,R_0402_1005Metric,23.2286,-5.0396,180.0,top
R8,51k,R_0402_1005Metric,21.3236,-5.0396,180.0,top
R9,1k,R_0402_1005Metric,3.6322,-6.9088,180.0,top
U1,E22-900MM22S,WIRELM-SMD_E22-400MM22S,7.4968,-12.8128,90.0,bottom
U2,TPS1HC30BQPWPRQ1,HTSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL-EP-3,16.6624,-6.4008,0.0,top
U4,XC6206P332MR,SOT-23-3,2.0468,-10.7628,-90.0,top
U5,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,16.3068,-20.4023,90.0,top
U6,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,10.068,-12.5645,180.0,top
U7,TPS1HC30BQPWPRQ1,HTSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL-EP-3,21.9926,-11.7024,180.0,top
X1,SX1M12.000M10F30TNN,OSC-SMD_4P-L2.0-W1.6-BL,11.7348,-7.0104,180.0,top
