Comment,Designator,Footprint,LCSC,Quantity
100n,"C1,C10,C12,C14,C17,C18,C19,C20,C4,C7",C_0402_1005Metric,C1525,10
10p,C8,C_0402_1005Metric,C32949,1
10u,"C11,C9",C_0603_1608Metric,C96446,2
111k,R10,R_0603_1608Metric,C25805,1
1M,"R13,R2",R_0402_1005Metric,C26083,2
1k,"R1,R11,R22,R25,R3,R9",R_0402_1005Metric,C11702,6
1u,"C13,C15,C5,C6",C_0402_1005Metric,C52923,4
1uH,L1,L_1008_2520Metric,C17701215,1
22R,"R4,R5",R_0402_1005Metric,C25092,2
22u,"C23,C24,C25",C_0603_1608Metric,C59461,3
27k,"R23,R7",R_0402_1005Metric,C25771,2
5.1k,"R14,R15,R16,R17,R18,R19,R6",R_0402_1005Metric,C25905,7
50k,"R12,R21",R_0402_1005Metric,C25897,2
51k,"R24,R8",R_0402_1005Metric,C25794,2
AO3401A,"Q2,Q3",SOT-23,C15127,2
Antenna_Shield,AE1,ANT-SMD_1909763-1,C392444,1
D_Schottky,D4,D_SOD-323F,C191023,1
LED,"D1,D2,D3",LED_0603_1608Metric,C89811,3
RP2040,U6,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
SX1M12.000M10F30TNN,X1,OSC-SMD_4P-L2.0-W1.6-BL,C2901608,1
TPS1HC30BQPWPRQ1,"U2,U7",HTSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL-EP-3,C7496534,2
TPS63060DSCR,U3,WSON-10_L3.0-W3.0-P0.50-BL-EP-A,C48567,1
USB_B_Micro,J2,MICRO-USB-SMD_U254-051T-4BHJ25-F2S,C381143,1
W25Q128JVS,U5,SOIC-8_5.3x5.3mm_P1.27mm,C97521,1
XC6206P332MR,U4,SOT-23-3,C5446,1
100n,C22,C_0402_1005Metric,,1
100n,C21,C_0402_1005Metric,,1
22n,C27,C_0402_1005Metric,,1
100n,C29,C_0402_1005Metric,,1
220n,C28,C_0402_1005Metric,,1
22n,C30,C_0402_1005Metric,,1
220n,C26,C_0402_1005Metric,,1
