Comment,Designator,Footprint,LCSC
1k,"R14,R16,R17,R2,R22,R26,R27,R28,R3",R_0402_1005Metric,C11702
100n,"C1,C11,C12,C13,C16,C17,C2,C21,C22,C23,C24,C25,C26,C27,C3,C4",C_0402_1005Metric,C1525
BMI088,U2,LGA-16_L4.5-W3.0-P0.50-BL,C194919
RP2040,U8,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
AO3400A,"Q2,Q3,Q4,Q5",SOT-23,C20917
22R,"R15,R18",R_0402_1005Metric,C25092
15k,"R10,R11,R21,R23,R4",R_0402_1005Metric,C25756
2k2,"R6,R7",R_0402_1005Metric,C25879
5.1k,"R1,R12,R13,R24,R25,R5",R_0402_1005Metric,C25905
SX1M12.000M10F30TNN,X2,OSC-SMD_4P-L2.0-W1.6-BL,C2901608
AO3401A,Q1,SOT-23,C306862
USB_B_Micro,J7,MICRO-USB-SMD_U254-051T-4BHJ25-F2S,C381143
ADXL375BCCZ-RL7,U4,LGA-14_L5.0-W3.0-P0.80-BL,C481898
1u,"C10,C18,C19,C8",C_0402_1005Metric,C52923
AMS1117-3.3,U5,SOT-223-3_TabPin2,C6186
D,D1,D_SOD-123,C64898
BMP388,U3,SENSORM-SMD_BMP388,C779278
10u,"C5,C6,C7",C_0603_1608Metric,C96446
W25Q128JVS,U9,SOIC-8_5.23x5.23mm_P1.27mm,C97521
LED,D2,LED_0805_2012Metric,
Conn_01x02,J1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
