Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,14.5138,44.6124,270.0,bottom
C2,100n,C_0402_1005Metric,19.267701,44.763399,90.0,bottom
C3,100n,C_0402_1005Metric,4.4388,36.348,0.0,bottom
C4,100n,C_0402_1005Metric,6.5,41.309,270.0,bottom
C5,10u,C_0603_1608Metric,17.7204,0.7626,180.0,bottom
C6,10u,C_0603_1608Metric,16.932601,4.8266,90.0,bottom
C7,10u,C_0603_1608Metric,6.5574,12.2434,180.0,bottom
C8,1u,C_0402_1005Metric,6.491,10.948,180.0,bottom
C10,1u,C_0402_1005Metric,12.1832,50.3942,0.0,bottom
C11,100n,C_0402_1005Metric,9.0844,50.445,180.0,bottom
C12,100n,C_0402_1005Metric,10.1258,42.317,270.0,bottom
C13,100n,C_0402_1005Metric,2.455,29.998,90.0,bottom
C16,100n,C_0402_1005Metric,5.4776,33.427,0.0,bottom
C17,100n,C_0402_1005Metric,15.8408,31.395,180.0,bottom
C18,1u,C_0402_1005Metric,15.7392,34.0366,180.0,bottom
C19,1u,C_0402_1005Metric,15.7392,35.0018,180.0,bottom
C21,100n,C_0402_1005Metric,13.9104,36.6274,180.0,bottom
C22,100n,C_0402_1005Metric,13.758,26.8992,270.0,bottom
C23,100n,C_0402_1005Metric,9.44,26.9246,270.0,bottom
C24,100n,C_0402_1005Metric,5.2236,32.4618,0.0,bottom
C25,100n,C_0402_1005Metric,15.8408,32.3602,180.0,bottom
C26,100n,C_0402_1005Metric,9.4654,37.1862,90.0,bottom
C27,100n,C_0402_1005Metric,23.156,21.489,270.0,bottom
D1,D,D_SOD-123,8.3224,18.0854,180.0,bottom
J7,USB_B_Micro,MICRO-USB-SMD_U254-051T-4BHJ25-F2S,21.0891,32.8682,270.0,bottom
Q1,AO3401A,SOT-23,6.7476,14.9866,90.0,bottom
Q2,AO3400A,SOT-23,17.0369,15.5962,180.0,bottom
Q3,AO3400A,SOT-23,16.9584,10.6178,180.0,bottom
Q4,AO3400A,SOT-23,17.2401,20.727,180.0,bottom
Q5,AO3400A,SOT-23,7.7616,21.5906,0.0,bottom
R1,5.1k,R_0402_1005Metric,7.639313,54.128,180.0,bottom
R2,1k,R_0402_1005Metric,6.519,25.934,270.0,bottom
R3,1k,R_0402_1005Metric,17.9744,28.7026,0.0,bottom
R4,15k,R_0402_1005Metric,3.9536,38.9134,270.0,bottom
R5,5.1k,R_0402_1005Metric,4.4616,37.491,0.0,bottom
R6,2k2,R_0402_1005Metric,8.9066,43.714,0.0,bottom
R7,2k2,R_0402_1005Metric,14.4438,47.1176,270.0,bottom
R10,15k,R_0402_1005Metric,19.5492,9.9066,270.0,bottom
R11,15k,R_0402_1005Metric,19.6508,20.5238,270.0,bottom
R12,5.1k,R_0402_1005Metric,19.4476,8.027,270.0,bottom
R13,5.1k,R_0402_1005Metric,19.6508,18.6442,270.0,bottom
R14,1k,R_0402_1005Metric,17.9744,53.3528,90.0,bottom
R15,22R,R_0402_1005Metric,17.7204,32.665,0.0,bottom
R16,1k,R_0402_1005Metric,15.536,12.853,0.0,bottom
R17,1k,R_0402_1005Metric,14.8248,20.8286,270.0,bottom
R18,22R,R_0402_1005Metric,17.7204,33.6302,180.0,bottom
R21,15k,R_0402_1005Metric,19.4984,15.2894,270.0,bottom
R22,1k,R_0402_1005Metric,7.7636,24.5096,270.0,bottom
R23,15k,R_0402_1005Metric,5.3232,21.0826,270.0,bottom
R24,5.1k,R_0402_1005Metric,19.4984,13.0054,270.0,bottom
R25,5.1k,R_0402_1005Metric,5.3252,18.7966,270.0,bottom
R26,1k,R_0402_1005Metric,15.3836,17.8314,0.0,bottom
R27,1k,R_0402_1005Metric,10.202,21.8954,90.0,bottom
R28,1k,R_0402_1005Metric,8.8304,24.4862,270.0,bottom
U2,BMI088,LGA-16_L4.5-W3.0-P0.50-BL,16.876,45.0442,0.0,bottom
U3,BMP388,SENSORM-SMD_BMP388,8.3224,41.301,0.0,bottom
U4,ADXL375BCCZ-RL7,LGA-14_L5.0-W3.0-P0.80-BL,10.6084,47.2954,180.0,bottom
U5,AMS1117-3.3,SOT-223-3_TabPin2,11.7768,3.5312,0.0,bottom
U8,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,10.6761,31.9634,90.0,bottom
U9,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,19.981,25.299,180.0,bottom
X2,SX1M12.000M10F30TNN,OSC-SMD_4P-L2.0-W1.6-BL,4.3696,30.0598,90.0,bottom
