Designator,Mid X,Mid Y,Rotation,Layer
C1,16.806,37.999,180.0,bottom
C10,9.38,50.594699,0.0,bottom
C11,6.5352,51.305899,90.0,bottom
C12,5.5498,42.3548,90.0,bottom
C13,8.3438,44.1458,0.0,bottom
C14,6.9508,40.0818,180.0,bottom
C15,15.4852,12.3958,270.0,bottom
C16,4.8172,33.2562,0.0,bottom
C17,16.7044,30.2266,180.0,bottom
C2,16.6698,43.279499,0.0,bottom
C21,13.504,37.0338,90.0,bottom
C22,13.9612,26.5182,180.0,bottom
C23,8.7796,25.7562,270.0,bottom
C24,4.8289,31.7322,0.0,bottom
C25,16.1319,34.7802,180.0,bottom
C26,9.2368,37.0846,90.0,bottom
C28,11.726,23.394,90.0,bottom
C3,12.6466,50.340699,90.0,bottom
C4,17.1932,50.340699,90.0,bottom
C5,16.933,1.423,180.0,bottom
C6,17.06,3.582,180.0,bottom
C7,9.8464,7.9762,180.0,bottom
C8,9.0844,10.313,90.0,bottom
C9,14.9172,49.629499,180.0,bottom
D3,22.648,25.807,90.0,bottom
J7,20.5652,32.2078,270.0,bottom
J9,21.378,8.281,90.0,top
Q1,6.519,12.1926,90.0,bottom
Q2,16.4735,15.581,180.0,bottom
Q3,16.5035,9.17,180.0,bottom
Q4,16.2495,22.632,180.0,bottom
Q5,14.393,19.076,0.0,bottom
R1,7.639313,54.128,180.0,bottom
R10,17.06,6.63,0.0,bottom
R11,19.092,24.854,90.0,bottom
R12,17.314,5.106,180.0,bottom
R13,20.616,24.854,270.0,bottom
R15,16.1827,31.7322,0.0,bottom
R16,13.758,9.1832,270.0,bottom
R17,13.504,22.505,270.0,bottom
R18,16.2081,33.2562,180.0,bottom
R19,19.219,16.091,270.0,bottom
R2,4.3209,29.1922,270.0,bottom
R20,11.726,20.282,270.0,bottom
R21,19.2444,13.107,270.0,bottom
R22,17.314,53.366,90.0,bottom
R23,11.726,17.298,270.0,bottom
R24,17.6696,12.3958,270.0,bottom
R25,11.726,14.25,270.0,bottom
R26,13.758,15.71,270.0,bottom
R27,17.06,18.949,90.0,bottom
R3,19.727,38.571,270.0,bottom
R4,6.7182,38.5319,180.0,bottom
R5,6.6928,37.061901,0.0,bottom
R6,12.1994,41.489298,270.0,bottom
R7,10.5484,41.489299,270.0,bottom
R8,19.219,9.995,270.0,bottom
R9,18.965,21.87,90.0,bottom
U1,10.71,3.582,0.0,bottom
U2,16.7776,40.687299,270.0,bottom
U3,15.1358,46.803099,270.0,bottom
U4,7.843714,47.225899,180.0,bottom
U5,7.5818,42.1138,90.0,bottom
U6,13.509,12.333,270.0,bottom
U7,8.043,18.949,90.0,bottom
U8,10.5059,31.3892,90.0,bottom
X1,1.6031,29.9796,90.0,bottom
