"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R16,R13";"R_0603_1608Metric";2;"20k";;;
2;"H1,H4,H2,H3";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole_Pad";;;
3;"FB1";"L_0603_1608Metric";1;"600 @600mhz";;;
4;"U6";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q32JVSS";;;
5;"JP1,JP3,JP2,JP4";"SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm";4;"SolderJumper_3_Open";;;
6;"R9,R12";"R_0603_1608Metric";2;"10";;;
7;"J6,J7";"PinHeader_2x03_P2.54mm_Vertical";2;"Conn_02x03_Top_Bottom";;;
8;"Q3,Q2";"SOT-23-3";2;"Q_NMOS_GSD";;;
9;"J10";"PinHeader_1x03_P2.54mm_Vertical";1;"BOOT 0 HEADER";;;
10;"J12,J11,J5,J3";"TerminalBlock_bornier-4_P5.08mm";4;"Screw_Terminal_01x04";;;
11;"C4,C3,C15";"C_0805_2012Metric";3;"1uf";;;
12;"U7";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGTx";;;
13;"C9,C12,C18";"C_0603_1608Metric";3;"1uf";;;
14;"J8";"PinHeader_2x03_P2.54mm_Vertical";1;"SPI Breakout";;;
15;"U2,U1";"SOT-223-3_TabPin2";2;"LM317_SOT-223";;;
16;"C19,C6,C8,C5,C10,C7";"C_0603_1608Metric";6;"0.1uf";;;
17;"SW2";"JS202011SCQN";1;"SW_Push_DPDT";;;
18;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"I2C Breakout";;;
19;"R8,R10";"R_0603_1608Metric";2;"470";;;
20;"F1";"Fuse_1206_3216Metric";1;"2a";;;
21;"D1,D4";"D_0805_2012Metric";2;"D_Small";;;
22;"SW1";"SW_SPST_CK_RS282G05A3";1;"SW_SPST";;;
23;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"UART Breakout";;;
24;"U3";"SOT-23-6";1;"USBLC6-2SC6";;;
25;"J1";"USB_Micro-B_Amphenol_10104110_Horizontal";1;"USB_B_Micro";;;
26;"C11,C22,C20,C21,C17";"C_0603_1608Metric";5;"100nf";;;
27;"FB2";"L_0603_1608Metric";1;"600 @ 600MHz";;;
28;"R15,R17";"R_0603_1608Metric";2;"2k2";;;
29;"Q1";"SOT-23-3";1;"AO3401A";;;
30;"R2";"R_0603_1608Metric";1;"1k5";;;
31;"X1";"Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm";1;"ECS-2520MV-xxx-xx";;;
32;"D3";"LED_0805_2012Metric";1;"LED";;;
33;"R18,R14";"R_0603_1608Metric";2;"6k";;;
34;"U5";"XDCR_BMP390L";1;"BMP390L";;;
35;"C1,C2";"C_0805_2012Metric";2;"0.1uf";;;
36;"D5";"LED_Cree-PLCC4_2x2mm_CW";1;"LED_ARBG";;;
37;"U4";"PQFN50P450X300X100-16N";1;"BMI088";;;
38;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"400";;;
39;"R11,R7";"R_0603_1608Metric";2;"1k";;;
40;"R1";"R_0603_1608Metric";1;"400";;;
41;"R5,R6";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"240";;;
42;"C14,C13";"C_0603_1608Metric";2;"2u2";;;
43;"R19";"R_0603_1608Metric";1;"10k";;;
44;"F2";"Fuse_1206_3216Metric";1;"200ma";;;
45;"LS1";"PKMCS0909E4000R1";1;"PKMCS0909E4000-R1";;;
46;"J9";"MEM20670218000A";1;"MEM2067-02-180-00-A";;;
47;"R4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"330";;;
