Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE3,Antenna_Shield,CONN-SMD_KH-SMA-KE8-G,12.15,52.365,0.0,bottom
C1,100n,C_0402_1005Metric,17.9236,44.349,270.0,bottom
C2,100n,C_0402_1005Metric,18.6856,49.3782,0.0,bottom
C3,100n,C_0402_1005Metric,1.6168,8.8144,0.0,bottom
C4,100n,C_0402_1005Metric,21.759,16.7672,270.0,bottom
C5,22u,C_0805_2012Metric,10.8624,13.5642,270.0,bottom
C6,22nf,C_0402_1005Metric,19.6,14.9358,90.0,bottom
C7,10u,C_0603_1608Metric,9.0974,13.5388,270.0,bottom
C8,1u,C_0402_1005Metric,7.8626,13.0054,270.0,bottom
C9,22u,C_0805_2012Metric,15.3328,11.6338,0.0,bottom
C10,10n,C_0402_1005Metric,0.6008,49.0226,90.0,bottom
C11,10u,C_0603_1608Metric,6.6838,49.5814,180.0,bottom
C12,100n,C_0402_1005Metric,23.1814,16.3328,180.0,bottom
C13,100n,C_0402_1005Metric,23.7376,23.6734,270.0,bottom
C14,10n,C_0402_1005Metric,19.9836,27.204,0.0,bottom
C15,1n,C_0402_1005Metric,11.2688,28.7534,90.0,bottom
C16,100n,C_0402_1005Metric,21.378,21.3366,180.0,bottom
C17,100n,C_0402_1005Metric,11.119,22.9876,0.0,bottom
C18,1u,C_0402_1005Metric,11.1672,20.4222,0.0,bottom
C19,1u,C_0402_1005Metric,11.1952,19.457,0.0,bottom
C20,56p,C_0603_1608Metric,21.9652,47.0922,270.0,bottom
C21,100n,C_0402_1005Metric,21.3552,22.3018,180.0,bottom
C22,100n,C_0402_1005Metric,17.2378,17.3234,270.0,bottom
C23,100n,C_0402_1005Metric,13.0976,17.7806,0.0,bottom
C24,100n,C_0402_1005Metric,17.6976,27.0262,180.0,bottom
C25,100n,C_0402_1005Metric,13.0494,27.0008,0.0,bottom
C26,100n,C_0402_1005Metric,11.1164,22.0224,0.0,bottom
C27,100n,C_0402_1005Metric,8.424,27.7882,0.0,bottom
C28,1n,C_0402_1005Metric,12.7192,33.5286,180.0,bottom
C29,100n,C_0402_1005Metric,7.3852,51.2578,270.0,bottom
C32,1u,C_0402_1005Metric,24.426,40.4882,90.0,bottom
