Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C14, C15, C16, C17, C2, C20, C21, C22, C23, C24, C25, C26, C28, C3, C9",0603,18,100n,C14663
"C10, C12, C18, C19, C8",0603,5,1u,C15849
"C4, C5, C6, C7",0603,4,10u,C19702
D2,0805,1,LED, C2297 
D3,D_SOD-323,1,D,C2128
J5,PinHeader_1x03_P2.00mm_Vertical,1,Conn_01x03,C160403
J7,MICRO-USB-SMD_U254-051T-4BHJ25-F2S,1,USB_B_Micro,C381143
Q1,SOT-23,1,AO3401A, C15127 
"Q2, Q3, Q4, Q5",SOT-23,4,AO3400A,C20917
"R1, R12, R13, R24, R25, R5",0603,6,6k,C4260
"R10, R11, R21, R23, R4",0603,5,20k,C25804
"R15, R18",0603,2,27R,C25190
"R16, R17, R2, R22, R26, R27, R3",0603,7,1k,C21190
"R19, R20, R8, R9",0603,4,10R,C22859
"R6, R7",0603,2,2k2,C4190
U1,SOT-223,1,AZ1117-3.3,C6186
U2,LGA-16_L4.5-W3.0-P0.50-BL,1,BMI088,C194919
U3,NXP_LGA-8_3x5mm_P1.25mm_H1.1mm,1,MPL3115A2,C54429
U4,LGA-14_L5.0-W3.0-P0.80-BL,1,ADXL375BCCZ-RL7,C481898
U5,LGA-12_2x2mm_P0.5mm,1,LIS3MDL,C478483
U6,X2QFN-10_L2.0-W1.5-P0.50-BL,1,ADS1015IDGS,C468259
U7,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q64JVXGIQ , C97521 
U8,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
X1,OSC-SMD_4P-L3.2-W2.5-BL_SIT8008BI,1,S3D12.288000B20F30T,C387351
