Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Shield,CONN-SMD_KH-SMA-KE8-G,34.8194,77.1458,0.0,top
AE2,Antenna_Shield,ANT-SMD_1909763-1,59.178,55.0598,0.0,top
C1,100n,C_0402_1005Metric,39.3126,69.0178,0.0,top
C2,10n,C_0402_1005Metric,39.4904,66.9604,90.0,top
C3,10u,C_0603_1608Metric,40.763,67.0366,90.0,top
C4,100n,C_0402_1005Metric,27.5042,50.2726,90.0,top
C5,100n,C_0402_1005Metric,10.4634,38.741,0.0,top
C6,100n,C_0402_1005Metric,23.1074,52.9142,0.0,top
C7,100n,C_0402_1005Metric,12.188,51.3902,180.0,top
C8,1u,C_0402_1005Metric,12.9018,54.2604,180.0,top
C9,1u,C_0402_1005Metric,12.1626,52.3554,180.0,top
C10,100n,C_0402_1005Metric,18.9952,57.6106,90.0,top
C11,100n,C_0402_1005Metric,23.0846,51.949,0.0,top
C12,100n,C_0402_1005Metric,18.7158,46.9706,-90.0,top
C13,100n,C_0402_1005Metric,12.9246,55.2256,180.0,top
C14,100n,C_0402_1005Metric,14.7239,47.4402,180.0,top
C15,100n,C_0402_1005Metric,14.7239,56.6858,180.0,top
C17,100n,C_0402_1005Metric,59.1272,69.7036,90.0,top
C20,2u2,C_0603_1608Metric,56.9,6.8842,180.0,top
C21,2u2,C_0603_1608Metric,62.2086,10.999,0.0,top
C22,10u,C_0603_1608Metric,52.2184,11.1182,90.0,top
C23,100n,C_0402_1005Metric,50.9738,10.9508,90.0,top
C24,100n,C_0402_1005Metric,61.1672,13.384,90.0,top
C25,10u,C_0603_1608Metric,62.3864,13.793,90.0,top
C26,100n,C_0402_1005Metric,61.1418,8.9924,90.0,top
C27,10u,C_0603_1608Metric,62.3356,8.7508,90.0,top
C28,100n,C_0402_1005Metric,52.4724,8.6928,90.0,top
C29,10u,C_0603_1608Metric,50.7198,8.5404,90.0,top
C30,2u2,C_0603_1608Metric,65.8582,14.7634,0.0,top
C31,1u,C_0402_1005Metric,17.7252,64.014,0.0,top
C32,100n,C_0402_1005Metric,28.444,45.7514,0.0,top
C33,100n,C_0402_1005Metric,30.0399,44.329,-90.0,top
C34,1u,C_0402_1005Metric,8.505,19.945,180.0,top
C35,10u,C_0603_1608Metric,15.49,16.8716,-90.0,top
C36,1u,C_0402_1005Metric,8.477,22.9168,180.0,top
C37,1u,C_0402_1005Metric,12.0356,5.3654,0.0,top
C38,1u,C_0402_1005Metric,10.2576,10.3946,90.0,top
Card1,TF-115K,TF-SMD_TF-115K,15.5886,70.7524,180.0,top
D1,LED,LED_0805_2012Metric,60.3998,73.8696,0.0,top
D2,LED,LED_0805_2012Metric,9.936,2.7448,0.0,top
D3,D,D_SOD-123,9.7027,15.4521,-90.0,top
J1,USB_B_Micro,MICRO-USB-SMD_U254-051T-4BHJ25-F2S,4.9544,53.0282,-90.0,top
J4,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,65.4518,20.7832,90.0,top
J5,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,4.4918,12.198,-90.0,top
Q1,AO3401A,SOT-23,12.7745,16.9072,180.0,top
R1,1k,R_0402_1005Metric,4.189,46.9198,180.0,top
R2,22R,R_0402_1005Metric,10.1052,52.711,0.0,top
R3,22R,R_0402_1005Metric,10.1052,53.6762,180.0,top
R4,5.1k,R_0402_1005Metric,23.5946,54.3874,-90.0,top
R5,5.1k,R_0402_1005Metric,22.7544,43.7448,0.0,top
R6,5.1k,R_0402_1005Metric,22.7564,42.7542,0.0,top
R7,1k,R_0402_1005Metric,63.0368,73.793,180.0,top
R8,5.1k,R_0402_1005Metric,41.9314,10.0898,0.0,top
R9,470,R_0402_1005Metric,65.0708,13.0616,90.0,top
R10,5.1k,R_0402_1005Metric,32.726,1.7574,0.0,top
R11,5.1k,R_0402_1005Metric,22.349,9.7342,180.0,top
R12,5.1k,R_0402_1005Metric,41.8552,9.0992,0.0,top
R13,5.1k,R_0402_1005Metric,40.5344,19.2592,0.0,top
R14,1k,R_0402_1005Metric,12.6452,2.7746,0.0,top
R16,1k,R_0402_1005Metric,15.7186,4.705,-90.0,top
R17,40k,R_0402_1005Metric,14.7534,4.703,-90.0,top
RV1,R_Potentiometer,RES-ADJ-SMD_3314J,48.1577,25.1182,90.0,top
SW1,K2-1102DP-L3SW-04,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,35.302,21.469,0.0,top
SW2,K2-1102DP-L3SW-04,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,26.083,13.7876,0.0,top
SW3,K2-1102DP-L3SW-04,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,35.3274,13.8236,0.0,top
SW4,K2-1102DP-L3SW-04,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,44.6226,13.8532,0.0,top
SW5,K2-1102DP-L3SW-04,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,35.429,6.7116,0.0,top
SW6,SW_SPDT,SW-TH_SK12D07VG4,0.7829,22.728,-90.0,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,8.0478,43.8972,-90.0,top
U3,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,17.992,52.0662,90.0,top
U4,TXB0104RGY,Texas_S-PVQFN-N14,40.7056,34.3192,-90.0,top
U5,PCM5102A,TSSOP-20_4.4x6.5mm_P0.65mm,56.8061,11.2074,180.0,top
U6,ATGM336H-5N31,GPSM-SMD_ATGM336H-TR,62.353,62.4646,0.0,top
U7,LIS3MDLTR,LGA-12_L2.0-W2.0-P0.50-BL,28.0587,43.948,90.0,top
U8,AMS1117-3.3,SOT-223-3_TabPin2,13.8898,22.866,0.0,top
U9,AMS1117-5.0,SOT-223-3_TabPin2,15.2106,9.4681,0.0,top
X1,SX1M12.000M10F30TNN,OSC-SMD_4P-L2.0-W1.6-BL,25.4468,50.3234,90.0,top
