timestamp(ms),TotalValid,TotalErrors,AverageRAWResult,AverageDistance,Distance,RSSI,
"1750602706.862","0",,,,,,
"1750602706.863",,"5","0","0",,,
"1750602707.569","0","5","0","0",,,
"1750602708.275","0","5",,,,,
"1750602708.276",,,"0","0",,,
"1750602708.983","0","5","0","0",,,
"1750602709.689","0","5","0",,,,
"1750602709.69",,,,"0",,,
"1750602710.395","0","5",,,,,
"1750602710.396",,,"0","0",,,
"1750602711.102","0","5","0","0",,,
"1750602711.811","0","5","0","0",,,
"1750602712.515","0","5",,,,,
"1750602712.516",,,"0","0",,,
"1750602713.223","0",,,,,,
"1750602713.224",,"5","0",,,,
"1750602713.225",,,,"0",,,
"1750602713.929","0","5","0","0",,,
"1750602714.635","0",,,,,,
"1750602714.636",,"5","0","0",,,
"1750602715.343","0","5",,,,,
"1750602715.344",,,"0","0",,,
"1750602716.048","0",,,,,,
"1750602716.049",,"5","0","0",,,
"1750602716.755","0","5","0",,,,
"1750602716.756",,,,"0",,,
"1750602717.462","0","5",,,,,
"1750602717.463",,,"0",,,,
"1750602717.464",,,,"0",,,
"1750602718.17","0",,,,,,
"1750602718.171",,"5","0","0",,,
"1750602718.875","0",,,,,,
"1750602718.876",,"5","0","0",,,
"1750602719.582","0","5","0",,,,
"1750602719.583",,,,"0",,,
"1750602720.289","0",,,,,,
"1750602720.29",,"5","0","0",,,
"1750602720.997","0","5","0","0",,,
"1750602721.704","0","5","0","0",,,
"1750602722.409","0","5","0",,,,
"1750602722.411",,,,"0",,,
"1750602723.116","0","5","0","0",,,
"1750602723.822","0",,,,,,
"1750602723.823",,"5","0","0",,,
"1750602724.529","0","5","0","0",,,
"1750602725.236","0","5","0",,,,
"1750602725.237",,,,"0",,,
"1750602725.942","0","5","0","0",,,
"1750602726.65","0","5","0","0",,,
"1750602727.355","0","5",,,,,
"1750602727.356",,,"0","0",,,
"1750602728.063","0","5","0","0",,,
"1750602728.769","0","5","0","0",,,
"1750602729.475","0","5",,,,,
"1750602729.476",,,"0","0",,,
"1750602730.184","0","5","0","0",,,
"1750602730.89","0","5","0","0",,,
"1750602731.595","0","5","0","0",,,
"1750602732.303","0","5","0","0",,,
"1750602733.008","0","5","0",,,,
"1750602733.009",,,,"0",,,
"1750602733.715","0","5","0","0",,,
"1750602734.422","0","5","0","0",,,
"1750602735.129","0","5","0","0",,,
"1750602735.837","0","5","0",,,,
"1750602735.838",,,,"0",,,
"1750602736.542","0","5","0",,,,
"1750602736.543",,,,"0",,,
"1750602737.25","0","5","0",,,,
"1750602737.251",,,,"0",,,
"1750602737.955","0","5","0",,,,
"1750602737.956",,,,"0",,,
"1750602738.662","0","5","0","0",,,
"1750602739.37","0","5","0","0",,,
"1750602740.075","0",,,,,,
"1750602740.076",,"5","0","0",,,
"1750602740.782","0","5","0","0",,,
"1750602741.488","0",,,,,,
"1750602741.489",,"5","0",,,,
"1750602741.49",,,,"0",,,
"1750602742.197","0","5",,,,,
"1750602742.198",,,"0","0",,,
"1750602742.904","0","5","0","0",,,
"1750602743.61","0","5",,,,,
"1750602743.611",,,"0","0",,,
"1750602744.315","0","5","0","0",,,
"1750602745.024","0","5","0","0",,,
"1750602745.729","0","5",,,,,
"1750602745.73",,,"0","0",,,
"1750602746.436","0","5","0",,,,
"1750602746.437",,,,"0",,,
"1750602747.145","0","5","0","0",,,
"1750602747.851","0",,,,,,
"1750602747.852",,"5","0","0",,,
"1750602748.557","0","5","0","0",,,
"1750602749.264","0","5","0","0",,,
"1750602749.969","0","5","0","0",,,
"1750602750.676","0","5","0",,,,
"1750602750.677",,,,"0",,,
"1750602751.385","0","5","0","0",,,
"1750602752.089","0","5","0","0",,,
"1750602752.796","0","5","0",,,,
"1750602752.797",,,,"0",,,
"1750602753.503","0","5","0","0",,,
"1750602754.211","0","5","0","0",,,
"1750602754.918","0","5","0","0",,,
"1750602755.623","0","5","0","0",,,
"1750602756.329","0","5","0","0",,,
"1750602757.038","0","5","0","0",,,
"1750602757.742","0",,,,,,
"1750602757.743",,"5","0","0",,,
"1750602758.449","0","5","0","0",,,
"1750602759.156","0","5","0","0",,,
"1750602759.863","0","5","0","0",,,
"1750602760.569","0","5","0",,,,
"1750602760.57",,,,"0",,,
"1750602761.276","0","5","0","0",,,
"1750602761.984","0","5","0","0",,,
"1750602762.69","0","5","0","0",,,
"1750602763.396","0","5","0","0",,,
"1750602764.102","0",,,,,,
"1750602764.103",,"5","0","0",,,
"1750602764.81","0","5","0",,,,
"1750602764.811",,,,"0",,,
"1750602765.516","0","5","0",,,,
"1750602765.517",,,,"0",,,
"1750602766.222","0",,,,,,
"1750602766.223",,"5","0",,,,
"1750602766.225",,,,"0",,,
"1750602766.929","0","5","0","0",,,
"1750602767.635","0",,,,,,
"1750602767.636",,"5","0","0",,,
"1750602768.342","0","5","0","0",,,
"1750602769.051","0","5","0","0",,,
"1750602769.756","0","5","0","0",,,
"1750602770.463","0","5","0","0",,,
"1750602771.169","0","5","0","0",,,
"1750602771.877","0","5","0","0",,,
"1750602772.583","0","5","0","0",,,
"1750602773.289","0","5","0","0",,,
"1750602773.997","0","5","0","0",,,
"1750602774.705","0","5","0","0",,,
"1750602775.409","0","5","0","0",,,
"1750602776.116","0","5","0","0",,,
"1750602776.823","0","5","0","0",,,
"1750602777.529","0","5","0","0",,,
"1750602778.235","0","5","0",,,,
"1750602778.236",,,,"0",,,
"1750602778.942","0","5","0",,,,
"1750602778.943",,,,"0",,,
"1750602779.659","0","5","0","0",,,
"1750602780.356","0","5","0","0",,,
"1750602781.063","0","5","0",,,,
"1750602781.064",,,,"0",,,
"1750602781.77","0","5","0",,,,
"1750602781.771",,,,"0",,,
"1750602782.475","0","5",,,,,
"1750602782.476",,,"0","0",,,
"1750602783.182","0","5",,,,,
"1750602783.183",,,"0",,,,
"1750602783.184",,,,"0",,,
"1750602783.889","0","5","0",,,,
"1750602783.89",,,,"0",,,
"1750602784.596","0","5","0","0",,,
"1750602785.302","0",,,,,,
"1750602785.303",,"5","0",,,,
"1750602785.304",,,,"0",,,
"1750602786.011","0","5","0","0",,,
"1750602786.716","0","5","0","0",,,
"1750602787.422","0","5","0","0",,,
"1750602788.13","0","5",,,,,
"1750602788.131",,,"0","0",,,
"1750602788.836","0","5","0","0",,,
"1750602789.544","0",,,,,,
"1750602789.545",,"5","0","0",,,
"1750602790.258","0","5","0","0",,,
"1750602790.957","0","5","0",,,,
"1750602790.958",,,,"0",,,
"1750602791.663","0","5","0","0",,,
"1750602792.369","0","5","0","0",,,
"1750602793.076","0","5","0",,,,
"1750602793.077",,,,"0",,,
"1750602793.782","0","5",,,,,
"1750602793.783",,,"0","0",,,
"1750602794.489","0","5","0",,,,
