Comment,Designator,Footprint,LCSC
1k,"R1,R5,R7",R_0402_1005Metric,C11702
AO3401A,"Q1,Q2",SOT-23,C15127
100n,"C1,C10,C11,C12,C16,C2,C3,C5,C7,C8,C9",C_0402_1005Metric,C1525
D_Schottky,D3,D_SOD-323F,C191023
RP2040,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
22R,"R2,R3",R_0402_1005Metric,C25092
30k,R8,R_0402_1005Metric,C25105
51k,R9,R_0402_1005Metric,C25794
5.1k,R4,R_0402_1005Metric,C25905
SX1M12.000M10F30TNN,X1,OSC-SMD_4P-L2.0-W1.6-BL,C2901608
USB_B_Micro,J1,MICRO-USB-SMD_U254-051T-4BHJ25-F2S,C381143
1u,"C13,C14,C4,C6",C_0402_1005Metric,C52923
Antenna_Shield,AE1,CONN-SMD_KH-SMA-KE8-G,C530661
XC6206P332MR,U3,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C5446
10u,C15,C_0603_1608Metric,C96446
W25Q128JVS,U1,SOIC-8_5.23x5.23mm_P1.27mm,C97521
