Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Shield,CONN-SMD_KH-SMA-KE8-G,4.1148,30.4292,0.0,bottom
C1,100n,C_0402_1005Metric,6.7564,15.5956,-90.0,top
C2,100n,C_0402_1005Metric,5.334,26.1112,90.0,top
C3,100n,C_0402_1005Metric,12.6492,21.3132,0.0,top
C4,1u,C_0402_1005Metric,4.1656,15.5728,-90.0,top
C5,100n,C_0402_1005Metric,11.0744,27.8638,90.0,top
C6,1u,C_0402_1005Metric,2.3368,16.1036,180.0,top
C7,100n,C_0402_1005Metric,10.668,21.1328,-90.0,top
C8,100n,C_0402_1005Metric,10.7188,18.7452,90.0,top
C9,100n,C_0402_1005Metric,6.2992,25.908,90.0,top
C10,100n,C_0402_1005Metric,1.1684,21.2852,-90.0,top
C11,100n,C_0402_1005Metric,1.1684,17.6276,-90.0,top
C12,100n,C_0402_1005Metric,5.7912,15.5728,-90.0,top
C13,1u,C_0402_1005Metric,5.9436,10.414,90.0,top
C14,1u,C_0402_1005Metric,0.9398,10.5918,90.0,top
C15,10u,C_0603_1608Metric,6.8072,8.6868,0.0,top
C16,100n,C_0402_1005Metric,9.4488,13.1064,90.0,top
D3,D_Schottky,D_SOD-323F,7.1628,2.4384,-90.0,top
J1,USB_B_Micro,MICRO-USB-SMD_U254-051T-4BHJ25-F2S,13.2747,4.826,90.0,top
J7,Conn_01x04,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,14.0208,24.892,90.0,top
Q1,AO3401A,SOT-23,4.2672,2.3735,180.0,top
Q2,AO3401A,SOT-23,6.1976,6.0683,-90.0,top
R1,1k,R_0402_1005Metric,12.2428,10.5156,-90.0,top
R2,22R,R_0402_1005Metric,5.6896,13.5408,90.0,top
R3,22R,R_0402_1005Metric,4.6756,13.5408,-90.0,top
R4,5.1k,R_0402_1005Metric,1.1684,24.0792,90.0,top
R5,1k,R_0402_1005Metric,15.8496,30.2768,90.0,top
R7,1k,R_0402_1005Metric,1.778,2.1336,90.0,top
R8,30k,R_0402_1005Metric,10.416,11.1252,90.0,top
R9,51k,R_0402_1005Metric,10.4648,13.1064,90.0,top
U1,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,14.0716,16.1544,90.0,top
U2,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,6.0676,20.7652,180.0,top
U3,XC6206P332MR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,3.5098,10.7036,0.0,top
X1,SX1M12.000M10F30TNN,OSC-SMD_4P-L2.0-W1.6-BL,8.5904,26.3328,180.0,top
