seconds, altitude, temp,volts
0,1,69.3F,8.2
0.05,3,69.3F,8.2
0.1,7,69.3F,8.2
0.15,11,69.3F,8.2
0.2,14,69.3F,8.2
0.25,19,69.3F,8.2
0.3,20,69.3F,8.2
0.35,20,69.3F,8.2
0.4,18,69.3F,8.2
0.45,17,69.3F,8.2
0.5,21,69.3F,8.2
0.55,23,69.3F,8.2
0.6,27,69.3F,8.2
0.65,35,69.3F,8.2
0.7,42,69.3F,8.2
0.75,44,69.3F,8.2
0.8,50,69.3F,8.2
0.85,57,69.3F,8.2
0.9,61,69.3F,8.2
0.95,70,69.3F,8.2
1,81,69.3F,8.2
1.05,89,69.3F,8.2
1.1,99,69.3F,8.2
1.15,106,69.3F,8.2
1.2,118,69.3F,8.2
1.25,131,69.3F,8.2
1.3,142,69.3F,8.2
1.35,155,69.3F,8.2
1.4,169,69.3F,8.2
1.45,185,69.3F,8.2
1.5,203,69.3F,8.2
1.55,220,69.3F,8.2
1.6,241,69.3F,8.2
1.65,264,69.3F,8.2
1.7,289,69.3F,8.2
1.75,316,69.3F,8.2
1.8,339,69.3F,8.2
1.85,362,69.3F,8.2
1.9,385,69.3F,8.2
1.95,408,69.2F,8.2
2,431,69.2F,8.2
2.05,457,69.2F,8.2
2.1,481,69.2F,8.2
2.15,502,69.2F,8.2
2.2,524,69.2F,8.2
2.25,547,69.2F,8.2
2.3,571,69.2F,8.2
2.35,593,69.2F,8.2
2.4,614,69.2F,8.2
2.45,633,69.2F,8.2
2.5,653,69.2F,8.2
2.55,673,69.2F,8.2
2.6,693,69.2F,8.2
2.65,714,69.2F,8.2
2.7,735,69.2F,8.2
2.75,754,69.2F,8.2
2.8,772,69.2F,8.2
2.85,791,69.2F,8.2
2.9,812,69.1F,8.2
2.95,831,69.2F,8.2
3,848,69.2F,8.2
3.05,867,69.1F,8.2
3.1,887,69.1F,8.2
3.15,903,69.1F,8.2
3.2,920,69.1F,8.2
3.25,939,69.1F,8.2
3.3,955,69.1F,8.2
3.35,973,69.1F,8.2
3.4,991,69.1F,8.2
3.45,1009,69.1F,8.2
3.5,1025,69.1F,8.2
3.55,1043,69.1F,8.2
3.6,1060,69.1F,8.2
3.65,1077,69.1F,8.2
3.7,1092,69.1F,8.2
3.75,1109,69.1F,8.2
3.8,1125,69.1F,8.2
3.85,1141,69.1F,8.2
3.9,1155,69.1F,8.2
3.95,1171,69.1F,8.2
4,1187,69.1F,8.2
4.05,1202,69.1F,8.2
4.1,1217,69.1F,8.2
4.15,1233,69.1F,8.2
4.2,1247,69.1F,8.2
4.25,1261,69.1F,8.2
4.3,1278,69.1F,8.2
4.35,1290,69.1F,8.2
4.4,1305,69.1F,8.2
4.45,1319,69.1F,8.2
4.5,1333,69.1F,8.2
4.55,1347,69.1F,8.2
4.6,1361,69.1F,8.2
4.65,1373,69.1F,8.2
4.7,1385,69.1F,8.2
4.75,1399,69.1F,8.2
4.8,1413,69.1F,8.2
4.85,1426,69.1F,8.2
4.9,1438,69.1F,8.2
4.95,1451,69.0F,8.2
5,1465,69.0F,8.2
5.05,1478,69.1F,8.2
5.1,1489,69.1F,8.2
5.15,1503,69.0F,8.2
5.2,1513,69.1F,8.2
5.25,1524,69.1F,8.2
5.3,1537,69.0F,8.2
5.35,1548,69.0F,8.2
5.4,1560,69.1F,8.2
5.45,1571,69.0F,8.2
5.5,1582,69.0F,8.2
5.55,1595,69.0F,8.2
5.6,1605,69.0F,8.2
5.65,1618,69.0F,8.2
5.7,1627,69.0F,8.2
5.75,1638,69.0F,8.2
5.8,1648,69.0F,8.2
5.85,1658,69.0F,8.2
5.9,1669,69.0F,8.2
5.95,1677,69.0F,8.2
6,1688,69.0F,8.2
6.05,1697,69.0F,8.2
6.1,1706,69.0F,8.2
6.15,1717,69.0F,8.2
6.2,1726,69.0F,8.2
6.25,1734,69.0F,8.2
6.3,1746,69.0F,8.2
6.35,1755,69.0F,8.2
6.4,1763,69.0F,8.2
6.45,1773,69.0F,8.2
6.5,1780,69.0F,8.2
6.55,1789,69.0F,8.2
6.6,1800,69.0F,8.2
6.65,1809,69.0F,8.2
6.7,1817,69.0F,8.2
6.75,1826,69.0F,8.2
6.8,1835,69.0F,8.2
6.85,1841,69.0F,8.2
6.9,1851,69.0F,8.2
