index,checksum,uptime mp,uptime nav,errorflag mp,errorflag NAV,accel x,accel y,accel z,accelworld x,accelworld y,accelworld z,accelhighg x,accelhighg y,accelhighg z,gyro x,gyro y,gyro z,euler x,euler y,euler z,quat w,quat x,quat y,quat z,altitude,presusre,verticalvel,filtered vvel,maxalt,altitudeagl,filtered alt,imutemp,barotemp,state,battstate,pyros fired,pyros cont,pyros state,checksum2\r
2531,101,0,4724,1,1,1.665237,-3.765423,13.083695,3.663559,-1.681356,3.309526,-2.593925,-8.086153,-4.692398,6.144404,59.549599,-40.572003,79.682606,168.007299,169.712634,0.595633,-0.794453,-0.10267,-0.059368,915.894287,91385.46094,-12.496599,-10.243508,0,-35.041809,-31.412388,23.625,28.291512,0,5.32,8,202,,
2532,101,4864,6452,1,1,2.427495,-3.072362,15.490056,-0.010589,0.47385,6.169264,4.613962,-10.008257,4.437593,-60.382643,57.652541,-152.919644,101.485177,-174.678208,-59.76841,-0.364704,0.341129,-0.521071,-0.692175,900.424438,91547.36719,-7.394369,-10.520849,0,-50.511658,-47.763062,23.625,28.373018,0,5.32,0,202,,
2533,101,8575,8572,1,1,4.374613,0.872995,11.097035,-0.661268,-0.696418,2.120463,2.691859,2.004889,0.593386,-53.70881,-7.028821,-92.111064,102.014695,163.012969,-35.089557,0.335632,-0.070857,0.647998,0.680022,881.702148,91761.17188,-9.114347,-9.898552,0,-69.233948,-65.54718,23.625,28.386602,0,5.32,0,202,,
2534,101,10677,10643,1,1,4.879377,4.520029,9.858473,-0.660699,-3.261801,1.616206,0.769756,2.485415,4.437593,-103.103092,-76.971403,-271.08458,75.236433,168.20547,22.923155,0.04089,-0.21803,-0.759729,-0.61123,861.790771,91982.82813,-9.714263,-11.145976,0,-89.145325,-85.486183,23.75,28.409243,0,5.32,0,202,,
2535,101,12791,12778,1,1,0.337421,-0.403107,13.377849,-0.43672,3.920398,2.992863,2.211333,2.965941,6.840222,-62.331548,-61.294753,-156.084262,72.612609,179.646515,59.036433,0.332433,-0.366821,-0.61923,-0.609495,843.838501,92174.91406,-9.486277,-10.635973,0,-107.097595,-103.39254,23.75,28.413771,0,5.32,0,202,,
2536,101,14915,14911,1,1,-6.717933,-2.791445,11.09067,2.584927,-2.488243,2.968203,-9.801813,-5.683524,1.554438,12.265978,-50.392425,-131.209546,80.157693,-165.183016,-62.135467,0.244972,-0.462675,0.60709,0.597798,825.952271,92381.07813,-12.438477,-10.320057,0,-124.983826,-120.741341,23.75,28.409243,0,5.32,0,202,,
2537,101,17111,17100,1,1,-0.633922,9.190639,14.656915,1.383828,-6.921338,6.006433,-3.554977,3.926993,5.398644,62.095449,-35.011584,27.990513,81.381267,174.92471,-3.401184,-0.029177,0.0314,-0.864507,-0.500791,806.515808,92591.29688,-10.700508,-11.311468,0,-144.420288,-140.441589,23.75,28.400187,0,5.32,0,202,,
2538,101,19229,19193,1,1,0.009597,-3.356308,13.434116,-1.29761,2.236083,3.802548,1.250281,-2.319843,8.762325,-0.289324,29.088109,-354.706395,73.946237,173.056298,118.560459,-0.49138,0.704156,0.376059,0.348268,789.604492,92790.5,-9.376079,-9.737359,0,-161.331604,-157.530106,23.75,28.395658,0,5.32,0,202,,
2539,101,21351,21318,1,1,-0.355962,0.732946,9.924753,-0.154224,-1.868513,-0.020943,-0.671822,2.965941,-1.809243,-68.198633,0.151053,394.121477,96.372753,-177.595655,-7.120308,-0.032311,0.056998,-0.664306,-0.744584,770.283264,93000.78906,-9.270749,-10.260913,0,-180.652832,-177.206009,23.75,28.382074,0,5.32,0,202,,
2540,101,23485,23461,1,1,-2.489208,-4.175603,11.927891,-0.6067,-2.665754,2.78598,-1.632874,-4.241947,6.840222,-13.95335,119.386748,-341.805233,83.345978,170.542775,178.44014,-0.587332,0.802689,-0.05374,0.08856,752.473694,93198.11719,-8.154014,-9.125209,0,-198.462402,-195.219208,23.75,28.36849,0,5.32,0,202,,
2541,101,25622,25608,1,1,-0.203835,-1.366462,13.709961,-1.295903,0.18873,3.916026,0.28923,-0.878266,6.359696,27.524949,35.339262,-82.070706,90.441991,179.774718,86.174885,-0.464408,0.500514,0.489352,0.542537,733.83252,93407.39844,-9.51915,-10.336012,0,-217.103577,-213.620163,23.625,28.354906,0,5.32,0,202,,
2542,101,27765,27755,1,1,-6.151885,0.279138,15.280009,-0.411153,9.261735,3.817132,-5.477081,0.082786,10.203903,37.161751,-161.80613,-614.321803,72.118424,166.620347,133.807285,0.682289,-0.607943,-0.149932,-0.37737,715.719055,93612.69531,-8.970448,-9.880276,0,-235.217041,-231.743851,23.625,28.341322,0,5.32,0,202,,
2543,101,29908,29904,1,1,-0.81748,0.45585,16.362198,-1.176235,4.094464,6.024594,-0.671822,0.082786,12.606533,47.380804,-5.72585,-205.961158,73.5153,-178.494481,-113.76236,0.579513,-0.600266,0.412019,0.366177,696.915894,93829.98438,-10.666258,-10.839129,0,-254.020203,-249.99707,23.75,28.32321,0,5.32,0,202,,
2544,101,32063,32052,1,1,-1.92361,-1.496711,13.256633,-5.099097,-0.674772,2.657837,-2.593925,-3.280895,5.87917,53.093769,13.359597,-41.75226,94.94271,-147.482226,-28.4114,-0.109283,0.252965,-0.648758,-0.709351,678.077637,94044.1875,-12.575306,-10.748097,0,-272.858459,-268.649414,23.625,28.314154,0,5.32,0,202,,
2545,101,34297,34269,1,1,-5.941797,-7.910391,-0.105696,0.391191,1.137667,0.019545,-7.399185,-7.605628,-5.172924,-10.687149,-14.202852,-64.383801,2.684934,72.544716,-152.631819,-0.20414,0.570205,-0.158273,0.779835,664.438843,94181.89844,0.575187,-5.464721,0,-286.497253,-285.730652,23.625,28.286983,0,5.32,0,202,,
2546,101,36501,36475,1,1,-7.710135,-6.17285,-0.138298,-0.018661,-0.007063,0.076701,-7.399185,-7.605628,-4.692398,-0.096474,-1.154093,0.157026,3.074214,76.711958,-131.60862,-0.336463,0.557206,-0.273429,0.708202,664.285156,94189.01563,0.176041,-0.065519,0,-286.65094,-286.653625,23.625,28.273399,0,5.32,0,202,,
2547,101,38576,38535,1,1,-7.717177,-6.16802,-0.148805,-0.021995,-0.008781,0.079327,-9.321287,-6.16405,-4.692398,0.230318,-1.044618,-0.554503,3.345275,77.036399,-131.815903,-0.335841,0.55895,-0.274954,0.706531,664.195312,94187.17188,0.068319,-0.091225,0,-286.740784,-286.750061,23.625,28.259815,0,5.32,0,202,,
2548,101,40808,40786,1,1,-7.732336,6.117811,0.118087,-0.022658,-0.011246,0.059524,-7.879711,5.683524,6.614501,-0.244935,-0.49609,0.145497,176.39484,102.830253,131.959268,-0.705653,0.276207,-0.559373,0.335956,664.180298,94187.17188,0.078425,-0.063262,0,-286.755798,-286.751007,23.5,28.259815,0,5.32,0,202,,
2549,101,42897,42870,1,1,-7.750611,6.141395,0.155814,0.018615,-0.035909,0.088961,-5.477081,11.93036,5.172924,-1.069022,1.278815,0.302275,176.595866,102.763584,131.8918,-0.705602,0.275474,-0.560219,0.335254,664.445679,94186.57031,0.851744,0.119284,0,-286.490417,-286.605133,23.5,28.223589,0,5.32,0,202,,
2550,101,44995,44964,1,1,-7.751877,6.140718,0.127488,-0.002778,0.013489,0.089202,-7.879711,6.644576,5.65345,-0.527168,-0.721802,-0.490157,176.415057,102.428713,131.813089,-0.703239,0.277849,-0.561603,0.335941,664.364441,94183.72656,-0.116908,0.115639,0,-286.571655,-286.578003,23.5,28.210005,0,5.32,0,202,,
2551,101,47100,47065,1,1,-7.721211,6.139571,0.126448,-0.00995,0.001392,0.064461,-8.360237,6.644576,5.65345,-0.410869,-0.255066,0.399164,176.154472,101.90326,132.257256,-0.701226,0.278626,-0.565216,0.333436,664.379089,94187.90625,-0.392625,0.039711,0,-286.557007,-286.561005,23.5,28.191893,0,5.32,0,202,,
2552,101,49206,49168,1,1,-7.739787,6.12998,0.132272,-0.000412,0.020294,0.073109,-7.399185,6.644576,5.172924,-0.76971,0.796524,0.070794,176.005943,101.464441,132.179187,-0.698385,0.281045,-0.56734,0.333761,664.291626,94190.08594,0.191765,-0.006551,0,-286.64447,-286.564697,23.5,28.173779,0,5.32,0,202,,
2553,101,51394,51367,1,1,-7.742422,6.124168,0.136941,0.004552,0.005481,0.071651,-8.840761,6.16405,5.172924,-0.110539,-0.63906,-0.340562,175.994564,101.164944,132.237162,-0.696984,0.281593,-0.56932,0.332858,664.348877,94186.25,0.420564,-0.209228,0,-286.587219,-286.63028,23.375,28.160194,0,5.32,0,202,,
2554,101,53505,53472,1,1,-7.738458,6.142077,0.127649,-0.011864,-0.001747,0.079536,-9.321287,6.644576,5.65345,-0.127851,0.432764,0.610363,175.62923,100.636554,132.757909,-0.694853,0.282549,-0.57284,0.330453,664.420105,94186.59375,0.431144,0.101183,0,-286.515991,-286.49118,23.375,28.128496,0,5.32,0,202,,
2555,101,55618,55575,1,1,-7.737779,6.114638,0.134478,-0.000959,-0.01285,0.062059,-7.879711,6.644576,5.172924,0.2931,0.000737,0.143842,175.867549,100.78679,132.45096,-0.695335,0.282259,-0.571835,0.331427,664.406006,94184.84375,-0.282693,-0.071582,0,-286.53009,-286.523438,23.375,28.105854,0,5.32,0,202,,
2556,101,57734,57733,1,1,-7.751185,6.126481,0.117083,-0.018954,0.01065,0.079682,-8.840761,7.125102,5.65345,-0.069237,-0.653642,-0.831208,175.751887,100.843782,132.455072,-0.695357,0.282797,-0.571155,0.332093,664.295593,94188.07031,-0.356853,0.064775,0,-286.640503,-286.566406,23.375,28.083214,0,5.32,0,202,,
2557,101,59855,59847,1,1,-7.752425,6.125745,0.134232,-0.002994,-0.017025,0.080425,-8.360237,7.605628,5.172924,-0.496271,-0.324296,0.086157,175.658327,100.329421,132.686602,-0.693119,0.283496,-0.57466,0.330124,664.403503,94187.26563,-0.185445,0.140278,0,-286.532593,-286.453247,23.375,28.0651,0,5.32,0,202,,
2558,101,61983,61950,1,1,-7.74486,6.124448,0.127559,-0.017082,-0.018587,0.073582,-7.879711,6.16405,5.65345,-0.606931,-0.873443,0.69817,175.406471,100.275093,132.980027,-0.693057,0.283682,-0.574999,0.329505,664.185181,94190.53906,-1.012059,-0.083008,0,-286.750916,-286.549408,23.25,28.03793,0,5.32,0,202,,
2559,101,64120,64117,1,1,-7.712752,6.140591,0.122547,-0.013317,0.036847,0.058355,-6.438133,6.16405,5.65345,-0.398586,-0.709023,-0.405325,175.44543,100.473517,132.807851,-0.693969,0.282303,-0.574177,0.330202,664.505066,94183.90625,0.804839,0.193645,0,-286.43103,-286.544861,23.25,28.006231,0,5.32,0,202,,
2560,101,66260,66242,1,1,-7.751073,6.126536,0.136374,-0.006018,-0.010755,0.079892,-8.360237,7.125102,4.692398,-0.750263,-0.512,0.979014,175.183601,99.749442,133.137777,-0.690197,0.285521,-0.57802,0.328633,664.253296,94188.07813,-0.143826,-0.096479,0,-286.6828,-286.615784,23.125,27.988117,0,5.32,0,202,,
2561,101,68478,68471,1,1,-7.76714,6.12877,0.129133,0.010317,-0.004262,0.093788,-7.399185,11.449834,4.211873,-0.231464,0.219766,-0.227996,175.974401,99.800784,132.256914,-0.689903,0.285074,-0.577781,0.330053,664.696777,94178.35938,0.722288,0.070054,0,-286.239319,-286.514557,23.25,27.965475,0,5.32,0,202,,
2562,101,70617,70595,1,1,-7.731706,6.104702,0.139234,0.001453,0.031824,0.051159,-8.840761,4.722473,6.614501,0.133744,0.006652,-0.377531,175.011986,99.616267,133.027824,-0.68875,0.287432,-0.578079,0.329897,664.60022,94182.57813,0.391486,0.110461,0,-286.335876,-286.435974,23.125,27.942833,0,5.32,0,202,,
2563,101,72763,72758,1,1,-7.798917,6.100864,0.133444,0.000093,-0.042746,0.101506,-9.801813,6.16405,5.172924,-0.322369,0.140187,0.403061,175.538922,99.442275,132.679826,-0.688151,0.28645,-0.5798,0.328977,664.489563,94182.86719,0.355588,-0.088477,0,-286.446533,-286.547485,23.25,27.915661,0,5.32,0,202,,
2564,101,74911,74889,1,1,-7.750725,6.108612,0.129381,-0.009108,-0.021521,0.068401,-7.879711,6.644576,5.65345,0.218612,0.920954,-0.146408,175.25775,99.510775,133.052167,-0.688878,0.286088,-0.5795,0.3283,664.608582,94183.14844,0.474893,0.144716,0,-286.327515,-286.398743,23.125,27.888491,0,5.32,0,202,,
2565,101,77115,77071,1,1,-7.726073,6.110754,0.140046,0.004389,-0.008686,0.046387,-9.801813,10.008257,5.65345,-0.080316,0.279414,-0.137655,175.3094,99.133454,132.986911,-0.686778,0.287417,-0.581631,0.327769,664.254211,94190.21094,-0.861971,-0.094124,0,-286.681885,-286.431885,23.125,27.879433,0,5.32,0,202,,
2566,101,79198,79159,1,1,-7.743381,6.106475,0.137972,-0.006229,-0.002583,0.061453,-9.801813,0.878266,4.692398,-1.133068,-0.439121,-0.190716,174.555866,98.836129,133.659781,-0.685147,0.288746,-0.58324,0.327154,664.445618,94182.48438,-0.330023,-0.126031,0,-286.490479,-286.483643,23.125,27.856791,0,5.32,0,202,,
