index, checksum,uptime mp,uptime nav,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2\r
2424, 101,4678,6263,1,1,-0.160691,-0.004007,9.820919,0.025518,0.016177,0.021188,10.380273,2.965941,2.515490,-0.214467,0.457027,-0.194663,89.896867,178.913499,179.107450,0.706365,-0.707742,0.001186,-0.012213,651.810913,94327.109375,0.041981,-0.261506,0.302795,0.047424,0.045473,28.250000,33.939384,0,4.750000,0,0,0, 202
2425, 101,8419,8386,1,1,-0.158648,-0.015813,9.822985,-0.001981,0.001475,0.023278,9.899747,2.965941,1.554438,-0.206448,-0.320172,-0.298845,89.915663,179.084773,178.979903,0.706532,-0.707579,-0.000591,-0.012005,652.025269,94326.968750,0.006923,0.110372,0.441833,0.261780,0.286198,28.250000,33.948452,0,4.750000,0,0,0, 202
2426, 101,10556,10554,1,1,-0.160859,-0.018065,9.811510,0.008983,0.007591,0.011838,8.938695,2.965941,1.554438,-1.214197,0.228197,-0.221254,89.875638,179.005762,178.450030,0.706165,-0.707865,-0.003446,-0.015694,652.020874,94325.171875,0.497654,-0.044296,0.470764,0.257385,0.162920,28.375000,33.998318,0,4.750000,0,0,0, 202
2427, 101,12693,12692,1,1,-0.152368,-0.016791,9.818015,-0.011853,-0.006473,0.018202,9.899747,3.446467,1.554438,0.289604,-0.774980,0.188176,89.972033,179.177090,177.926032,0.706708,-0.707237,-0.007724,-0.017872,651.711792,94331.640625,-0.180136,0.006487,0.470764,-0.051697,0.131034,28.500000,34.039120,0,4.750000,0,0,0, 202
2428, 101,14923,14893,1,1,-0.158093,-0.020354,9.802822,0.022249,-0.001585,0.003093,9.419221,2.965941,1.554438,0.190013,-0.162523,-0.254483,89.928784,178.941886,177.619875,0.706319,-0.707542,-0.008895,-0.020486,651.988770,94326.945312,0.721061,0.135519,0.470764,0.225281,0.073221,28.375000,34.079918,0,4.750000,0,0,0, 202
2429, 101,17063,17023,1,1,-0.162988,-0.011818,9.808349,0.002301,0.013291,0.008701,9.419221,3.446467,1.554438,-0.593712,0.471675,0.109696,89.900097,179.032317,177.190256,0.706106,-0.707631,-0.011387,-0.023295,651.891541,94330.218750,0.186580,0.133345,0.470764,0.128052,0.137141,28.500000,34.129784,0,4.750000,0,0,0, 202
2430, 101,19204,19161,1,1,-0.154941,0.083969,9.806511,-0.025371,-0.136654,0.002746,9.419221,3.926993,1.073912,1.176259,-0.125685,0.357596,90.004442,179.005202,177.016975,0.706708,-0.706973,-0.012267,-0.024541,651.698303,94330.445312,-0.450998,-0.017493,0.470764,-0.065186,0.081496,28.500000,34.179646,0,4.760000,0,0,0, 202
2431, 101,21356,21340,1,1,-0.172797,0.063896,9.812188,-0.076085,0.133210,0.011718,8.938695,3.926993,1.073912,0.401938,-0.376700,0.460131,89.651717,179.458016,176.759995,0.708802,-0.704792,-0.014101,-0.025842,651.590942,94328.789062,-0.585351,-0.178936,0.470764,-0.172546,-0.103538,28.625000,34.220444,0,4.760000,0,0,0, 202
2432, 101,23558,23530,1,1,-0.107647,0.150724,9.828947,0.013702,0.028626,0.029641,7.497117,8.251725,5.879170,0.723173,1.106505,-0.306399,90.757546,179.362475,175.564712,0.711071,-0.702033,-0.023223,-0.031447,651.719666,94329.296875,-0.395619,0.086042,0.470764,-0.043823,-0.018174,28.625000,34.252178,0,4.760000,0,0,0, 202
2433, 101,25646,25633,1,1,-0.144770,0.139888,9.812147,0.025981,0.059023,0.013000,9.899747,3.446467,1.073912,0.241982,-0.415579,-0.193435,90.535995,179.069788,175.494334,0.709609,-0.703451,-0.021902,-0.033633,651.821228,94331.625000,0.532689,0.202802,0.470764,0.057739,0.103509,28.750000,34.297508,0,4.760000,0,0,0, 202
