timestamp(ms),Data age,State,Altitude,Verticalvel,RSSI,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Pitch,Yaw,Roll,Uptime,
"1721516629.268",,"0","1",,,,,,,,,,,,,
"1721516629.269",,,,"1.22","-78","0.46",,,,,,,,,,
"1721516629.27",,,,,,,"-0.21","9.88","0.03",,,,,,,
"1721516629.271",,,,,,,,,,"0.03","0","1.51","3.13",,,
"1721516629.272",,,,,,,,,,,,,,"1.77","1465389",
"1721516629.929","0.657",,,,,,,,,,,,,,,
"1721516630.031","0.758",,,,,,,,,,,,,,,
"1721516630.131","0.859",,,,,,,,,,,,,,,
"1721516630.232","0.96",,,,,,,,,,,,,,,
"1721516630.272",,"0","1.2","1.24",,,,,,,,,,,,
"1721516630.273",,,,,"-78","0.52","-0.24",,,,,,,,,
"1721516630.274",,,,,,,,"9.89","0","0","0",,,,,
"1721516630.275",,,,,,,,,,,,"1.51","3.12","1.77","1466393",
"1721516630.333","0.058",,,,,,,,,,,,,,,
"1721516630.435","0.159",,,,,,,,,,,,,,,
"1721516630.535","0.26",,,,,,,,,,,,,,,
"1721516630.636","0.361",,,,,,,,,,,,,,,
"1721516630.737","0.462",,,,,,,,,,,,,,,
"1721516630.838","0.563",,,,,,,,,,,,,,,
"1721516630.94","0.664",,,,,,,,,,,,,,,
"1721516631.04","0.765",,,,,,,,,,,,,,,
"1721516631.141","0.866",,,,,,,,,,,,,,,
"1721516631.242","0.967",,,,,,,,,,,,,,,
"1721516631.344","1.068",,,,,,,,,,,,,,,
"1721516631.444","1.169",,,,,,,,,,,,,,,
"1721516631.546","1.27",,,,,,,,,,,,,,,
"1721516631.646","1.371",,,,,,,,,,,,,,,
"1721516631.747","1.472",,,,,,,,,,,,,,,
"1721516631.848","1.573",,,,,,,,,,,,,,,
"1721516631.949","1.674",,,,,,,,,,,,,,,
"1721516632.05","1.775",,,,,,,,,,,,,,,
"1721516632.151","1.876",,,,,,,,,,,,,,,
"1721516632.198",,"0","1","1.23",,,,,,,,,,,,
"1721516632.199",,,,,"-78","0.49","-0.16","9.85",,,,,,,,
"1721516632.2",,,,,,,,,"-0.01","-0.01","0","1.51",,,,
"1721516632.201",,,,,,,,,,,,,"3.13","1.78","1467362",
"1721516632.252","0.051",,,,,,,,,,,,,,,
"1721516632.353","0.152",,,,,,,,,,,,,,,
"1721516632.454","0.253",,,,,,,,,,,,,,,
"1721516632.555","0.354",,,,,,,,,,,,,,,
"1721516632.656","0.455",,,,,,,,,,,,,,,
"1721516632.757","0.556",,,,,,,,,,,,,,,
"1721516632.858","0.657",,,,,,,,,,,,,,,
"1721516632.959","0.758",,,,,,,,,,,,,,,
"1721516633.061","0.859",,,,,,,,,,,,,,,
"1721516633.161","0.96",,,,,,,,,,,,,,,
"1721516633.201",,"0","0.9","1.23","-78",,,,,,,,,,,
"1721516633.202",,,,,,"0.52","-0.16","9.9","0","0.02",,,,,,
"1721516633.203",,,,,,,,,,,"-0.01","1.52","3.13",,,
"1721516633.204",,,,,,,,,,,,,,"1.78","1469322",
"1721516633.262","0.058",,,,,,,,,,,,,,,
"1721516633.363","0.159",,,,,,,,,,,,,,,
"1721516633.465","0.26",,,,,,,,,,,,,,,
"1721516633.565","0.361",,,,,,,,,,,,,,,
"1721516633.667","0.462",,,,,,,,,,,,,,,
"1721516633.767","0.563",,,,,,,,,,,,,,,
"1721516633.869","0.664",,,,,,,,,,,,,,,
"1721516633.97","0.765",,,,,,,,,,,,,,,
"1721516634.07","0.866",,,,,,,,,,,,,,,
"1721516634.172","0.967",,,,,,,,,,,,,,,
"1721516634.207",,"0","1.1","1.25","-78","0.51","-0.25",,,,,,,,,
"1721516634.208",,,,,,,,"9.87","0.02","0","-0.01","1.51","3.13",,,
"1721516634.212",,,,,,,,,,,,,,"1.79","1470325",
"1721516634.272","0.065",,,,,,,,,,,,,,,
"1721516634.373","0.166",,,,,,,,,,,,,,,
"1721516634.474","0.267",,,,,,,,,,,,,,,
"1721516634.575","0.368",,,,,,,,,,,,,,,
"1721516634.676","0.469",,,,,,,,,,,,,,,
"1721516634.777","0.57",,,,,,,,,,,,,,,
"1721516634.878","0.671",,,,,,,,,,,,,,,
"1721516634.979","0.772",,,,,,,,,,,,,,,
"1721516635.08","0.873",,,,,,,,,,,,,,,
"1721516635.181","0.974",,,,,,,,,,,,,,,
"1721516635.206",,"0","1.1",,,,,,,,,,,,,
"1721516635.207",,,,"1.25","-78","0.48","-0.14",,,,,,,,,
"1721516635.208",,,,,,,,"9.9","0.04","0",,,,,,
"1721516635.209",,,,,,,,,,,"-0.01","1.52",,,,
"1721516635.21",,,,,,,,,,,,,"-3.14","1.79","1471328",
"1721516635.282","0.072",,,,,,,,,,,,,,,
"1721516635.383","0.173",,,,,,,,,,,,,,,
"1721516635.484","0.274",,,,,,,,,,,,,,,
"1721516635.585","0.375",,,,,,,,,,,,,,,
"1721516635.686","0.476",,,,,,,,,,,,,,,
"1721516635.787","0.577",,,,,,,,,,,,,,,
"1721516635.888","0.678",,,,,,,,,,,,,,,
"1721516635.989","0.779",,,,,,,,,,,,,,,
"1721516636.09","0.88",,,,,,,,,,,,,,,
"1721516636.191","0.981",,,,,,,,,,,,,,,
"1721516636.252",,"0","1.1","1.25","-77","0.49","-0.16","9.9","-0.01","0.04",,,,,,
"1721516636.253",,,,,,,,,,,"0","1.52","3.13","1.79","1472331",
"1721516636.292","0.079",,,,,,,,,,,,,,,
"1721516636.393","0.18",,,,,,,,,,,,,,,
"1721516636.494","0.281",,,,,,,,,,,,,,,
"1721516636.595","0.382",,,,,,,,,,,,,,,
"1721516636.696","0.483",,,,,,,,,,,,,,,
"1721516636.797","0.584",,,,,,,,,,,,,,,
"1721516636.898","0.685",,,,,,,,,,,,,,,
"1721516636.999","0.786",,,,,,,,,,,,,,,
"1721516637.1","0.887",,,,,,,,,,,,,,,
"1721516637.201","0.988",,,,,,,,,,,,,,,
"1721516637.212",,"0",,,,,,,,,,,,,,
"1721516637.213",,,"0.8","1.24","-81",,,,,,,,,,,
"1721516637.214",,,,,,"0.48","-0.13","9.89","0.01","0.03",,,,,,
"1721516637.215",,,,,,,,,,,"0.01","1.52","3.14",,,
"1721516637.216",,,,,,,,,,,,,,"1.78","1473335",
"1721516637.302","0.086",,,,,,,,,,,,,,,
"1721516637.403","0.187",,,,,,,,,,,,,,,
"1721516637.504","0.288",,,,,,,,,,,,,,,
"1721516637.605","0.389",,,,,,,,,,,,,,,
"1721516637.706","0.49",,,,,,,,,,,,,,,
"1721516637.812","0.591",,,,,,,,,,,,,,,
"1721516637.908","0.692",,,,,,,,,,,,,,,
"1721516638.009","0.793",,,,,,,,,,,,,,,
"1721516638.11","0.894",,,,,,,,,,,,,,,
"1721516638.211","0.995",,,,,,,,,,,,,,,
"1721516638.215",,"0","0.9","1.25",,,,,,,,,,,,
"1721516638.216",,,,,"-80","0.51","-0.2","9.84",,,,,,,,
"1721516638.217",,,,,,,,,"-0.05","-0.01","0.01",,,,,
"1721516638.218",,,,,,,,,,,,"1.51","3.13","1.79","1474337",
"1721516638.312","0.094",,,,,,,,,,,,,,,
"1721516638.413","0.195",,,,,,,,,,,,,,,
"1721516638.514","0.296",,,,,,,,,,,,,,,
"1721516638.615","0.397",,,,,,,,,,,,,,,
"1721516638.716","0.498",,,,,,,,,,,,,,,
"1721516638.817","0.599",,,,,,,,,,,,,,,
"1721516638.918","0.7",,,,,,,,,,,,,,,
"1721516639.019","0.801",,,,,,,,,,,,,,,
"1721516639.12","0.902",,,,,,,,,,,,,,,
"1721516639.218",,"0","0.9","1.24",,,,,,,,,,,,
"1721516639.219",,,,,"-80","0.5","-0.16",,,,,,,,,
"1721516639.22",,,,,,,,"9.87","0.03","0","-0.01",,,,,
"1721516639.221","1.003",,,,,,,,,,,"1.51","-3.14","1.79",,
"1721516639.222",,,,,,,,,,,,,,,"1475340",
"1721516639.322","0.1",,,,,,,,,,,,,,,
"1721516639.423","0.201",,,,,,,,,,,,,,,
"1721516639.524","0.302",,,,,,,,,,,,,,,
"1721516639.625","0.403",,,,,,,,,,,,,,,
"1721516639.726","0.504",,,,,,,,,,,,,,,
"1721516639.827","0.605",,,,,,,,,,,,,,,
"1721516639.928","0.706",,,,,,,,,,,,,,,
"1721516640.03","0.807",,,,,,,,,,,,,,,
"1721516640.13","0.908",,,,,,,,,,,,,,,
"1721516640.223",,"0","0.8",,,,,,,,,,,,,
"1721516640.224",,,,"1.23","-80","0.48","-0.22","9.88",,,,,,,,
"1721516640.225",,,,,,,,,"-0.01","0","0.01",,,,,
"1721516640.226",,,,,,,,,,,,"1.51","3.13",,,
"1721516640.227",,,,,,,,,,,,,,"1.8","1476343",
"1721516640.231","0.005",,,,,,,,,,,,,,,
"1721516640.332","0.106",,,,,,,,,,,,,,,
"1721516640.433","0.207",,,,,,,,,,,,,,,
"1721516640.534","0.308",,,,,,,,,,,,,,,
"1721516640.635","0.409",,,,,,,,,,,,,,,
"1721516640.736","0.51",,,,,,,,,,,,,,,
"1721516640.837","0.611",,,,,,,,,,,,,,,
"1721516640.938","0.712",,,,,,,,,,,,,,,
"1721516641.039","0.813",,,,,,,,,,,,,,,
"1721516641.14","0.914",,,,,,,,,,,,,,,
"1721516641.227",,"0","1.1",,,,,,,,,,,,,
