checksum, eulerx, eulery, euler z, accelx, accely, accel z, gyro x, gyro y, gyro z, altitude, vvel, lyra uptime, errorflag MP, errorflag NAV, state, uptime reciver, dataage,checksum2
AB,88.235498,-179.335796,122.040017,0.210000,-0.090000,9.940000,0.000000,0.010000,0.010000,0.110000,0.270000,513184,1,1,0,8623,3,CD
AB,88.235498,-179.335796,122.040017,0.200000,-0.120000,9.930000,0.000000,0.030000,0.000000,0.100000,-0.220000,513720,1,1,0,9159,3,CD
AB,88.808456,-179.335796,122.040017,0.220000,-0.110000,9.940000,0.000000,0.020000,0.000000,0.110000,-0.220000,514257,1,1,0,9695,3,CD
AB,88.235498,-179.335796,122.040017,0.190000,-0.090000,9.940000,-0.020000,0.000000,0.000000,0.100000,0.230000,514793,1,1,0,10232,4,CD
AB,88.235498,-179.335796,122.040017,0.180000,-0.080000,9.940000,0.000000,0.000000,-0.010000,0.110000,-0.180000,515329,1,1,0,10767,3,CD
AB,88.808456,-179.335796,121.467046,0.210000,-0.090000,9.960000,0.000000,0.000000,0.000000,0.100000,-0.240000,515865,1,1,0,11303,3,CD
AB,88.235498,-179.335796,121.467046,0.220000,-0.110000,9.940000,0.000000,-0.010000,0.000000,0.080000,-1.110000,516402,1,1,0,11841,4,CD
AB,88.235498,-179.335796,121.467046,0.200000,-0.060000,9.940000,0.000000,0.000000,0.000000,0.110000,0.900000,516938,1,1,0,12377,4,CD
AB,88.235498,-179.908754,121.467046,0.210000,-0.080000,9.930000,0.000000,-0.010000,0.000000,0.100000,-0.110000,517474,1,1,0,12913,3,CD
AB,88.808456,-179.335796,121.467046,0.190000,-0.090000,9.930000,0.000000,0.000000,0.000000,0.100000,-0.260000,518010,1,1,0,13448,3,CD
AB,88.235498,-179.335796,120.894089,0.180000,-0.100000,9.940000,0.000000,0.010000,0.000000,0.090000,0.600000,518547,1,1,0,13985,3,CD
AB,88.235498,-179.908754,120.894089,0.170000,-0.060000,9.940000,0.000000,0.000000,0.010000,0.090000,-0.250000,519083,1,1,0,14522,4,CD
AB,88.235498,-179.335796,120.894089,0.210000,-0.120000,9.950000,0.000000,-0.010000,-0.020000,0.100000,0.020000,519619,1,1,0,15058,3,CD
AB,88.235498,-179.908754,120.894089,0.190000,-0.090000,9.950000,0.000000,0.000000,0.000000,0.090000,-0.830000,520155,1,1,0,15594,3,CD
AB,88.808456,-179.335796,120.894089,0.200000,-0.100000,9.940000,0.000000,0.000000,0.000000,0.110000,-0.150000,520692,1,1,0,16129,3,CD
AB,88.235498,-179.335796,120.894089,0.180000,-0.110000,9.930000,0.010000,0.000000,0.000000,0.090000,-0.320000,521228,1,1,0,16667,4,CD
AB,88.235498,-179.335796,120.894089,0.180000,-0.100000,9.940000,0.000000,-0.030000,0.010000,0.100000,0.700000,521764,1,1,0,17202,3,CD
AB,88.235498,-179.335796,120.321132,0.180000,-0.090000,9.930000,0.000000,-0.020000,0.000000,0.120000,0.540000,522300,1,1,0,17739,3,CD
AB,88.235498,-179.908754,120.321132,0.200000,-0.080000,9.930000,-0.010000,0.000000,-0.010000,0.100000,-0.330000,522837,1,1,0,18276,3,CD
AB,88.808456,-179.335796,120.321132,0.190000,-0.100000,9.940000,-0.010000,0.020000,-0.010000,0.090000,-0.290000,523374,1,1,0,18812,4,CD
AB,88.235498,-179.335796,120.321132,0.180000,-0.050000,9.940000,0.000000,-0.020000,0.020000,0.100000,-0.400000,523909,1,1,0,19348,4,CD
AB,88.235498,-179.335796,120.321132,0.200000,-0.070000,9.940000,0.000000,0.000000,0.000000,0.110000,0.410000,524446,1,1,0,19884,3,CD
AB,88.235498,-179.335796,120.321132,0.200000,-0.080000,9.940000,0.010000,0.000000,0.000000,0.110000,0.080000,524982,1,1,0,20420,3,CD
AB,88.235498,-179.335796,120.321132,0.180000,-0.080000,9.930000,0.000000,0.000000,-0.010000,0.100000,0.080000,525518,1,1,0,20957,4,CD
AB,88.235498,-179.335796,120.321132,0.170000,-0.100000,9.950000,0.000000,-0.020000,0.000000,0.100000,0.100000,526054,1,1,0,21493,3,CD
AB,88.235498,-179.908754,120.321132,0.190000,-0.120000,9.930000,0.000000,0.010000,-0.010000,0.110000,0.100000,526590,1,1,0,22029,3,CD
AB,88.235498,-179.908754,120.321132,0.200000,-0.100000,9.930000,0.000000,0.000000,0.000000,0.070000,-1.190000,527126,1,1,0,22564,3,CD
AB,88.235498,-179.335796,120.321132,0.200000,-0.060000,9.940000,0.000000,0.000000,0.000000,0.100000,-0.270000,527662,1,1,0,23101,4,CD
AB,88.235498,-179.908754,120.321132,0.190000,-0.090000,9.940000,0.000000,-0.010000,0.000000,0.120000,0.170000,528198,1,1,0,23636,4,CD
AB,88.235498,-179.335796,119.748174,0.190000,-0.060000,9.940000,0.000000,0.010000,0.000000,0.090000,-0.600000,528734,1,1,0,24173,3,CD
AB,88.808456,-179.335796,119.748174,0.190000,-0.080000,9.940000,0.000000,0.010000,-0.010000,0.110000,0.050000,529271,1,1,0,24710,3,CD
AB,88.235498,-179.335796,119.748174,0.180000,-0.080000,9.920000,0.000000,0.010000,0.000000,0.120000,0.370000,529807,1,1,0,25246,4,CD
AB,88.235498,-179.335796,119.175217,0.180000,-0.090000,9.940000,0.000000,-0.020000,0.000000,0.100000,-1.020000,530343,1,1,0,25782,4,CD
AB,88.235498,-179.335796,119.175217,0.190000,-0.090000,9.940000,0.000000,0.000000,0.000000,0.110000,0.190000,530879,1,1,0,26318,3,CD
AB,88.235498,-179.908754,119.175217,0.180000,-0.080000,9.920000,0.000000,0.000000,0.000000,0.090000,-0.210000,531417,1,1,0,26855,3,CD
AB,88.235498,-179.335796,119.175217,0.190000,-0.080000,9.940000,-0.010000,0.000000,-0.020000,0.080000,-0.520000,531952,1,1,0,27392,4,CD
AB,88.808456,-179.908754,119.175217,0.200000,-0.090000,9.940000,0.000000,0.030000,-0.010000,0.100000,0.030000,532488,1,1,0,27927,4,CD
AB,88.235498,-179.335796,118.602260,0.190000,-0.080000,9.940000,0.000000,0.000000,0.000000,0.080000,-0.350000,532821,1,1,0,28466,3,CD
AB,88.235498,-179.908754,118.602260,0.200000,-0.060000,9.940000,0.000000,0.000000,-0.010000,0.090000,-0.510000,533564,1,1,0,29002,3,CD
AB,88.235498,-179.335796,118.602260,0.190000,-0.080000,9.940000,0.010000,0.000000,0.010000,0.090000,-0.030000,534100,1,1,0,29539,4,CD
AB,88.235498,-179.908754,118.602260,0.190000,-0.080000,9.940000,0.000000,0.000000,0.000000,0.100000,-0.440000,534636,1,1,0,30074,4,CD
AB,88.235498,-179.335796,118.602260,0.190000,-0.070000,9.940000,0.000000,-0.010000,0.000000,0.080000,-1.200000,535172,1,1,0,30611,3,CD
AB,88.808456,-179.908754,118.602260,0.180000,-0.100000,9.950000,0.000000,0.020000,0.000000,0.090000,-0.240000,535708,1,1,0,31147,3,CD
AB,88.235498,-179.335796,118.602260,0.190000,-0.110000,9.950000,0.000000,-0.040000,0.000000,0.100000,0.280000,536246,1,1,0,31684,4,CD
AB,88.235498,-179.908754,118.602260,0.210000,-0.080000,9.930000,-0.010000,0.010000,0.010000,0.100000,0.580000,536782,1,1,0,32221,3,CD
AB,88.235498,-179.908754,118.602260,0.190000,-0.060000,9.930000,0.000000,0.000000,0.000000,0.090000,-0.290000,537318,1,1,0,32757,3,CD
AB,88.235498,-179.908754,118.602260,0.210000,-0.070000,9.940000,0.000000,-0.010000,0.000000,0.110000,0.300000,537855,1,1,0,33293,3,CD
AB,88.235498,-179.335796,118.602260,0.200000,-0.050000,9.940000,0.000000,0.000000,0.000000,0.100000,-0.160000,538392,1,1,0,33831,4,CD
AB,88.235498,-179.335796,118.602260,0.190000,-0.070000,9.950000,0.010000,0.000000,0.000000,0.100000,-0.310000,538928,1,1,0,34367,3,CD
AB,88.235498,-179.335796,118.602260,0.180000,-0.080000,9.930000,0.000000,0.000000,0.000000,0.070000,-0.540000,539464,1,1,0,34903,3,CD
AB,88.235498,179.908754,118.602260,0.190000,-0.090000,9.930000,0.000000,-0.010000,0.000000,0.090000,-0.240000,540001,1,1,0,35439,3,CD
AB,88.235498,-179.908754,118.602260,0.190000,-0.070000,9.920000,0.000000,0.010000,0.000000,0.110000,0.330000,540537,1,1,0,35976,4,CD
AB,88.235498,-179.335796,118.029303,0.190000,-0.100000,9.930000,0.010000,0.000000,0.000000,0.080000,-0.130000,541073,1,1,0,36512,3,CD
AB,88.235498,-179.335796,118.029303,0.180000,-0.070000,9.940000,0.000000,0.030000,-0.010000,0.100000,0.150000,541609,1,1,0,37047,3,CD
AB,88.235498,-179.335796,118.029303,0.210000,-0.090000,9.950000,0.000000,0.010000,0.000000,0.100000,0.110000,542147,1,1,0,37585,3,CD
AB,88.235498,-179.908754,118.029303,0.210000,-0.090000,9.940000,0.000000,-0.010000,-0.010000,0.090000,-0.400000,542682,1,1,0,38121,4,CD
AB,88.235498,-179.908754,118.029303,0.190000,-0.110000,9.940000,0.000000,0.000000,0.000000,0.100000,0.370000,543219,1,1,0,38657,3,CD
AB,88.235498,-179.908754,118.029303,0.180000,-0.080000,9.930000,0.000000,0.000000,-0.010000,0.110000,0.560000,543754,1,1,0,39193,3,CD
AB,88.235498,-179.335796,118.029303,0.190000,-0.060000,9.940000,0.000000,0.000000,0.000000,0.080000,-1.090000,544290,1,1,0,39729,4,CD
AB,88.235498,-179.335796,118.029303,0.200000,-0.070000,9.940000,0.000000,0.010000,0.000000,0.110000,0.980000,544827,1,1,0,40265,4,CD
AB,88.235498,179.335796,118.029303,0.200000,-0.080000,9.940000,-0.010000,0.010000,-0.010000,0.090000,0.010000,545362,1,1,0,40800,3,CD
AB,88.235498,179.908754,118.029303,0.200000,-0.100000,9.940000,0.000000,0.010000,0.000000,0.080000,-0.090000,545898,1,1,0,41337,3,CD
AB,88.235498,-179.335796,118.029303,0.190000,-0.080000,9.930000,0.010000,-0.030000,0.000000,0.080000,-0.620000,546436,1,1,0,41875,4,CD
AB,88.808456,-179.908754,118.029303,0.190000,-0.100000,9.940000,0.030000,0.000000,0.000000,0.050000,-1.320000,546972,1,1,0,42411,3,CD
AB,88.235498,-179.335796,118.029303,0.200000,-0.100000,9.940000,0.000000,0.000000,0.000000,0.090000,-0.150000,547509,1,1,0,42948,3,CD
AB,88.235498,-179.908754,118.029303,0.210000,-0.070000,9.950000,0.000000,0.000000,0.000000,0.090000,0.110000,548046,1,1,0,43483,3,CD
AB,88.235498,179.908754,118.029303,0.200000,-0.060000,9.950000,-0.010000,0.000000,0.010000,0.100000,0.150000,548582,1,1,0,44021,4,CD
AB,88.235498,-179.335796,118.029303,0.200000,-0.050000,9.960000,0.000000,-0.010000,0.000000,0.080000,-0.790000,549120,1,1,0,44557,3,CD
AB,88.235498,179.908754,117.456345,0.200000,-0.100000,9.940000,0.000000,0.010000,-0.010000,0.090000,0.400000,549655,1,1,0,45094,3,CD
AB,88.235498,-179.908754,117.456345,0.190000,-0.090000,9.940000,0.000000,0.010000,0.010000,0.090000,-0.430000,550191,1,1,0,45631,4,CD
AB,88.235498,-179.908754,117.456345,0.180000,-0.100000,9.940000,0.000000,0.000000,0.000000,0.080000,-0.500000,550727,1,1,0,46166,4,CD
AB,88.808456,-179.908754,117.456345,0.200000,-0.060000,9.930000,0.000000,0.030000,0.000000,0.070000,-1.260000,551263,1,1,0,46702,3,CD
AB,88.808456,-179.335796,117.456345,0.200000,-0.070000,9.940000,0.000000,0.030000,0.010000,0.100000,0.440000,551799,1,1,0,47237,3,CD
AB,88.235498,-179.908754,117.456345,0.190000,-0.110000,9.940000,-0.010000,0.000000,0.000000,0.080000,0.270000,552336,1,1,0,47775,4,CD
AB,88.235498,-179.335796,117.456345,0.200000,-0.090000,9.930000,0.000000,-0.020000,0.000000,0.080000,0.190000,552872,1,1,0,48311,3,CD
AB,88.235498,-179.335796,117.456345,0.200000,-0.070000,9.950000,0.000000,-0.010000,0.000000,0.100000,0.340000,553409,1,1,0,48848,3,CD
AB,88.235498,-179.908754,117.456345,0.190000,-0.100000,9.940000,0.010000,0.010000,0.000000,0.080000,-0.070000,553945,1,1,0,49384,3,CD
AB,88.235498,179.908754,117.456345,0.180000,-0.100000,9.940000,0.000000,0.010000,0.000000,0.080000,-0.330000,554481,1,1,0,49920,4,CD
AB,88.235498,-179.908754,117.456345,0.200000,-0.090000,9.940000,0.000000,0.000000,-0.010000,0.110000,0.900000,555019,1,1,0,50457,3,CD
AB,88.235498,179.908754,117.456345,0.200000,-0.100000,9.940000,0.000000,0.000000,0.000000,0.080000,-0.890000,555555,1,1,0,50994,3,CD
AB,88.235498,-179.908754,116.883388,0.190000,-0.070000,9.960000,0.000000,0.000000,0.000000,0.090000,-0.900000,556091,1,1,0,51530,4,CD
AB,88.235498,-179.335796,116.883388,0.200000,-0.090000,9.940000,0.000000,0.010000,0.000000,0.070000,-0.800000,556627,1,1,0,52067,4,CD
AB,88.235498,-179.908754,116.883388,0.190000,-0.090000,9.940000,0.000000,-0.010000,0.000000,0.100000,0.720000,557163,1,1,0,52602,3,CD
AB,88.235498,-179.908754,116.883388,0.190000,-0.070000,9.940000,0.000000,0.000000,0.000000,0.090000,-0.310000,557701,1,1,0,53139,3,CD
AB,88.235498,-179.335796,116.883388,0.200000,-0.080000,9.940000,0.000000,0.000000,0.000000,0.100000,0.510000,558236,1,1,0,53675,4,CD
AB,88.235498,-179.335796,116.310431,0.200000,-0.080000,9.940000,0.000000,0.000000,0.000000,0.090000,-0.110000,558772,1,1,0,54211,3,CD
AB,88.808456,-179.908754,116.310431,0.190000,-0.070000,9.940000,0.000000,0.000000,0.000000,0.090000,-0.300000,559309,1,1,0,54747,3,CD
AB,88.235498,179.908754,116.310431,0.200000,-0.060000,9.940000,0.000000,0.010000,-0.010000,0.080000,-0.590000,559846,1,1,0,55284,4,CD
AB,88.235498,179.908754,116.310431,0.200000,-0.050000,9.940000,0.000000,0.000000,0.010000,0.070000,-0.620000,560381,1,1,0,55820,4,CD
AB,88.808456,-179.335796,116.310431,0.180000,-0.090000,9.940000,0.000000,0.000000,0.000000,0.090000,0.630000,560919,1,1,0,56357,3,CD
AB,88.235498,-179.908754,116.310431,0.190000,-0.090000,9.950000,0.000000,-0.010000,0.000000,0.070000,0.660000,561455,1,1,0,56894,3,CD
AB,88.235498,-179.908754,116.310431,0.180000,-0.110000,9.940000,0.000000,0.000000,-0.010000,0.080000,-0.140000,561991,1,1,0,57430,4,CD
AB,88.808456,179.908754,116.310431,0.200000,-0.070000,9.930000,0.000000,0.020000,0.000000,0.060000,-0.380000,562527,1,1,0,57966,4,CD
AB,88.808456,179.908754,116.310431,0.220000,-0.080000,9.930000,0.000000,0.000000,0.000000,0.070000,-0.800000,563063,1,1,0,58502,3,CD
AB,88.235498,-179.908754,116.310431,0.210000,-0.050000,9.950000,0.000000,-0.010000,0.000000,0.080000,0.450000,563599,1,1,0,59037,3,CD
AB,88.235498,-179.335796,115.737474,0.210000,-0.090000,9.950000,0.000000,0.000000,-0.010000,0.070000,-0.120000,564135,1,1,0,59575,4,CD
AB,88.235498,179.908754,115.737474,0.190000,-0.080000,9.940000,-0.010000,0.010000,-0.010000,0.090000,0.340000,564671,1,1,0,60110,3,CD
AB,88.808456,-179.335796,115.737474,0.200000,-0.080000,9.950000,0.000000,0.000000,0.000000,0.090000,1.160000,565207,1,1,0,60646,3,CD
AB,88.235498,-179.908754,115.737474,0.200000,-0.080000,9.940000,0.000000,0.020000,0.000000,0.090000,-0.030000,565743,1,1,0,61181,3,CD
AB,88.808456,-179.335796,115.737474,0.190000,-0.080000,9.950000,0.000000,0.020000,0.000000,0.090000,0.370000,566279,1,1,0,61718,4,CD
AB,88.235498,-179.908754,115.737474,0.190000,-0.100000,9.920000,0.000000,0.010000,0.000000,0.070000,-0.370000,566816,1,1,0,62254,3,CD
AB,88.235498,179.908754,115.164516,0.190000,-0.080000,9.940000,0.000000,0.000000,0.000000,0.070000,-0.230000,567351,1,1,0,62790,3,CD
AB,88.235498,-179.335796,115.164516,0.200000,-0.080000,9.930000,0.000000,-0.010000,0.000000,0.070000,-0.580000,567887,1,1,0,63327,4,CD
AB,88.235498,-179.335796,115.164516,0.190000,-0.080000,9.920000,0.010000,-0.020000,0.000000,0.070000,-0.310000,568423,1,1,0,63862,4,CD
AB,88.235498,179.908754,115.164516,0.190000,-0.090000,9.930000,-0.010000,-0.010000,-0.010000,0.080000,0.760000,568959,1,1,0,64398,3,CD
AB,88.235498,179.908754,115.164516,0.190000,-0.080000,9.930000,0.000000,0.020000,-0.010000,0.080000,0.280000,569496,1,1,0,64935,3,CD
AB,88.235498,-179.335796,115.164516,0.190000,-0.090000,9.950000,0.000000,-0.020000,0.000000,0.060000,-0.310000,570033,1,1,0,65472,4,CD
AB,88.235498,-179.908754,115.164516,0.190000,-0.080000,9.930000,-0.010000,0.000000,0.000000,0.070000,0.690000,570569,1,1,0,66008,4,CD
AB,88.235498,179.908754,114.591559,0.210000,-0.100000,9.950000,0.000000,0.000000,-0.010000,0.070000,-0.440000,571105,1,1,0,66544,3,CD
AB,88.235498,179.335796,114.591559,0.190000,-0.090000,9.930000,0.000000,0.010000,-0.010000,0.080000,1.130000,571641,1,1,0,67080,3,CD
AB,88.808456,-179.908754,114.591559,0.200000,-0.070000,9.940000,0.000000,0.000000,0.000000,0.060000,-0.310000,572177,1,1,0,67617,4,CD
AB,88.235498,-179.335796,114.018602,0.200000,-0.080000,9.930000,0.000000,0.000000,0.000000,0.060000,-0.060000,572713,1,1,0,68152,4,CD
AB,88.235498,179.335796,114.018602,0.190000,-0.080000,9.950000,0.000000,0.030000,0.000000,0.080000,0.550000,573249,1,1,0,68688,3,CD
