checksum, eulerx, eulery, euler z, accelx, accely, accel z, gyro x, gyro y, gyro z, altitude, vvel, lyra uptime, errorflag MP, errorflag NAV, state, uptime reciver, dataage,checksum2
AB,0.000000,-0.572958,-67.036060,-9.080000,3.740000,-0.020000,0.000000,-0.010000,0.000000,0.040000,-0.540000,13445,1,1,0,9013,4,CD
AB,0.000000,-0.572958,-67.036060,-9.090000,3.750000,-0.030000,0.000000,0.000000,0.000000,0.050000,0.290000,13981,1,1,0,9549,3,CD
AB,0.000000,-0.572958,-67.036060,-9.070000,3.750000,-0.040000,0.000000,0.000000,0.000000,0.040000,0.320000,14517,1,1,0,10085,4,CD
AB,0.000000,-0.572958,-67.609017,-9.090000,3.730000,-0.030000,0.000000,0.020000,-0.010000,0.050000,0.020000,15054,1,1,0,10622,3,CD
AB,0.000000,-0.572958,-67.036060,-9.090000,3.760000,-0.030000,0.000000,0.000000,0.000000,0.040000,0.120000,15590,1,1,0,11158,4,CD
AB,0.000000,-0.572958,-67.036060,-9.090000,3.740000,-0.040000,0.010000,0.010000,0.000000,0.040000,-0.430000,16126,1,1,0,11694,3,CD
AB,0.000000,-0.572958,-67.609017,-9.090000,3.740000,-0.040000,0.000000,0.000000,0.000000,0.030000,0.280000,16663,1,1,0,12229,3,CD
AB,0.000000,-0.572958,-67.036060,-9.090000,3.760000,-0.020000,0.000000,0.000000,0.000000,0.030000,-0.040000,17199,1,1,0,12767,3,CD
AB,0.000000,-0.572958,-67.036060,-9.070000,3.750000,-0.030000,0.000000,0.000000,-0.010000,0.000000,-0.690000,17735,1,1,0,13303,3,CD
AB,0.000000,-0.572958,-67.036060,-9.090000,3.760000,-0.030000,-0.010000,0.020000,-0.010000,0.040000,0.090000,18271,1,1,0,13839,4,CD
AB,0.000000,-0.572958,-67.036060,-9.080000,3.760000,-0.030000,0.000000,0.020000,0.000000,0.040000,0.820000,18807,1,1,0,14375,3,CD
AB,0.000000,-0.572958,-67.036060,-9.100000,3.760000,-0.030000,0.000000,-0.010000,-0.010000,0.020000,0.290000,19344,1,1,0,14913,4,CD
AB,0.000000,-1.145916,-67.036060,-9.070000,3.750000,-0.020000,0.000000,0.010000,0.000000,0.000000,-0.400000,19880,1,1,0,15448,3,CD
AB,0.572958,-1.718873,-63.598316,-9.170000,3.370000,0.020000,-0.120000,0.030000,1.120000,0.000000,-0.270000,20226,1,1,0,15996,4,CD
AB,2.291831,2.864789,-75.057468,-9.620000,2.590000,1.020000,-0.370000,0.200000,0.080000,0.000000,0.120000,20965,1,1,0,16533,3,CD
AB,0.000000,7.448451,-75.630432,-9.680000,2.050000,-0.070000,-0.270000,-0.040000,0.200000,-0.010000,-0.780000,21502,1,1,0,17070,3,CD
AB,0.000000,14.323945,-75.057468,-9.510000,2.450000,-0.020000,0.060000,0.000000,-0.060000,0.000000,0.350000,22038,1,1,0,17606,4,CD
AB,142.666492,-144.958321,-53.858033,3.080000,-7.330000,3.850000,0.390000,0.680000,-0.040000,0.000000,-0.440000,5168,1,1,0,1033565,3,CD
AB,153.552693,-151.833821,-46.982539,4.910000,-7.350000,4.120000,0.340000,0.230000,0.030000,0.010000,-0.100000,6202,1,1,0,1034100,3,CD
AB,145.531278,-155.844522,-50.993243,5.160000,-7.020000,4.700000,-0.390000,-0.580000,-0.140000,0.020000,0.070000,6738,1,1,0,1034636,3,CD
AB,149.541979,-156.417479,-49.274371,5.340000,-6.660000,4.660000,0.130000,0.220000,0.030000,0.030000,0.550000,7274,1,1,0,1035172,3,CD
AB,146.677192,-157.563394,-52.712118,5.230000,-6.690000,4.980000,0.120000,0.110000,0.040000,0.040000,0.210000,7666,1,1,0,1035720,3,CD
AB,146.104235,-158.136351,-50.993243,5.240000,-6.220000,5.220000,0.050000,-0.070000,0.110000,0.020000,-0.590000,8358,1,1,0,1036256,3,CD
AB,144.958321,-159.282265,-52.712118,5.350000,-6.350000,5.390000,0.100000,0.160000,0.030000,0.010000,-0.300000,8894,1,1,0,1036792,3,CD
AB,146.677192,-161.574094,-53.285075,5.860000,-6.130000,5.080000,0.010000,0.040000,0.060000,0.000000,-0.110000,9431,1,1,0,1037329,4,CD
AB,144.385363,-162.147052,-55.003947,5.550000,-6.000000,5.420000,-0.010000,0.030000,-0.080000,0.000000,-0.140000,9966,1,1,0,1037866,4,CD
AB,143.812406,-161.001137,-53.858033,5.450000,-6.240000,5.390000,-0.010000,-0.010000,0.000000,0.010000,-0.380000,10502,1,1,0,1038401,4,CD
AB,145.531278,-158.709308,-50.993243,6.000000,-6.400000,4.790000,-0.010000,-0.220000,0.120000,0.000000,-0.540000,11038,1,1,0,1038937,4,CD
AB,144.958321,-159.855223,-53.858033,5.450000,-6.210000,5.290000,0.010000,-0.040000,-0.020000,0.010000,0.630000,11574,1,1,0,1039473,4,CD
AB,146.677192,-159.855223,-52.712118,5.780000,-6.440000,5.020000,0.010000,0.040000,0.090000,0.000000,0.210000,12110,1,1,0,1040009,4,CD
AB,144.958321,-159.855223,-54.430990,5.460000,-6.050000,5.580000,0.120000,0.060000,-0.100000,-0.010000,0.100000,12647,1,1,0,1040546,4,CD
AB,142.666492,-158.709308,-53.858033,5.230000,-6.460000,5.450000,-0.090000,0.050000,0.000000,0.000000,0.590000,13183,1,1,0,1041082,4,CD
AB,140.374663,-161.574094,-57.295780,4.880000,-6.130000,5.880000,-0.060000,-0.170000,-0.070000,-0.020000,-0.610000,13720,1,1,0,1041617,3,CD
AB,141.520577,-159.855223,-53.858033,5.410000,-5.990000,5.780000,0.030000,0.050000,0.100000,0.000000,0.220000,14255,1,1,0,1042154,3,CD
AB,143.239449,-159.282265,-53.858033,5.460000,-6.560000,5.300000,0.030000,-0.020000,0.090000,0.010000,1.090000,14791,1,1,0,1042690,3,CD
AB,155.844522,-163.865923,-52.712118,6.550000,-6.330000,3.910000,-0.490000,-0.810000,0.110000,0.030000,0.420000,15327,1,1,0,1043225,3,CD
AB,160.428180,-158.709308,-49.274371,6.080000,-7.020000,3.020000,-0.050000,-0.050000,-0.090000,0.010000,-0.470000,15863,1,1,0,1043761,3,CD
AB,154.698607,-164.438881,-56.722822,5.530000,-6.040000,4.770000,-0.280000,-0.040000,-0.190000,0.030000,0.260000,16400,1,1,0,1044298,3,CD
AB,155.844522,-148.969021,-44.690706,4.820000,-8.480000,2.370000,0.120000,0.550000,-0.350000,0.010000,-0.590000,16936,1,1,0,1044834,3,CD
AB,143.812406,-154.698607,-47.555496,5.760000,-6.060000,5.010000,0.140000,-0.460000,0.430000,0.020000,0.090000,17472,1,1,0,1045370,3,CD
AB,140.947620,-165.011852,-57.868737,5.730000,-5.630000,5.590000,-0.330000,-0.020000,-0.260000,0.020000,-0.150000,18008,1,1,0,1045906,3,CD
AB,152.406778,-142.093534,-43.544792,4.470000,-8.550000,4.460000,0.260000,-0.840000,0.410000,0.020000,-0.520000,18544,1,1,0,1046444,4,CD
AB,150.687907,-156.417479,-47.555496,6.690000,-7.260000,3.020000,-0.610000,-0.690000,0.450000,0.000000,-0.780000,19081,1,1,0,1046980,4,CD
AB,159.855223,-154.698607,-45.263667,5.860000,-7.220000,3.010000,0.150000,-0.340000,0.350000,0.020000,-0.020000,19618,1,1,0,1047516,4,CD
AB,166.730723,-169.022552,-52.139161,7.750000,-5.130000,2.510000,0.140000,-0.160000,-0.010000,0.020000,-0.150000,20154,1,1,0,1048051,4,CD
AB,167.303681,-165.584809,-49.847328,6.640000,-7.190000,1.910000,-0.110000,0.010000,-0.150000,0.000000,-0.320000,20689,1,1,0,1048588,4,CD
AB,162.720009,-157.563394,-41.252963,4.160000,-8.240000,2.570000,0.690000,0.660000,-1.680000,0.000000,-0.080000,21225,1,1,0,1049124,3,CD
AB,149.541979,-151.833821,-27.501974,0.800000,-8.580000,5.080000,0.030000,-0.250000,-0.120000,0.010000,0.160000,21761,1,1,0,1049659,3,CD
AB,156.417479,-152.406778,-21.199439,0.630000,-9.400000,2.560000,-0.410000,-0.480000,0.170000,0.000000,-0.100000,22298,1,1,0,1050196,3,CD
AB,152.979736,-158.136351,-21.199439,1.620000,-8.860000,4.100000,-0.110000,-0.170000,0.120000,0.000000,0.190000,22833,1,1,0,1050732,3,CD
AB,155.844522,-161.001137,-21.199439,2.330000,-8.960000,3.890000,0.080000,0.140000,-0.080000,0.000000,-0.010000,23370,1,1,0,1051267,3,CD
AB,163.865923,-160.428180,-18.907608,2.840000,-8.810000,2.550000,0.020000,-0.290000,0.110000,0.000000,-0.120000,23905,1,1,0,1051803,3,CD
AB,162.720009,-161.001137,-28.074933,3.770000,-8.800000,3.670000,0.570000,0.580000,-0.100000,0.020000,1.050000,24441,1,1,0,1052340,3,CD
AB,155.844522,-155.844522,-28.647890,2.580000,-8.610000,4.510000,-0.370000,0.150000,-0.340000,0.010000,-0.030000,24977,1,1,0,1052875,3,CD
AB,162.720009,-158.136351,-30.939722,4.310000,-8.850000,3.400000,-0.370000,0.000000,-0.420000,0.020000,0.720000,25513,1,1,0,1053411,3,CD
AB,178.189868,-147.250150,4.583662,0.820000,-10.450000,0.880000,-0.780000,-0.990000,0.710000,0.020000,0.110000,26049,1,1,0,1053948,3,CD
AB,166.730723,-145.531278,-13.178030,-1.960000,-9.900000,1.540000,0.330000,0.380000,-0.550000,0.000000,-0.370000,26585,1,1,0,1054483,3,CD
AB,174.752125,-149.541979,-9.740283,0.940000,-9.940000,1.660000,0.540000,0.260000,-0.570000,0.030000,0.330000,27121,1,1,0,1055020,4,CD
AB,14.896902,-21.772396,-163.292966,-0.770000,-9.770000,-0.580000,-1.100000,-0.570000,0.570000,0.020000,-0.220000,27657,1,1,0,1055556,4,CD
AB,14.896902,-19.480565,-167.876638,-0.840000,-10.520000,-2.660000,-0.340000,0.930000,-0.470000,0.010000,0.210000,28194,1,1,0,1056092,4,CD
AB,5.729578,-31.512679,179.335796,1.530000,-10.080000,-1.200000,0.820000,0.950000,0.140000,0.020000,0.360000,28729,1,1,0,1056628,4,CD
AB,126.623675,-138.082834,-37.815216,1.270000,-7.460000,4.750000,1.730000,1.410000,0.040000,0.020000,0.070000,29265,1,1,0,1057165,4,CD
AB,126.623675,-177.616911,-45.836624,4.850000,-4.380000,6.050000,0.060000,-0.050000,-0.220000,0.000000,-0.530000,29802,1,1,0,1057701,4,CD
AB,138.082834,-163.292966,-43.544792,6.200000,-5.630000,6.960000,-0.980000,0.190000,0.280000,-0.010000,-0.520000,30338,1,1,0,1058237,4,CD
AB,91.100291,-174.179168,-60.733523,-0.560000,0.370000,10.390000,0.270000,0.130000,0.570000,-0.010000,0.340000,30874,1,1,0,1058772,3,CD
AB,81.360004,-176.470997,-43.544792,-1.270000,-0.710000,9.600000,-0.280000,0.250000,0.250000,0.000000,0.180000,31410,1,1,0,1059309,3,CD
AB,79.068175,-173.606210,-42.971835,-1.500000,-0.080000,9.540000,-0.310000,-0.010000,0.490000,-0.010000,-0.570000,31946,1,1,0,1059845,3,CD
AB,87.662541,-178.189868,-44.690706,-1.100000,-0.320000,9.960000,-0.410000,0.010000,-0.030000,-0.010000,-0.050000,32482,1,1,0,1060380,3,CD
AB,42.971835,-179.335796,-41.252963,0.680000,-0.840000,8.970000,-0.370000,-0.150000,0.290000,-0.020000,-0.510000,33018,1,1,0,1060917,3,CD
AB,91.100291,177.616911,-35.523384,0.340000,-0.040000,9.770000,-0.020000,-0.080000,0.300000,-0.010000,-0.150000,33555,1,1,0,1061452,3,CD
AB,91.100291,179.908754,-17.188735,0.070000,-0.120000,9.960000,0.040000,-0.030000,0.010000,0.000000,0.980000,34091,1,1,0,1061989,3,CD
AB,89.954377,-179.335796,-17.188735,-0.040000,-0.110000,9.930000,0.010000,0.000000,0.240000,-0.010000,-0.970000,34627,1,1,0,1062526,3,CD
AB,91.673249,-178.762826,-17.761692,-0.170000,-0.060000,9.950000,0.000000,-0.030000,-0.040000,0.000000,-0.010000,35163,1,1,0,1063061,3,CD
