index," checksum",uptime mp,uptime nav,"  errorflag mp",errorflag NAV,"  accel x"," accel y"," accel z"," accelworld x"," accelworld y"," accelworld z"," accelhighg x"," accelhighg y"," accelhighg z"," gyro x"," gyro y"," gyro z"," euler x"," euler y"," euler z"," quat w"," quat x"," quat y"," quat z"," altitude"," presusre"," verticalvel",filtered vvel," maxalt"," altitudeagl"," filtered alt"," imutemp"," barotemp",state,battstate,pyros fired," checksum2\r"
1506," 101",0,4903,1,1,0.604244,8.325612,4.687630,-1.343446,-1.501359,-0.441733,-0.191296,3.926993,5.398644,18.185664,22.453166,30.348269,141.085699,141.591584,-135.261651,0.864001,-0.207666,0.432524,0.152647,1306.548096,87044.625000,-1.100749,0.323913,0.548218,0.090820,0.198481,12.000000,16.719513,0,0.000000,0," 202"
1507," 101",5042,5440,1,1,-4.669805,8.056540,0.333902,-1.456378,-2.122285,-0.845483,-6.918659,3.926993,-2.289769,61.632820,15.713851,71.662434,167.369155,114.342517,177.204450,0.833492,-0.105551,0.536425,-0.079991,1306.689209,87040.382812,0.814898,-0.026359,0.548218,0.231934,0.114831,12.000000,16.742144,0,0.000000,0," 202"
1508," 101",7542,7540,1,1,-4.814459,8.438365,1.334623,0.121062,0.074642,0.004407,-6.438133,3.926993,0.593386,-1.823379,-3.101617,-2.248065,168.188176,129.946016,158.608754,0.877562,-0.169711,0.396186,-0.210047,1306.840576,87036.906250,0.002356,-0.048607,0.548218,0.383301,0.220153,12.000000,16.778353,0,0.000000,0," 202"
1509," 101",9719,9702,1,1,-5.633052,8.204472,0.612633,-0.893617,-0.275091,0.126020,-5.477081,3.926993,0.593386,8.662822,13.453279,16.603927,169.254492,128.281676,158.408520,0.872409,-0.164105,0.410776,-0.207929,1306.576538,87044.562500,-1.313461,-0.045847,0.604492,0.119263,0.307724,12.000000,16.850769,0,0.000000,0," 202"
1510," 101",11813,11806,1,1,-6.299992,6.730600,2.369624,0.830857,0.136254,-0.319592,-6.918659,3.446467,3.957067,14.039156,7.210297,25.254102,162.035310,127.806664,147.511117,0.845755,-0.265447,0.369576,-0.278658,1306.569458,87042.750000,0.243776,-0.216397,0.604492,0.112183,0.125078,12.125000,16.905081,0,0.000000,0," 202"
1511," 101",13910,13910,1,1,-6.913384,7.211186,0.617241,-0.422237,0.077039,0.198642,-6.438133,2.965941,0.112860,-0.775520,7.387215,-1.596583,164.249671,112.433247,151.302842,0.778744,-0.246829,0.505407,-0.277844,1306.594360,87044.835938,0.174599,0.027899,0.604492,0.137085,0.197136,12.250000,16.959391,0,0.000000,0," 202"
1512," 101",16015,15980,1,1,-7.079241,7.050823,-0.330241,-0.094806,0.192101,0.193645,-7.879711,2.965941,0.112860,-1.872584,3.108996,-4.214666,3.905165,74.094630,-49.782302,0.732218,-0.228763,0.557639,-0.317117,1306.897217,87036.406250,-0.608765,-0.043623,0.604492,0.439941,0.329152,12.250000,17.000124,0,0.000000,0," 202"
1513," 101",18129,18094,1,1,-7.204204,6.535764,-1.613733,0.104518,-0.068874,0.058272,-7.399185,2.004889,-2.289769,4.164230,-5.408961,1.330429,35.367037,72.349059,-81.620822,0.699277,-0.181946,0.585888,-0.366936,1306.515015,87047.187500,-0.394417,-0.002258,0.604492,0.057739,0.201738,12.250000,17.058960,0,0.000000,0," 202"
1514," 101",20404,20380,1,1,-7.155660,6.363224,-2.436806,-0.153446,-0.052927,0.078563,-7.879711,3.446467,-3.250821,-2.086306,4.633861,-0.864977,45.773455,71.009918,-92.002887,0.680355,-0.162426,0.599631,-0.388816,1306.742188,87042.437500,-0.297167,0.156793,0.604492,0.284912,0.274134,12.250000,17.113268,0,0.000000,0," 202"
1515," 101",22525,22488,1,1,-6.825554,6.926639,-1.823856,-0.234722,0.242204,0.087337,-6.918659,2.004889,-1.809243,-17.166885,-35.146296,-7.948213,30.095770,71.957231,-74.435600,0.714586,-0.175842,0.578873,-0.351217,1306.728149,87043.750000,-0.420378,-0.148432,0.694214,0.270874,0.407542,12.375000,17.153999,0,0.000000,0," 202"
