index, checksum,uptime mp,uptime nav,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros, fired checksum2\r
24, 101,0,5029,1,1,2.447028,-8.129539,5.280940,1.145435,-0.512863,0.118204,2.691859,-11.449834,4.918118,-18.197104,15.406921,1.830743,133.051648,-141.984347,-57.862111,0.252774,-0.459580,0.180888,0.831968,1308.688721,87023.460938,0.627893,0.789122,0.500732,0.263916,0.257520,12.625000,17.203783,0,0.000000,0, 202
25, 101,5168,5543,1,1,3.923496,-7.557200,3.732443,0.886001,0.257214,-0.549780,3.172385,-10.488783,3.476542,8.356480,5.286067,-4.062014,144.690550,-145.508656,-52.740299,0.323663,-0.381761,0.134026,0.855300,1308.599854,87025.960938,0.137140,0.569422,0.500732,0.175049,0.279760,12.625000,17.230936,0,0.000000,0, 202
26, 101,7666,7663,1,1,5.233112,-6.694763,4.981109,0.153060,-0.083217,0.047168,4.613962,-10.008257,4.437593,7.143610,6.446761,2.670264,146.960741,-157.879003,-52.948753,0.363457,-0.291618,0.169072,0.868489,1308.880005,87016.390625,0.217274,0.163109,0.509155,0.455200,0.322168,12.750000,17.280718,0,0.000000,0, 202
27, 101,9821,9805,1,1,5.556615,-6.108443,5.423001,0.497649,-0.395028,0.057716,5.094488,-8.566679,4.437593,3.963219,5.984607,-8.812463,146.472027,-164.255299,-56.636817,0.391097,-0.262647,0.198905,0.859358,1308.406982,87026.445312,-0.022457,-0.080296,0.509155,-0.017822,0.072042,12.750000,17.384804,0,0.000000,0, 202
28, 101,11914,11891,1,1,5.584768,-6.432559,5.059858,0.029276,0.210085,0.104788,5.575014,-10.488783,4.437593,2.469518,-4.253236,-0.841150,145.774870,-159.927650,-53.714623,0.380917,-0.276099,0.174636,0.864970,1308.498291,87023.406250,0.282176,-0.097669,0.509155,0.073486,0.020208,12.750000,17.452686,0,0.000000,0, 202
29, 101,14014,13981,1,1,4.875090,-6.088225,6.023987,-0.255859,-0.308643,0.045862,4.133436,-9.047205,5.398644,1.141400,7.450375,3.404130,141.607457,-158.923817,-53.904153,0.372913,-0.303150,0.225391,0.847487,1308.441162,87021.054688,0.509155,0.007461,0.509155,0.016357,-0.064004,12.875000,17.538668,0,0.000000,0, 202
30, 101,16114,16109,1,1,6.382338,-6.171981,3.531757,-1.659433,0.372633,-0.398430,7.016591,-10.488783,3.476542,15.924743,-6.415715,22.965522,158.041739,-161.627274,-42.242989,0.395393,-0.198263,0.119184,0.888905,1308.775146,87021.906250,0.661065,0.119226,0.509155,0.350342,0.240601,12.875000,17.606546,0,0.000000,0, 202
31, 101,18219,18206,1,1,5.382370,-6.247040,6.014919,0.028592,-1.204040,0.334291,6.055540,-12.410886,2.996016,-28.853356,-0.027675,-19.106696,147.847313,-159.956309,-56.401059,0.388334,-0.297568,0.206288,0.847405,1308.763184,87021.789062,0.257748,0.125043,0.509155,0.338379,0.296761,13.000000,17.674423,0,0.000000,0, 202
32, 101,20408,20383,1,1,6.606067,-6.909419,2.149518,1.052796,-0.426061,-0.069057,5.575014,-12.891412,2.034964,3.445821,14.202630,-9.627532,168.101078,-167.920611,-52.964565,0.384850,-0.150106,0.056218,0.908955,1308.394775,87026.250000,-1.550392,-0.344066,0.509155,-0.030029,0.182589,13.000000,17.760401,0,0.000000,0, 202
33, 101,22523,22516,1,1,2.037235,-8.638772,4.275915,-0.621414,-0.098440,0.030903,2.691859,-12.410886,4.437593,15.915756,-9.379823,-4.598180,154.075967,-156.751407,-20.783033,0.153512,-0.228114,0.191479,0.942196,1308.616211,87021.601562,0.089621,-0.032015,0.509155,0.191406,0.115029,13.125000,17.805651,0,0.000000,0, 202
34, 101,24636,24613,1,1,3.050771,-8.593695,2.848340,0.495102,0.566955,-0.277069,2.691859,-12.410886,1.073912,0.490826,11.104808,-6.993950,156.904745,-159.896655,-29.457100,0.195122,-0.213144,0.116860,0.950179,1308.801880,87017.640625,0.963624,0.376553,0.509155,0.377075,0.181929,13.125000,17.869001,0,0.000000,0, 202
35, 101,26813,26802,1,1,0.749459,-9.831676,1.172209,-2.104050,0.190981,-0.098726,0.289230,-14.332990,0.593386,-11.542484,-21.784134,33.029613,178.413174,-148.286016,5.858005,0.041828,-0.268753,0.044885,0.961253,1308.622803,87023.289062,0.528158,0.108805,0.509155,0.197998,0.214655,13.250000,17.941399,0,0.000000,0, 202
36, 101,28927,28901,1,1,0.771226,-9.172189,1.443578,-0.269865,-0.055620,-0.488007,0.289230,-11.930360,0.593386,66.661198,36.470676,19.129505,170.073964,-139.892082,-10.186782,0.064783,-0.346938,0.057655,0.933870,1308.656738,87021.039062,-0.587210,0.006426,0.509155,0.231934,0.232326,13.250000,18.018322,0,0.000000,0, 202
37, 101,31049,31043,1,1,0.104361,0.997881,8.066152,-2.135253,-0.758863,-1.994959,-1.632874,-4.722473,9.242851,42.904783,39.611378,69.671509,91.423878,-170.602730,-49.780833,0.248387,-0.346093,0.606599,0.671239,1308.165161,87027.804688,-0.140844,-0.065864,0.509155,-0.259644,-0.144022,13.375000,18.081669,0,0.000000,0, 202
38, 101,33174,33152,1,1,0.232199,-0.445882,9.924108,-0.483677,1.596390,-0.005173,0.289230,-6.164050,8.762325,-35.376910,7.170818,0.521061,83.539320,-176.422325,-43.189113,0.257865,-0.261564,0.644426,0.670675,1308.424072,87022.843750,0.744808,-0.005839,0.509155,-0.000732,-0.076766,13.375000,18.145014,0,0.000000,0, 202
39, 101,35353,35351,1,1,0.097254,0.003801,10.033518,-0.289437,-0.012148,0.228807,-2.593925,-4.241947,9.723377,3.221041,0.138333,10.479205,90.218944,-178.882327,-17.841810,0.112083,-0.107272,0.697945,0.699144,1308.618896,87017.804688,0.342718,0.126456,0.509155,0.194092,0.032092,13.375000,18.212883,0,0.000000,0, 202
40, 101,37423,37381,1,1,-0.061839,-0.213723,9.946998,-0.071063,0.065894,0.148014,-1.152348,-5.202998,9.242851,0.341644,-0.085639,-0.427607,90.676464,-178.864773,-18.367209,0.106638,-0.119136,0.692752,0.703229,1308.455566,87023.664062,-0.289988,-0.015498,0.509155,0.030762,0.098356,13.500000,18.271704,0,0.000000,0, 202
41, 101,39499,39463,1,1,-0.103676,-0.193460,9.944390,0.013245,-0.010848,0.145797,-0.191296,-5.683524,9.242851,-0.718180,-0.314996,0.003988,90.928013,-179.154537,-18.612329,0.110159,-0.118603,0.691257,0.704246,1308.456299,87021.617188,0.045818,0.100371,0.509155,0.031494,-0.027026,13.500000,18.335047,0,0.000000,0, 202
42, 101,41577,41538,1,1,-0.100496,-0.199555,9.955611,-0.013206,-0.008481,0.145804,-0.671822,-4.722473,9.723377,0.491971,1.467129,-0.603937,90.949529,-178.997798,-19.055068,0.111955,-0.122212,0.690492,0.704096,1308.245239,87027.242188,-0.953357,0.160429,0.509155,-0.179565,0.111544,13.625000,18.407436,0,0.000000,0, 202
43, 101,43728,43718,1,1,-0.099247,-0.216150,9.937696,0.020275,0.011675,0.139515,0.289230,-4.722473,9.723377,0.700374,-0.276250,-0.773727,90.915740,-179.161108,-19.527415,0.115226,-0.124664,0.689884,0.703734,1308.244629,87026.328125,-0.316713,-0.164421,0.509155,-0.180176,-0.135417,13.625000,18.461729,0,0.000000,0, 202
44, 101,45809,45797,1,1,-0.099117,-0.220734,9.942501,0.019704,0.002464,0.144425,-0.671822,-4.241947,8.762325,-0.498949,-0.398991,-0.276564,90.982874,-179.139101,-20.156180,0.118992,-0.128544,0.689050,0.703227,1308.621094,87022.835938,0.463366,0.368617,0.509155,0.196289,0.093771,13.750000,18.552216,0,0.000000,0, 202
45, 101,47892,47880,1,1,-0.094035,-0.222848,9.938125,-0.020455,0.022729,0.140021,-0.671822,-3.761421,9.242851,1.009641,0.127298,0.007308,90.879102,-178.921054,-20.691425,0.122239,-0.131840,0.688418,0.702678,1308.284546,87028.062500,-0.787456,0.036549,0.509155,-0.140259,0.026875,13.750000,18.647224,0,0.000000,0, 202
46, 101,49981,49964,1,1,-0.089417,-0.206589,9.952370,-0.025604,0.007635,0.153879,-0.191296,-5.683524,9.723377,-0.322640,-0.017420,-0.625217,90.879581,-178.943703,-21.135537,0.125169,-0.134294,0.688437,0.701678,1308.301147,87024.039062,-0.111941,-0.221185,0.509155,-0.123657,-0.147085,13.750000,18.710562,0,0.000000,0, 202
47, 101,52074,52054,1,1,-0.118317,-0.197092,9.941611,0.034412,-0.004455,0.143208,-0.191296,-5.683524,10.203903,-0.369993,0.066045,-0.212767,90.833948,-179.148840,-21.416663,0.127213,-0.135622,0.688716,0.700781,1308.256104,87025.648438,0.336862,-0.015856,0.509155,-0.168701,-0.241036,13.875000,18.787470,0,0.000000,0, 202
48, 101,54170,54141,1,1,-0.086820,-0.208682,9.943656,-0.003340,-0.001969,0.145224,-0.191296,-4.241947,9.723377,0.823845,-0.302802,0.169234,90.936920,-179.064843,-22.106532,0.131143,-0.140068,0.687238,0.700633,1308.410645,87022.445312,0.103456,-0.060713,0.509155,-0.014160,-0.034536,13.875000,18.859854,0,0.000000,0, 202
49, 101,56278,56278,1,1,-0.104130,-0.205579,9.953484,0.000624,0.002585,0.155151,-0.671822,-4.722473,11.164955,-0.003905,0.772757,-0.079085,90.851276,-178.999136,-22.361616,0.132105,-0.142192,0.687195,0.700066,1308.449219,87021.343750,0.133970,-0.099142,0.509155,0.024414,-0.027669,14.000000,18.923189,0,0.000000,0, 202
50, 101,58383,58373,1,1,-0.088429,-0.208405,9.940781,-0.003618,0.007738,0.142355,-0.671822,-4.722473,9.242851,-0.700316,-0.390862,-0.429782,90.865469,-179.044325,-22.773522,0.135078,-0.144206,0.686515,0.699754,1308.403076,87024.820312,-0.083427,0.018963,0.509155,-0.021729,-0.052000,14.000000,19.004618,0,0.000000,0, 202
51, 101,60560,60525,1,1,-0.105293,-0.209597,9.951510,-0.011073,-0.012932,0.153260,0.289230,-6.164050,9.242851,0.049713,1.075953,-1.009780,90.946455,-178.905358,-23.095735,0.136412,-0.146781,0.686136,0.699332,1308.515381,87022.414062,0.633715,0.054515,0.509155,0.090576,0.034385,14.125000,19.086044,0,0.000000,0, 202
52, 101,62671,62661,1,1,-0.085855,-0.197195,9.936115,-0.002703,-0.007764,0.137439,-0.671822,-4.241947,9.723377,-0.468714,-0.796277,-0.628636,90.896233,-179.082929,-23.103535,0.137198,-0.146072,0.686180,0.699283,1308.319092,87024.906250,0.339412,-0.153097,0.509155,-0.105713,-0.077275,14.125000,19.167471,0,0.000000,0, 202
53, 101,64777,64759,1,1,-0.089078,-0.213423,9.948346,0.001998,0.018941,0.150016,-2.113400,-6.164050,9.242851,0.172074,1.904127,-0.722788,90.808970,-179.046756,-23.763007,0.140954,-0.150286,0.685200,0.698603,1308.538818,87026.570312,0.037033,0.053584,0.509155,0.114014,0.111353,14.250000,19.239847,0,0.000000,0, 202
54, 101,66892,66857,1,1,-0.094833,-0.208964,9.944270,0.016043,-0.004730,0.145903,-0.671822,-5.683524,9.242851,0.260808,-0.712296,0.235467,90.903158,-179.102286,-24.089193,0.142794,-0.152370,0.684921,0.698052,1308.454834,87025.289062,-0.072354,0.136828,0.509155,0.030029,0.152155,14.250000,19.312223,0,0.000000,0, 202
