timestamp(ms),navlooprate,MP uptime,NAV uptime,MISSIONTIME,accel x,accel y,accel z,mag x,mag y,mag z,accelabs,highaccel x,highaccel y,highaccel z,highaccelabs,accelworld x,accelworld y,accelworld z,gyro x,gyro y,gyro z,altitude,verticalvel,filtered vvel,filtered accel,orientation pitch,orientation yaw,orientation roll,maxrecorded alt,filtered alt,state ,altitudeagl ,battery vol ,baro temp ,pyro cont ,pyros fired ,pyro state,covarience x,covarience y,covarience z,
"1779660678.889",,"18960","18960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.891",,,,"0","-6.229521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.894",,,,,,"7.623374","-1.725327","7.877813","-46.536098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.895",,,,,,,,,,"75.211922","9.994974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.896",,,,,,,,,,,,"3.844207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.897",,,,,,,,,,,,,"-7.688414","-11.53262","14.383705",,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.898",,,,,,,,,,,,,,,,"-0.011909","-0.04118","0.193882",,,,,,,,,,,,,,,,,,,,,,,
"1779660678.899",,,,,,,,,,,,,,,,,,,"-2.3551","1.175152","-0.08075","1970.28418","-1.98105","1.520516",,,,,,,,,,,,,,,,,
"1779660678.9",,,,,,,,,,,,,,,,,,,,,,,,,"0.124176","10.203871","-3.870829","-38.505454","0.83487","0.539873","0",,,,,,,,,,
"1779660678.901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.195435","8.5","24.378593","0",,,,,,
"1779660678.903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0.000957","0.000224",,
"1779660678.905",,"18938","18938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000335",
"1779660678.906",,,,"0","-6.203971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.909",,,,,,"7.555132","-1.71863","7.907045","-46.448406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.911",,,,,,,,,,"74.729607","9.925874","2.883155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.913",,,,,,,,,,,,,"-7.207888","-10.571568","13.115803",,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.915",,,,,,,,,,,,,,,,"-0.034022","-0.037261","0.124745",,,,,,,,,,,,,,,,,,,,,,,
"1779660678.917",,,,,,,,,,,,,,,,,,,"-0.615412","-0.754193","0.471417","1970.158691",,,,,,,,,,,,,,,,,,,
"1779660678.918",,,,,,,,,,,,,,,,,,,,,,,"-2.016772","1.520064","0.107164",,,,,,,,,,,,,,,,
"1779660678.919",,,,,,,,,,,,,,,,,,,,,,,,,,"10.223121","-3.912057","-38.502753",,,,,,,,,,,,,
"1779660678.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.83487","0.550059","0",,,,,,,,,,
"1779660678.921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.069946","8.5","24.383078",,,,,,,
"1779660678.922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0.000957",,,
"1779660678.924",,"18917","18917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000224","0.000335",
"1779660678.925",,,,"0","-6.182495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.927",,,,,,"7.542186","-1.746588","8.097048","-46.389942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.929",,,,,,,,,,"74.890381","9.907491","2.883155","-7.207888","-11.052094","13.50611",,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.93",,,,,,,,,,,,,,,,"-0.022311","-0.009143","0.106461",,,,,,,,,,,,,,,,,,,,,,,
"1779660678.931",,,,,,,,,,,,,,,,,,,"-0.741113","1.245905","0.887775","1970.363159","-1.088433","1.519843","0.128157",,,,,,,,,,,,,,,,
"1779660678.932",,,,,,,,,,,,,,,,,,,,,,,,,,"10.239495","-3.908501","-38.509734","0.83487","0.574771","0",,,,,,,,,,
"1779660678.934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.274414","8.5","24.378593",,,,,,,
"1779660678.936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0.000957",,,
"1779660678.938",,"18895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000223","0.000335",
"1779660678.939",,,"18895","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.942",,,,,"-6.167891","7.586185","-1.729164","7.936276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.945",,,,,,,,,"-46.141479","75.255775","9.928901","3.844207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.946",,,,,,,,,,,,,"-7.207888","-11.052094","13.743375",,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660678.948",,,,,,,,,,,,,,,,"0.018609","-0.032963","0.127829",,,,,,,,,,,,,,,,,,,,,,,
"1779660678.949",,,,,,,,,,,,,,,,,,,"0.378018","-0.632286","-1.142437","1970.271606",,,,,,,,,,,,,,,,,,,
"1779660678.95",,,,,,,,,,,,,,,,,,,,,,,"-1.731421","1.518718","0.137966",,,,,,,,,,,,,,,,
"1779660678.951",,,,,,,,,,,,,,,,,,,,,,,,,,"10.236127","-3.93312","-38.52518",,,,,,,,,,,,,
"1779660678.952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.83487","0.580523","0",,,,,,,,,,
"1779660678.954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.182861","8.5","24.369623",,,,,,,
