timestamp(ms),navlooprate,prof_period_us,prof_overruns,prof_loop_work_avg_us,prof_loop_work_max_us,prof_getsensordata_avg_us,prof_getsensordata_max_us,prof_imu_avg_us,prof_imu_max_us,prof_baro_avg_us,prof_baro_max_us,prof_adxl_avg_us,prof_adxl_max_us,prof_mag_avg_us,prof_mag_max_us,prof_sensor_post_avg_us,prof_sensor_post_max_us,prof_kfrun_avg_us,prof_kfrun_max_us,prof_accel_adjust_avg_us,prof_accel_adjust_max_us,loggingtime_avg_us,loggingtime_max_us,loggingtime_count,
"1779671842.344","93.132072",,,,,,,,,,,,,,,,,,,,,,,,
"1779671842.345",,"10000","41",,,,,,,,,,,,,,,,,,,,,,
"1779671842.346",,,,"10492.552734","12535",,,,,,,,,,,,,,,,,,,,
"1779671842.347",,,,,,"8206.65918","9625",,,,,,,,,,,,,,,,,,
"1779671842.348",,,,,,,,"4375.808594","5409","2196.872314",,,,,,,,,,,,,,,
"1779671842.349",,,,,,,,,,,"2794","886.638306","1097",,,,,,,,,,,,
"1779671842.35",,,,,,,,,,,,,,"678.25531","914",,,,,,,,,,
"1779671842.351",,,,,,,,,,,,,,,,"27.212767","93","2168.170166","2876",,,,,,
"1779671842.352",,,,,,,,,,,,,,,,,,,,"1197.75","1372",,,,
"1779671842.853","92.620895",,,,,,,,,,,,,,,,,,,,,,,,
"1779671842.854",,"10000","42",,,,,,,,,,,,,,,,,,,,,,
"1779671842.855",,,,"10562.510742","13312",,,,,,,,,,,,,,,,,,,,
"1779671842.856",,,,,,"8274.830078","9160","4439.510742",,,,,,,,,,,,,,,,,
"1779671842.857",,,,,,,,,"5324","2173.851074",,,,,,,,,,,,,,,
"1779671842.858",,,,,,,,,,,"2543","901.063843","1231","691.851074",,,,,,,,,,,
"1779671842.859",,,,,,,,,,,,,,,"860",,,,,,,,,,
"1779671842.86",,,,,,,,,,,,,,,,"24.404255","81","2143.234131","2687",,,,,,
"1779671842.861",,,,,,,,,,,,,,,,,,,,"1181.199951","1394",,,,
"1779671843.36","92.940948","10000","41",,,,,,,,,,,,,,,,,,,,,,
"1779671843.361",,,,"10509.12793","11990",,,,,,,,,,,,,,,,,,,,
"1779671843.362",,,,,,"8203.467773","9099",,,,,,,,,,,,,,,,,,
"1779671843.363",,,,,,,,"4367.276367","5213","2189.595703",,,,,,,,,,,,,,,
"1779671843.364",,,,,,,,,,,"2651","886.212769","1109",,,,,,,,,,,,
"1779671843.365",,,,,,,,,,,,,,"691.063843","950","25.829786",,,,,,,,,
"1779671843.366",,,,,,,,,,,,,,,,,"81","2154.04248","2747",,,,,,
"1779671843.367",,,,,,,,,,,,,,,,,,,,"1268.599976","1512",,,,
"1779671843.868","92.807083",,,,,,,,,,,,,,,,,,,,,,,,
"1779671843.869",,"10000","44",,,,,,,,,,,,,,,,,,,,,,
"1779671843.87",,,,"10564.106445","12199",,,,,,,,,,,,,,,,,,,,
"1779671843.871",,,,,,"8231.12793","9448","4391.574707","5350",,,,,,,,,,,,,,,,
"1779671843.872",,,,,,,,,,"2193.085205","2521",,,,,,,,,,,,,,
"1779671843.873",,,,,,,,,,,,"885.212769","1157","691.319153","802",,,,,,,,,,
"1779671843.874",,,,,,,,,,,,,,,,"27.425531","89",,,,,,,,
