index, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, mag x, mag y, mag z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z,quatadj w, quatadj x, quatadj y, quatadj z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,abs imu accel,abs adxl accel, pad altitude, baro max alt, mag raw x, mag raw y, mag raw z, cov x, cov y, cov z, sats, status, met, filtered accel ,state,battstate,pyros fired,pyros cont,pyros state, checksum2
585, 101,13075,13475,-7852,0,0,1.763469,-9.633021,0.067546,0.037858,-0.058112,-0.007907,-20.315699,29.786613,-14.235603,1.922103,-8.168940,-6.246836,0.332602,1.031766,-0.603945,0.854944,111.553429,169.228442,-0.046646,-0.823573,-0.073430,-0.560500,-0.046646,-0.823573,-0.073430,-0.560500,1978.129883,80200.421875,448.642609,-0.479815,0.000000,-1.328125,-32.105152,23.000000,28.133537,9.793339,10.461788,1979.458008,0.000000,-0.203157,0.297866,-0.142356,0.000912,0.000007,0.000335,0,1,0,-0.023048,0,0.390000,0,15,0,202
586, 101,14450,14427,-6477,0,0,1.768899,-9.596605,0.071484,-0.037445,-0.002124,-0.044202,-20.418007,29.771996,-14.191757,2.883155,-9.129992,-4.805259,1.146401,-2.232112,1.347280,1.277330,111.438307,168.590229,-0.047871,-0.822892,-0.074518,-0.561252,-0.046821,-0.822767,-0.075884,-0.561341,1979.661011,80198.085938,-0.420918,-0.403584,0.217773,0.203003,-0.491583,23.000000,28.247337,9.758533,10.712602,1979.458008,0.217773,-0.204180,0.297720,-0.141918,0.000952,0.000024,0.000335,0,1,0,-0.051774,0,0.390000,0,15,0,202
587, 101,14499,14477,-6428,0,0,1.732363,-9.625556,0.050608,0.003591,-0.012205,-0.020672,-20.330313,29.435837,-13.987139,0.961052,-9.610518,-4.805259,0.292649,0.902680,0.147829,0.828165,111.466351,169.100908,-0.047525,-0.823054,-0.074432,-0.561055,-0.047525,-0.823054,-0.074432,-0.561055,1979.701660,80200.804688,-0.145447,-0.405066,0.243652,0.243652,-0.376338,23.000000,28.256441,9.780336,10.787779,1979.458008,0.243652,-0.203303,0.294358,-0.139871,0.000952,0.000025,0.000335,0,1,0,-0.042695,0,0.390000,0,15,0,202
588, 101,14550,14531,-6377,0,0,1.739935,-9.680691,0.040957,0.003113,-0.005485,0.034893,-20.359545,29.611223,-13.914061,0.480526,-9.129992,-5.285784,-2.180028,1.175025,0.531143,0.639697,111.395208,169.251623,-0.048317,-0.822703,-0.074495,-0.561495,-0.048191,-0.822725,-0.074237,-0.561507,1979.680664,80203.132812,1.421669,-0.406003,0.273315,0.222656,-0.279368,23.000000,28.247337,9.835896,10.560642,1979.458008,0.273315,-0.203595,0.296112,-0.139141,0.000952,0.000025,0.000335,0,1,0,0.063170,0,0.390000,0,15,0,202
589, 101,14600,14587,-6327,0,0,1.722817,-9.681832,0.083028,0.043811,0.031128,0.033123,-20.096462,29.845074,-13.183279,0.961052,-9.129992,-5.285784,-0.276527,-2.047634,1.186021,0.493129,111.398411,169.375345,-0.048635,-0.822759,-0.074068,-0.561441,-0.048635,-0.822759,-0.074068,-0.561441,1979.532837,80205.257812,0.747309,-0.403252,0.273315,0.074829,-0.225254,23.000000,28.229130,9.834270,10.593389,1979.458008,0.273315,-0.200965,0.298451,-0.131833,0.000952,0.000026,0.000335,0,1,0,0.057331,0,0.390000,0,15,0,202
590, 101,14650,14641,-6277,0,0,1.703477,-9.700438,0.073842,0.025079,0.051275,0.047986,-20.593395,30.064308,-13.534054,1.441578,-9.129992,-4.805259,0.942427,-1.384031,0.527165,0.506388,111.410965,169.344049,-0.046113,-0.822832,-0.073861,-0.561574,-0.048684,-0.822806,-0.074234,-0.561346,1979.700806,80198.617188,0.071190,-0.400917,0.273315,0.242798,-0.167728,23.000000,28.201818,9.849152,10.417553,1979.458008,0.273315,-0.205934,0.300643,-0.135341,0.000952,0.000027,0.000335,0,1,0,-0.018967,0,0.390000,0,15,0,202
591, 101,14700,14694,-6227,0,0,1.707871,-9.652838,0.051697,-0.023318,-0.021869,0.001844,-20.739550,29.465067,-13.183279,0.961052,-9.129992,-4.805259,1.752838,-0.927810,-0.386650,1.301138,111.448402,168.824613,-0.045495,-0.822979,-0.074090,-0.561378,-0.045495,-0.822979,-0.074090,-0.561378,1979.620117,80203.664062,0.172994,-0.400073,0.273315,0.162109,-0.119812,23.000000,28.201818,9.802896,10.361992,1979.458008,0.273315,-0.207395,0.294651,-0.131833,0.000952,0.000028,0.000335,0,1,0,-0.006156,0,0.390000,0,15,0,202
592, 101,14749,14722,-6178,0,0,1.730490,-9.662431,0.082486,0.011371,-0.031825,0.015457,-20.374159,29.713535,-13.402514,3.363681,-9.129992,-5.766310,-0.305393,1.114532,-1.053384,1.332719,111.464705,168.803126,-0.045361,-0.823058,-0.074099,-0.561273,-0.045361,-0.823058,-0.074099,-0.561273,1979.567749,80203.664062,0.332976,-0.399895,0.273315,0.109741,-0.092313,23.000000,28.201818,9.816515,11.310236,1979.458008,0.273315,-0.203742,0.297135,-0.134025,0.000952,0.000029,0.000335,0,1,0,0.041789,0,0.390000,0,15,0,202
593, 101,14800,14799,-6127,0,0,1.743587,-9.685418,0.071481,0.000899,-0.012294,0.040361,-20.666471,30.005846,-14.133294,1.922103,-9.610518,-5.766310,-0.733317,1.161620,0.395689,1.197697,111.422734,168.748389,-0.046630,-0.822763,-0.075130,-0.561465,-0.046630,-0.822763,-0.075130,-0.561465,1979.563721,80203.156250,-0.437140,-0.398416,0.273315,0.105713,-0.070885,23.000000,28.201818,9.841369,11.371318,1979.458008,0.273315,-0.206665,0.300058,-0.141333,0.000952,0.000030,0.000335,0,1,0,0.054834,0,0.390000,0,15,0,202
594, 101,14850,14847,-6077,0,0,1.734811,-9.717554,0.054602,-0.021341,-0.007961,0.070316,-20.344929,29.625839,-14.600994,1.922103,-9.129992,-5.766310,0.730412,-0.168900,-0.102820,1.233156,111.359855,168.727447,-0.046526,-0.822456,-0.075072,-0.561930,-0.046526,-0.822456,-0.075072,-0.561930,1979.514893,80204.007812,-0.681404,-0.396310,0.273315,0.056885,-0.060312,23.000000,28.206369,9.871343,10.968206,1979.458008,0.273315,-0.203449,0.296258,-0.146010,0.000952,0.000031,0.000335,0,1,0,0.025997,0,0.390000,0,15,0,202
