
index, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2
81, 101,121741,121720,1,1,1,1.470287,9.489303,0.765453,-0.739417,0.621755,-0.216575,1.250281,9.212777,-4.692398,-1.047990,-6.713449,4.892367,174.545102,-95.878480,-172.474953,0.742235,-0.080636,-0.664321,0.035517,1832.355225,81681.546875,-0.520857,0.093021,1.171997,0.716431,0.754138,18.375000,22.586905,0,2.900000,0,0,0, 202
82, 101,121842,121831,7,1,1,1.962150,9.638716,0.173147,0.578638,-0.327474,0.014436,1.250281,9.212777,-4.692398,-1.294727,-0.491004,1.391322,145.620412,-97.383369,155.093160,0.740298,-0.074304,-0.664956,0.065350,1832.312012,81680.562500,-0.632538,-0.082872,1.171997,0.673218,0.730840,18.375000,22.586905,0,2.900000,0,0,0, 202
83, 101,121945,121938,13,1,1,1.914367,9.715391,0.152108,0.076829,0.045472,0.101969,1.250281,9.212777,-4.692398,-0.281096,1.126004,0.194359,167.334621,-96.167076,178.767661,0.740248,-0.071081,-0.665206,0.066939,1832.190674,81683.085938,-1.084352,-0.325655,1.171997,0.551880,0.679349,18.375000,22.600506,0,2.900000,0,0,0, 202
84, 101,122053,122048,22,1,1,1.884506,9.686713,0.217111,-0.034774,0.021720,0.069625,1.250281,9.212777,-4.692398,-1.852463,3.505314,-0.649398,170.314401,-96.393995,-178.469851,0.742137,-0.072112,-0.663243,0.064353,1832.266602,81679.437500,-1.061429,-0.504025,1.171997,0.627808,0.664513,18.375000,22.591438,0,2.900000,0,0,0, 202
85, 101,122155,122131,28,1,1,1.922784,9.661167,0.225614,-0.011605,-0.059192,0.052046,1.250281,9.212777,-4.692398,0.750438,0.092362,-2.099890,169.033754,-96.360357,-179.979241,0.741662,-0.073687,-0.663514,0.065249,1832.175781,81680.140625,-0.176179,-0.424547,1.171997,0.536987,0.627813,18.375000,22.600506,0,2.900000,0,0,0, 202
86, 101,122285,122265,34,1,1,1.927961,9.674185,0.263994,-0.017795,-0.019997,0.066921,1.250281,9.212777,-4.692398,-1.582163,0.579633,0.590861,167.145876,-96.385089,178.389515,0.741664,-0.075334,-0.663428,0.064208,1832.118042,81682.242188,-0.853893,-0.528631,1.171997,0.479248,0.585070,18.375000,22.595972,0,2.900000,0,0,0, 202
87, 101,122385,122375,40,1,1,1.936984,9.657646,0.175716,0.093029,-0.002375,0.050104,1.250281,9.212777,-4.692398,-0.634495,-0.342940,-0.000956,165.953093,-96.433187,177.306547,0.741497,-0.072871,-0.663585,0.067282,1832.505615,81675.367188,1.968684,0.076779,1.171997,0.866821,0.666200,18.375000,22.595972,0,2.900000,0,0,0, 202
88, 101,122487,122482,49,1,1,1.722856,9.731209,0.570343,-0.404612,0.196539,0.087762,1.250281,9.212777,-4.692398,-0.696342,2.954795,-3.080102,169.967454,-96.314458,-178.546049,0.743074,-0.079136,-0.662767,0.048156,1832.438477,81677.476562,1.474630,0.415652,1.171997,0.799683,0.704607,18.375000,22.591438,0,2.890000,0,0,0, 202
89, 101,122596,122594,56,1,1,1.894918,9.568090,0.031162,0.520333,-0.132212,-0.061810,1.250281,9.212777,-4.692398,-1.632968,-9.510952,1.519217,152.787930,-96.882081,163.059824,0.740483,-0.067704,-0.665077,0.069097,1832.361084,81681.265625,0.078615,0.333946,1.171997,0.722290,0.709698,18.375000,22.595972,0,2.910000,0,0,0, 202
90, 101,122698,122677,61,1,1,2.065309,9.660909,0.142892,0.028713,-0.195441,0.014849,1.250281,9.212777,-4.692398,0.839309,-0.844943,-1.778491,175.099577,-96.042083,-173.782265,0.740067,-0.067975,-0.665539,0.068832,1832.492065,81679.296875,0.494011,0.332058,1.171997,0.853271,0.735219,18.375000,22.595972,0,2.900000,0,0,0, 202
