index, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2
158, 101,4768,6369,-7372,1,1,0.132561,-0.450887,11.491457,0.088893,0.075064,1.699475,11.341324,7.125102,18.627647,5.228750,1.499190,-107.933088,89.757114,177.218889,70.407318,0.392600,-0.422370,-0.568964,-0.586300,1990.604248,80093.531250,-2.557178,0.280212,0.300293,-0.019287,0.046355,14.625000,19.554298,0,5.150000,0,0,0, 202
159, 101,6425,6421,-5715,1,1,0.007186,-0.532011,11.743340,0.002379,0.055565,1.954256,10.860798,8.086153,18.627647,-9.097021,8.047144,-116.772438,90.795262,177.623304,64.953583,0.369945,-0.389418,-0.584311,-0.608337,1990.615356,80094.125000,-1.813787,-0.682617,0.300293,-0.008179,0.021743,14.625000,19.536106,0,5.150000,0,0,0, 202
160, 101,6474,6472,-5666,1,1,-0.082220,-0.815008,12.201571,-0.109534,0.186017,2.426131,10.860798,7.605628,19.108173,-8.370209,8.744339,-118.247076,91.406175,177.420284,59.367861,0.340693,-0.359756,-0.598597,-0.629433,1990.792236,80090.351562,0.871528,-0.586696,0.300293,0.168701,-0.008927,14.625000,19.531557,0,5.150000,0,0,0, 202
161, 101,6525,6523,-5615,1,1,-0.493404,-0.978592,11.916769,0.065899,0.383593,2.159727,10.860798,7.605628,18.147121,7.725980,-6.007697,-109.163020,92.833711,177.273312,53.993414,0.314114,-0.328217,-0.606286,-0.652705,1991.360107,80081.671875,8.331851,0.721923,0.736572,0.736572,0.245807,14.625000,19.527010,0,5.150000,0,0,0, 202
162, 101,6575,6572,-5565,1,1,-0.276328,-0.692876,11.747677,0.219339,0.300887,1.964445,10.860798,7.605628,18.627647,15.312553,-25.886113,-95.895405,91.751837,177.239680,49.448063,0.284914,-0.306811,-0.624980,-0.658856,1991.576904,80080.835938,10.415820,0.814733,0.953369,0.953369,0.280575,14.625000,19.522461,0,5.150000,0,0,0, 202
163, 101,6624,6623,-5516,1,1,-0.110158,-0.552204,11.604765,0.092190,0.028899,1.817016,10.860798,8.086153,19.108173,10.037195,-27.447740,-94.524067,92.163240,177.995181,45.172102,0.265411,-0.277998,-0.635496,-0.669641,1991.198242,80091.476562,2.973979,2.646780,0.953369,0.574707,0.484062,14.625000,19.527010,0,5.150000,0,0,0, 202
164, 101,6675,6672,-5465,1,1,0.140201,-0.564025,11.507549,0.034765,0.075453,1.720917,10.860798,7.125102,18.627647,2.495144,-14.506866,-116.375864,91.313776,177.480061,40.285241,0.231785,-0.255396,-0.650631,-0.676556,1991.358887,80083.093750,-1.150104,2.729649,0.953369,0.735352,0.606537,14.625000,19.513365,0,5.150000,0,0,0, 202
165, 101,6725,6723,-5415,1,1,0.082427,-0.735850,11.625939,-0.008501,0.111994,1.847954,10.860798,7.605628,18.147121,3.260533,0.089579,-139.659473,92.216276,177.669544,34.185933,0.198296,-0.217742,-0.658231,-0.692819,1991.410645,80086.187500,1.820203,2.150023,0.953369,0.787109,0.620239,14.625000,19.508818,0,5.150000,0,0,0, 202
166, 101,6775,6772,-5365,1,1,-0.019929,-0.842905,11.558568,0.009003,0.295815,1.784499,10.380273,7.605628,18.147121,6.407539,13.987293,-157.795333,92.291661,178.134366,27.194292,0.158542,-0.174268,-0.670558,-0.703454,1991.403564,80083.093750,1.012822,2.241467,0.953369,0.780029,0.720845,14.625000,19.513365,0,5.150000,0,0,0, 202
167, 101,6824,6823,-5316,1,1,-0.222563,-0.650597,11.850642,0.084626,0.008588,2.069269,11.341324,8.086153,19.108173,5.536473,5.433500,-158.169136,93.278992,179.538817,19.782157,0.122166,-0.120821,-0.675873,-0.716710,1991.461670,80082.945312,0.496554,1.475286,0.953369,0.838135,0.674289,14.625000,19.517914,0,5.150000,0,0,0, 202
