index," checksum",uptime mp,uptime nav,"  errorflag mp",errorflag NAV,"  accel x"," accel y"," accel z"," accelworld x"," accelworld y"," accelworld z"," accelhighg x"," accelhighg y"," accelhighg z"," gyro x"," gyro y"," gyro z"," euler x"," euler y"," euler z"," quat w"," quat x"," quat y"," quat z"," altitude"," presusre"," verticalvel",filtered vvel," maxalt"," altitudeagl"," filtered alt"," imutemp"," barotemp",state,battstate,pyros fired," checksum2\r"
0," 101",44660,44633,1,1,2.292144,-9.554067,0.041502,-0.014925,-0.030605,0.024206,-1.805717,-4.066245,-8.334359,-1.087572,0.293618,1.713126,179.904259,164.882898,-13.335477,0.115212,0.130553,0.016096,0.984593,1861.133545,81310.773438,-0.117987,-0.034294,0.969116,0.234009,0.291253,14.625000,19.692179,0,0.000000,0," 202"
1," 101",46696,46670,1,1,2.286268,-9.571919,0.030875,0.002265,0.002205,0.040220,-0.364140,-4.546771,-7.853833,-0.659648,-0.396967,1.458581,179.804525,164.871245,-13.398564,0.115866,0.130544,0.017036,0.984501,1861.319580,81301.445312,-0.221556,-0.148795,0.969116,0.420044,0.295567,14.625000,19.741932,0,0.000000,0," 202"
2," 101",48779,48748,1,1,2.298873,-9.570833,0.025403,-0.037125,-0.019286,0.041995,-0.364140,-6.949400,-8.334359,-0.581739,0.160175,-0.042893,179.900189,164.772645,-13.242118,0.116187,0.131436,0.016779,0.984349,1861.180420,81306.640625,0.015226,-0.019224,0.969116,0.280884,0.269188,14.625000,19.764547,0,0.000000,0," 202"
3," 101",50866,50830,1,1,2.307552,-9.538298,0.010600,-0.000053,0.010834,0.012456,-0.364140,-5.027297,-9.295410,0.065786,0.660749,-4.019181,179.872335,164.185139,-13.582123,0.117277,0.136477,0.017364,0.983524,1861.450317,81304.132812,1.156461,0.206416,0.969116,0.550781,0.322742,14.625000,19.782639,0,0.000000,0," 202"
4," 101",53021,53010,1,1,2.299041,-9.577226,0.012150,0.022713,0.007257,0.048285,-0.364140,-5.027297,-8.334359,0.208975,-0.310405,0.608486,179.921635,164.237144,-13.615939,0.116450,0.136098,0.016743,0.983685,1861.188477,81307.375000,-0.421329,-0.105519,0.969116,0.288940,0.296478,14.625000,19.805254,0,0.000000,0," 202"
5," 101",55101,55092,1,1,2.309934,-9.543071,0.005762,0.019709,0.006166,0.017635,-1.325191,-6.468874,-6.892781,0.141964,0.654153,-1.327170,179.962193,163.915292,-13.716930,0.118288,0.138865,0.017031,0.983074,1861.228516,81303.210938,0.304479,-0.190957,0.969116,0.328979,0.245305,14.750000,19.845961,0,0.000000,0," 202"
6," 101",57183,57174,1,1,2.294326,-9.570494,0.010103,-0.005345,0.014490,0.040654,-0.844666,-5.507823,-7.853833,0.598307,0.791472,-1.505155,179.845315,163.766462,-13.431522,0.116109,0.140147,0.017153,0.983150,1860.940063,81312.460938,-0.959248,-0.081227,0.969116,0.040527,0.235167,14.625000,19.864052,0,0.000000,0," 202"
7," 101",59270,59260,1,1,2.296280,-9.539268,0.001259,-0.008178,0.009424,0.010748,-0.364140,-5.988348,-9.295410,-0.476147,-1.250470,0.833605,179.923001,163.341624,-13.482609,0.116552,0.143838,0.017186,0.982564,1861.399292,81302.250000,0.620825,0.196675,0.969116,0.499756,0.332965,14.750000,19.877621,0,0.000000,0," 202"
8," 101",61365,61353,1,1,2.296494,-9.544691,0.018699,-0.010060,0.006656,0.016088,-0.844666,-5.507823,-8.814884,0.335974,0.303055,-0.123767,179.829988,163.525466,-13.434971,0.116388,0.142161,0.017852,0.982815,1860.852173,81311.937500,-1.277114,-0.397808,0.969116,-0.047363,0.223746,14.750000,19.913803,0,0.000000,0," 202"
9," 101",63459,63444,1,1,2.302176,-9.558944,0.018729,0.007713,-0.024422,0.031249,-0.844666,-4.546771,-6.892781,0.582957,0.222367,-0.371678,0.041750,16.317517,166.443883,0.116588,0.140831,0.017540,0.982988,1861.048340,81311.531250,-0.206292,-0.143998,0.969116,0.148804,0.219049,14.875000,19.927372,0,0.000000,0," 202"
