index, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2
1378, 101,116991,116980,-8108,1,1,0.404695,-0.725110,9.964665,0.025442,-0.033107,0.198119,10.860798,-9.047205,3.476542,-1.211457,-4.167206,-0.077369,90.829345,-175.425144,-111.441175,0.572247,-0.595587,0.371567,0.423966,1420.155518,85928.781250,-1.148692,0.902231,2.505005,1.631836,1.776659,20.625000,26.248632,0,5.370000,0,0,0, 202
1379, 101,117041,117029,-8058,1,1,0.432246,-0.709655,9.976497,-0.043203,-0.001057,0.209947,10.860798,-7.605628,3.476542,0.700467,-1.552891,-2.495573,90.822139,-175.061901,-111.464623,0.570967,-0.596893,0.369556,0.425611,1420.106323,85927.671875,-2.780221,-0.575160,2.505005,1.582642,1.620037,20.625000,26.253174,0,5.370000,0,0,0, 202
1380, 101,117091,117078,-8008,1,1,0.426272,-0.719107,9.959410,-0.034004,-0.013994,0.193364,9.899747,-8.086153,2.996016,0.427031,0.859418,0.737576,90.848087,-175.068800,-111.438867,0.571032,-0.596658,0.369630,0.425789,1420.246826,85927.429688,0.761878,-0.566078,2.505005,1.723145,1.594513,20.625000,26.262257,0,5.370000,0,0,0, 202
1381, 101,117140,117127,-7959,1,1,0.429167,-0.705358,9.968649,-0.051372,-0.015101,0.201640,10.860798,-7.125102,3.957067,-0.688150,-1.458189,0.397441,90.895392,-175.040413,-111.470272,0.571868,-0.596150,0.370808,0.424352,1420.074585,85931.171875,-0.267745,-0.466573,2.505005,1.550903,1.596637,20.625000,26.271338,0,5.370000,0,0,0, 202
1382, 101,117191,117176,-7908,1,1,0.442585,-0.701421,9.971965,-0.013272,0.009211,0.205383,10.860798,-7.605628,2.996016,0.104983,-1.345246,-2.182817,90.836721,-175.253324,-111.456728,0.571715,-0.596166,0.370553,0.424757,1420.288574,85924.679688,0.532749,-0.458117,2.505005,1.764893,1.575699,20.625000,26.253174,0,5.370000,0,0,0, 202
1383, 101,117241,117225,-7858,1,1,0.447362,-0.710164,9.979563,-0.014504,0.012837,0.203469,10.860798,-8.086153,2.996016,0.686670,-0.934853,-1.813502,90.926361,-175.228585,-111.449706,0.572065,-0.595777,0.370126,0.425203,1420.040527,85931.171875,-1.066034,-0.449140,2.505005,1.516846,1.555392,20.625000,26.271338,0,5.370000,0,0,0, 202
1384, 101,117290,117291,-7809,1,1,0.393214,-0.695299,9.969209,-0.042643,-0.049838,0.199944,10.860798,-8.566679,3.957067,-1.189407,-0.929150,0.442383,90.924448,-175.219310,-111.463927,0.572073,-0.595863,0.370011,0.425172,1420.133301,85927.187500,-1.829602,-0.672586,2.505005,1.609619,1.532967,20.625000,26.271338,0,5.370000,0,0,0, 202
1385, 101,117341,117340,-7758,1,1,0.421845,-0.717856,9.933181,-0.017924,-0.023741,0.166972,9.899747,-7.125102,3.957067,-1.197335,0.080702,0.325211,90.879724,-175.163329,-111.506451,0.571794,-0.596408'b',0.369660,0.425090,1420.211182,85927.429688,1.317320,-0.663626,2.505005,1.687500,1.503075,20.625000,26.262257,0,5.380000,0,0,0, 202
1386, 101,117390,117389,-7709,1,1,0.418781,-0.691833,9.977642,-0.040604,0.025703,0.209247,9.899747,-8.566679,2.996016,-2.428910,0.382952,-1.296240,90.631317,-175.199475,-111.506096,0.570631,-0.597526,0.370773,0.424111,1420.484863,85925.195312,4.894033,0.402593,2.505005,1.961182,1.652761,20.625000,26.271338,0,5.370000,0,0,0, 202
1387, 101,117441,117438,-7658,1,1,0.438696,-0.721572,9.958164,-0.013892,0.044378,0.192798,11.341324,-7.605628,2.996016,-1.285662,-0.727622,-1.958006,90.569866,-175.143631,-111.496015,0.570068,-0.597982,0.370759,0.424238,1420.354736,85926.195312,3.485396,0.412097,2.505005,1.831055,1.670861,20.625000,26.271338,0,5.370000,0,0,0, 202
1388, 101,117490,117487,-7609,1,1,0.427194,-0.675751,9.963615,-0.020116,-0.004246,0.194616,10.380273,-7.605628,3.476542,3.956571,-0.802043,0.981785,90.884034,-175.378317,-111.487791,0.572533,-0.595619,0.370875,0.424141,1420.192871,85931.171875,-1.659779,0.280439,2.505005,1.669189,1.702543,20.625000,26.271338,0,5.370000,0,0,0, 202
1389, 101,117541,117536,-7558,1,1,0.424304,-0.711821,9.962095,0.022536,-0.021479,0.195454,10.380273,-6.164050,3.476542,1.179248,-0.444129,0.103415,90.888958,-175.435963,-111.519681,0.572887,-0.595508,0.370995,0.423714,1420.274292,85928.062500,-1.812555,0.290049,2.505005,1.750610,1.715222,20.625000,26.275879,0,5.370000,0,0,0, 202
1390, 101,117591,117586,-7508,1,1,0.456108,-0.709962,9.991344,0.029405,0.009366,0.225869,10.380273,-7.605628,2.515490,0.249058,0.401937,0.069103,90.882094,-175.431742,-111.530664,0.572567,-0.595840,0.369977,0.424569,1420.132080,85930.054688,-1.306124,-0.291219,2.505005,1.608398,1.661113,20.625000,26.275879,0,5.370000,0,0,0, 202
1391, 101,117641,117635,-7458,1,1,0.426118,-0.699027,9.978891,-0.028978,-0.021882,0.211351,10.380273,-7.125102,2.515490,-0.827969,-1.515488,-1.117211,90.920521,-175.211906,-111.592314,0.572502,-0.596322,0.369318,0.424554,1420.016846,85928.062500,-4.139618,-0.281352,2.505005,1.493164,1.648091,20.625000,26.275879,0,5.370000,0,0,0, 202
1392, 101,117691,117683,-7408,1,1,0.410145,-0.693638,9.944682,-0.031451,-0.031085,0.176179,10.860798,-7.605628,3.476542,0.597342,0.775659,0.458962,90.904306,-175.243871,-111.572233,0.572460,-0.596233,0.369652,0.424445,1420.239014,85925.078125,-0.980739,-0.271873,2.505005,1.715332,1.635716,20.625000,26.275879,0,5.370000,0,0,0, 202
1393, 101,117740,117733,-7359,1,1,0.447425,-0.737717,9.958895,0.005722,-0.027871,0.195159,9.899747,-7.605628,2.996016,-0.623564,-2.163890,0.799232,90.992695,-175.151691,-111.540582,0.572466,-0.595992,0.369002,0.425341,1420.209229,85925.828125,2.240290,0.249403,2.505005,1.685547,1.680914,20.625000,26.284962,0,5.370000,0,0,0, 202
1394, 101,117791,117782,-7308,1,1,0.443918,-0.705529,9.968564,-0.027622,-0.019074,0.202298,10.380273,-6.644576,3.476542,-0.452299,-0.287949,0.889599,90.989772,-175.143454,-111.550848,0.572458,-0.596067,0.368915,0.425320,1420.092651,85926.828125,-1.208850,0.258489,2.505005,1.568970,1.692181,20.625000,26.284962,0,5.370000,0,0,0, 202
