index, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, mag x, mag y, mag z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z,quatadj w, quatadj x, quatadj y, quatadj z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,abs imu accel,abs adxl accel, pad altitude, baro max alt, mag raw x, mag raw y, mag raw z, cov x, cov y, cov z, sats, status, met, filtered accel ,state,battstate,pyros fired,pyros cont,pyros state, checksum2
5801, 101,235094,235072,-6917,0,0,0.106835,-0.670009,9.529581,-0.264749,-0.305694,-0.299687,62.014030,-23.706518,-51.563869,-0.000000,0.961052,17.298931,0.188624,0.486632,2.185899,94.469200,-179.582803,10.273117,0.068189,-0.058128,-0.676506,-0.730966,0.068189,-0.058128,-0.676506,-0.730966,1299.938477,87199.523438,2.803393,0.767468,4.018677,1.719604,1.782902,31.875000,35.069996,9.553703,17.325607,1298.218872,4.018677,0.620140,-0.237065,-0.515639,0.000962,0.000320,0.000335,0,1,0,-0.288347,0,0.290000,0,0,0,202
5802, 101,235148,235145,-6863,0,0,-0.023067,-0.506989,9.746266,-0.139984,-0.256067,-0.045893,61.546333,-23.998831,-51.812332,-0.000000,1.441578,14.896301,-1.338290,-0.221104,5.158064,94.456428,-179.587530,10.512926,0.064257,-0.064766,-0.684645,-0.723144,0.069684,-0.059582,-0.676462,-0.730749,1299.927856,87201.054688,1.779164,0.749328,4.018677,1.708984,1.798967,31.875000,35.069996,9.759472,14.965893,1298.218872,4.018677,0.615463,-0.239988,-0.518123,0.000962,0.000320,0.000335,0,1,0,-0.198133,0,0.290000,0,0,0,202
5803, 101,235198,235194,-6813,0,0,-0.041395,-0.643358,9.900318,-0.013589,0.113568,0.119627,62.160187,-23.823442,-51.753872,1.922103,0.480526,16.337879,1.096388,0.868800,-0.607340,93.043542,179.636284,10.490778,0.064164,-0.065198,-0.684983,-0.722793,0.064164,-0.065198,-0.684983,-0.722793,1300.823364,87167.289062,4.448406,0.747626,4.018677,2.604492,1.886491,31.875000,35.069996,9.921286,16.457573,1298.218872,4.018677,0.621602,-0.238234,-0.517539,0.000962,0.000320,0.000335,0,1,0,0.001256,0,0.290000,0,0,0,202
5804, 101,235248,235242,-6763,0,0,-0.035100,-0.514847,10.056777,0.007515,-0.011139,0.268999,62.072491,-23.925753,-52.002342,1.441578,0.961052,16.337879,0.389211,-0.738727,2.741323,92.981305,179.619031,10.504921,0.064114,-0.065427,-0.685358,-0.722422,0.064114,-0.065427,-0.685358,-0.722422,1301.949585,87167.804688,13.435677,0.768093,4.018677,3.730713,2.207036,31.875000,35.069996,10.070007,16.429487,1298.218872,4.018677,0.620725,-0.239258,-0.520023,0.000962,0.000319,0.000335,0,1,0,0.207892,0,0.290000,0,0,0,202
5805, 101,235297,235291,-6714,0,0,-0.214134,-0.268574,10.084736,0.278030,-0.035337,0.285691,61.590176,-24.130371,-52.046185,0.480526,0.961052,15.376827,0.328983,0.555604,0.920080,91.923500,179.336917,10.551143,0.062091,-0.068056,-0.691800,-0.716189,0.062091,-0.068056,-0.691800,-0.716189,1301.312256,87197.632812,16.607767,0.789841,4.018677,3.093384,2.434108,31.875000,35.083630,10.090584,15.414323,1298.218872,4.018677,0.615902,-0.241304,-0.520462,0.000962,0.000319,0.000335,0,1,0,0.283241,0,0.290000,0,0,0,202
5806, 101,235347,235339,-6664,0,0,0.061578,-0.448435,9.975630,-0.031728,0.102350,0.184319,61.254017,-23.399591,-51.403099,-0.000000,0.961052,15.857353,0.619226,1.143788,0.166550,91.877744,179.361341,10.588337,0.062444,-0.068153,-0.692079,-0.715879,0.062444,-0.068153,-0.692079,-0.715879,1300.893433,87192.632812,6.497631,0.803755,4.018677,2.674561,2.509774,31.875000,35.079082,9.985894,15.886449,1298.218872,4.018677,0.612540,-0.233996,-0.514031,0.000962,0.000319,0.000335,0,1,0,0.254191,0,0.290000,0,0,0,202
5807, 101,235398,235388,-6613,0,0,-0.015274,-0.477494,9.946604,0.038231,0.152850,0.155824,61.809414,-24.188833,-52.236187,0.961052,-0.000000,16.337879,1.546010,-1.797508,-2.256320,91.838539,179.362625,10.551303,0.063901,-0.066315,-0.687503,-0.720319,0.062197,-0.067943,-0.692346,-0.715662,1300.715698,87195.945312,-3.316323,0.812598,4.018677,2.496826,2.544569,31.875000,35.069996,9.958070,16.366121,1298.218872,4.018677,0.618094,-0.241888,-0.522362,0.000962,0.000319,0.000335,0,1,0,0.169890,0,0.290000,0,0,0,202
5808, 101,235448,235436,-6563,0,0,-0.113801,-0.653575,9.984315,0.085119,0.214714,0.202665,61.458633,-23.954985,-52.133877,1.441578,0.961052,16.337879,1.738799,-2.019498,-3.178502,92.571774,179.470256,10.498500,0.062946,-0.066551,-0.687849,-0.720050,0.062946,-0.066551,-0.687849,-0.720050,1300.483154,87196.453125,-5.308185,0.815856,4.018677,2.264282,2.524061,31.875000,35.069996,10.006331,16.429487,1298.218872,4.018677,0.614586,-0.239550,-0.521339,0.000962,0.000319,0.000335,0,1,0,0.190939,0,0.290000,0,0,0,202
5809, 101,235498,235483,-6513,0,0,-0.111506,-0.727446,10.030348,0.069759,0.282913,0.252088,61.707104,-24.349606,-52.060802,-0.480526,0.961052,15.376827,0.255616,1.289726,-1.340541,92.582647,179.477550,10.404474,0.062405,-0.065935,-0.687840,-0.720163,0.062405,-0.065935,-0.687840,-0.720163,1300.482666,87194.406250,-4.991022,0.820035,4.018677,2.263794,2.499361,31.875000,35.069996,10.057310,15.414323,1298.218872,4.018677,0.617071,-0.243496,-0.520608,0.000962,0.000319,0.000335,0,1,0,0.230056,0,0.290000,0,0,0,202
5810, 101,235548,235532,-6463,0,0,-0.241927,-0.257138,9.997685,0.314061,-0.008156,0.197983,61.809414,-24.086525,-52.031570,0.480526,1.922103,15.857353,0.571606,3.443570,-0.305225,91.744487,179.300771,10.296818,0.060179,-0.066841,-0.693046,-0.715261,0.060179,-0.066841,-0.693046,-0.715261,1300.481567,87193.898438,-3.344751,0.826317,4.018677,2.262695,2.477983,31.875000,35.069996,10.003917,15.980646,1298.218872,4.018677,0.618094,-0.240865,-0.520316,0.000962,0.000319,0.000335,0,1,0,0.281232,0,0.290000,0,0,0,202
5811, 101,235598,235580,-6413,0,0,-0.262715,-0.549172,9.799659,0.282061,0.273013,0.009700,61.648643,-23.574978,-52.280033,1.441578,0.480526,16.337879,-0.555263,0.573113,-3.395981,91.835582,179.291619,10.238583,0.059813,-0.066498,-0.692505,-0.715847,0.059813,-0.066498,-0.692505,-0.715847,1300.429443,87198.148438,-1.609301,0.832868,4.018677,2.210571,2.463981,31.875000,35.083630,9.818550,16.408392,1298.218872,4.018677,0.616486,-0.235750,-0.522800,0.000962,0.000319,0.000335,0,1,0,0.112970,0,0.290000,0,0,0,202
5812, 101,235648,235628,-6363,0,0,-0.203144,-1.003238,9.636728,0.144818,0.710719,-0.137243,61.911720,-23.662672,-51.373871,-0.000000,1.441578,16.337879,0.057696,-0.121033,-4.299657,91.855949,179.279734,10.121396,0.065981,-0.059207,-0.668840,-0.738102,0.059020,-0.065853,-0.692439,-0.716037,1300.435059,87197.125000,-0.739050,0.832360,4.018677,2.216187,2.450049,31.875000,35.083630,9.690938,16.401356,1298.218872,4.018677,0.619117,-0.236627,-0.513739,0.000962,0.000319,0.000335,0,1,0,-0.067992,0,0.290000,0,0,0,202
5813, 101,235698,235676,-6313,0,0,-0.732735,-0.733683,9.589763,-0.460792,0.020830,-0.087373,61.867874,-23.706518,-51.680798,0.480526,-0.000000,15.376827,-2.408184,-4.262529,1.997987,95.620340,-179.985894,10.181111,0.065825,-0.059499,-0.668948,-0.737994,0.065825,-0.059499,-0.668948,-0.737994,1300.515747,87198.890625,0.605646,0.827567,4.018677,2.296875,2.470830,31.875000,35.074539,9.645658,15.384334,1298.218872,4.018677,0.619556,-0.235896,-0.514762,0.000962,0.000319,0.000335,0,1,0,-0.122207,0,0.290000,0,0,0,202
5814, 101,235747,235724,-6264,0,0,0.329154,-0.643749,9.553278,0.063968,-0.433530,-0.176710,61.707104,-23.604210,-51.008476,0.480526,0.961052,16.818405,0.159252,-0.539150,3.078345,95.631917,179.886310,10.353441,0.066195,-0.061321,-0.668709,-0.738029,0.066195,-0.061321,-0.668709,-0.738029,1300.493286,87197.632812,0.733035,0.821542,4.018677,2.274414,2.472593,31.875000,35.083630,9.580599,16.852694,1298.218872,4.018677,0.617071,-0.236042,-0.510085,0.000962,0.000319,0.000335,0,1,0,-0.171935,0,0.290000,0,0,0,202
5815, 101,235798,235797,-6213,0,0,-0.110657,-0.323014,9.540340,0.432008,-0.277893,-0.268381,61.824028,-23.911137,-51.593102,-0.000000,1.922103,16.818405,-1.009380,3.065341,5.704951,93.698960,177.708436,10.391489,0.052435,-0.076451,-0.679650,-0.727655,0.052435,-0.076451,-0.679650,-0.727655,1300.359375,87198.773438,-1.139042,0.805074,4.018677,2.140503,2.442135,31.875000,35.079082,9.546449,16.927883,1298.218872,4.018677,0.618240,-0.239111,-0.515931,0.000962,0.000319,0.000335,0,1,0,-0.264543,0,0.290000,0,0,0,202
5816, 101,235848,235845,-6163,0,0,-0.130028,-0.337791,9.701481,0.456117,-0.265045,-0.107113,61.297863,-23.808828,-51.578487,0.480526,0.961052,15.857353,1.243913,-1.197309,2.328442,93.668941,177.697043,10.493795,0.052997,-0.077144,-0.679764,-0.727435,0.052997,-0.077144,-0.679764,-0.727435,1300.297119,87199.914062,-1.893426,0.790740,4.018677,2.078247,2.410447,31.875000,35.074539,9.708230,15.893715,1298.218872,4.018677,0.612979,-0.238088,-0.515785,0.000962,0.000319,0.000335,0,1,0,-0.203899,0,0.290000,0,0,0,202
5817, 101,235897,235894,-6114,0,0,0.008208,-1.172462,9.909360,-0.158122,0.150372,0.175098,62.043262,-24.174217,-51.081554,0.480526,1.441578,16.337879,-2.278990,-0.629014,0.838485,95.758207,179.608116,10.707536,0.066923,-0.065105,-0.667531,-0.738705,0.066923,-0.065105,-0.667531,-0.738705,1300.326538,87197.242188,-1.753302,0.780851,4.018677,2.107666,2.382002,31.875000,35.079082,9.978484,16.408392,1298.218872,4.018677,0.620433,-0.241742,-0.510816,0.000962,0.000319,0.000335,0,1,0,0.024478,0,0.290000,0,0,0,202
5818, 101,235948,235942,-6063,0,0,-0.054972,-0.791442,10.122149,-0.024406,-0.239299,0.349342,62.101723,-24.232681,-51.622330,0.961052,0.961052,15.857353,-1.136534,0.977356,-3.995461,95.802139,179.620520,10.592290,0.066277,-0.064328,-0.667320,-0.739022,0.066277,-0.064328,-0.667320,-0.739022,1300.118530,87202.359375,-2.175371,0.779669,4.018677,1.899658,2.329944,31.875000,35.079082,10.153193,15.915492,1298.218872,4.018677,0.621017,-0.242327,-0.516223,0.000962,0.000319,0.000335,0,1,0,0.242727,0,0.290000,0,0,0,202
