, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2
167, 101,12102,12086,-5960,1,1,0.860807,-9.914372,0.518009,0.184882,-0.062573,0.162233,0.769756,-9.212777,5.653450,-12.906687,-5.407389,-17.764364,177.287436,-175.536476,-6.262813,0.053649,-0.040165,0.021489,0.997520,1833.381714,81675.460938,-1.372131,-0.082935,1.135864,0.703125,0.932841,16.250000,20.255816,0,2.900000,0,0,0, 202
168, 101,12201,12189,-5861,1,1,0.758076,-10.497371,0.250712,-0.001654,0.042469,0.726608,0.769756,-9.693303,6.133976,7.196599,-8.725381,-5.726712,178.401427,-175.914172,-4.218954,0.036285,-0.036134,0.012619,0.998608,1833.519775,81667.382812,-0.494260,-0.133277,1.135864,0.841187,0.944214,16.250000,20.264889,0,2.900000,0,0,0, 202
169, 101,12302,12291,-5760,1,1,0.682658,-9.945326,0.018019,-0.018572,-0.225776,0.165169,0.289230,-8.251725,5.172924,-5.631464,-2.041544,-0.699810,1.200971,-3.744973,176.173514,0.033709,-0.032306,-0.011560,0.998843,1833.742188,81663.609375,2.127120,0.440425,1.135864,1.063599,1.022014,16.250000,20.260353,0,2.900000,0,0,0, 202
170, 101,12401,12393,-5661,1,1,1.094357,-10.012950,-0.089423,-0.516593,-0.059907,0.258539,0.769756,-9.693303,4.692398,-13.393548,0.234546,4.479985,1.018510,-3.251566,176.736172,0.028718,-0.028106,-0.009689,0.999145,1833.691650,81664.718750,-0.173900,0.697173,1.135864,1.013062,1.058834,16.250000,20.255816,0,2.900000,0,0,0, 202
171, 101,12501,12495,-5561,1,1,0.866084,-10.385729,-0.230360,0.338872,0.048477,0.617702,0.289230,-8.732251,5.172924,8.461669,-5.234891,14.905513,0.912416,-2.744688,173.428298,0.057490,-0.023453,-0.009320,0.998027,1833.554932,81669.468750,-0.562788,0.734767,1.135864,0.876343,1.074343,16.250000,20.260353,0,2.900000,0,0,0, 202
172, 101,12602,12596,-5460,1,1,0.839936,-9.962167,-0.034995,-0.136024,-0.050669,0.195520,-0.191296,-8.732251,5.172924,2.260308,0.384227,0.167779,0.529924,-2.841119,175.971136,0.035255,-0.024613,-0.005492,0.999060,1833.668213,81663.476562,-0.644380,-0.197010,1.135864,0.989624,0.956014,16.250000,20.264889,0,2.900000,0,0,0, 202
173, 101,12701,12698,-5361,1,1,0.773293,-9.821163,-0.022299,0.005412,0.025671,0.050550,1.250281,-8.732251,4.692398,0.881492,-0.854341,-0.473384,179.979036,-177.262083,-4.527339,0.039483,-0.023879,-0.000761,0.998935,1833.584473,81667.117188,0.278972,0.040427,1.135864,0.905884,0.987788,16.250000,20.273962,0,2.900000,0,0,0, 202
174, 101,12802,12800,-5260,1,1,0.815566,-9.794630,-0.004746,-0.046768,0.011566,0.027409,1.250281,-9.212777,4.692398,-0.106899,-0.831028,-0.491888,179.973094,-177.306014,-4.485608,0.039118,-0.023499,-0.000685,0.998958,1833.750854,81663.476562,1.253196,-0.286179,1.135864,1.072266,0.963720,16.250000,20.264889,0,2.900000,0,0,0, 202
175, 101,12901,12886,-5161,1,1,0.779963,-9.833535,-0.019214,0.008854,0.007777,0.063430,0.289230,-9.212777,5.172924,-0.795086,-1.248709,-0.596198,0.064276,-2.523900,175.418423,0.039974,-0.021983,-0.001441,0.998958,1833.697266,81663.921875,-0.190784,0.125434,1.135864,1.018677,1.017828,16.250000,20.283035,0,2.900000,0,0,0, 202
176, 101,13001,12988,-5061,1,1,0.797146,-9.813489,-0.002588,0.005282,0.042125,0.044720,1.250281,-9.212777,5.653450,1.010425,1.510072,0.223291,179.768585,-177.478723,-4.674022,0.040723,-0.022065,0.001120,0.998926,1833.538330,81664.187500,-3.581247,-0.770148,1.135864,0.859741,0.835100,16.250000,20.273962,0,2.910000,0,0,0, 202
177, 101,13101,13090,-4961,1,1,0.686383,-9.533719,-0.079942,0.227781,0.061663,-0.245184,0.289230,-8.251725,5.172924,-1.564096,-5.107371,-4.680088,0.055731,-2.274415,174.534515,0.047677,-0.019801,-0.001432,0.998665,1833.576904,81667.960938,1.676538,-0.431007,1.135864,0.898315,0.868043,16.250000,20.278498,0,2.900000,0,0,0, 202
178, 101,13202,13192,-4860,1,1,0.980639,-9.997355,-0.066805,-0.562208,0.189681,0.227019,0.289230,-8.251725,5.172924,-13.085200,1.342038,3.761558,179.432539,-177.607335,-2.375110,0.020617,-0.020976,0.004517,0.999557,1833.557983,81668.804688,0.461374,-0.066687,1.135864,0.879395,0.878314,16.250000,20.283035,0,2.900000,0,0,0, 202
179, 101,13302,13294,-4760,1,1,0.775690,-9.885270,0.109954,-0.553844,0.214580,0.097463,1.250281,-9.212777,5.172924,7.515327,8.780704,0.597604,178.279248,-177.174165,-1.312325,0.011077,-0.024825,0.014728,0.999522,1833.730957,81665.875000,2.784231,0.507583,1.142090,1.052368,0.982959,16.250000,20.283035,0,2.900000,0,0,0, 202
180, 101,13401,13397,-4661,1,1,0.796934,-9.758733,0.004827,-0.167709,0.183300,-0.012932,-0.191296,-8.251725,5.653450,13.800923,0.724544,5.275929,178.946107,-177.244433,-3.687408,0.031941,-0.024327,0.008416,0.999158,1833.603638,81664.898438,-1.999377,-0.281103,1.142090,0.925049,0.922123,16.250000,20.283035,0,2.900000,0,0,0, 202
181, 101,13501,13499,-4561,1,1,0.815841,-9.813556,0.119346,-0.020647,0.083243,0.046759,0.769756,-8.251725,4.692398,-18.284090,-2.190816,-0.010958,178.826333,-177.224981,-4.665687,0.040443,-0.024610,0.009245,0.998836,1833.897827,81659.039062,3.252242,0.716717,1.219238,1.219238,1.041087,16.250000,20.283035,0,2.900000,0,0,0, 202
182, 101,13602,13601,-4460,1,1,0.785357,-9.950824,0.261096,0.008285,-0.060434,0.183995,0.769756,-9.693303,5.172924,3.130366,-1.927216,0.826066,178.844282,-177.193958,-4.633717,0.040165,-0.024871,0.009084,0.998842,1833.979248,81660.726562,1.503188,1.123604,1.300659,1.300659,1.112716,16.250000,20.292107,0,2.900000,0,0,0, 202
183, 101,13702,13686,-4360,1,1,0.794539,-9.806687,0.112642,-0.009988,0.041160,0.038375,0.769756,-8.732251,5.653450,1.033803,0.865681,0.578619,179.106452,-177.169001,-4.606197,0.039980,-0.024995,0.006796,0.998865,1833.768066,81665.343750,-2.216492,0.465392,1.300659,1.089478,1.064174,16.250000,20.301180,0,2.900000,0,0,0, 202
184, 101,13802,13789,-4260,1,1,0.834054,-9.816937,0.130932,-0.039306,0.025125,0.052064,-0.671822,-9.693303,5.653450,-5.359529,-0.880148,0.521773,179.102873,-177.168782,-4.665019,0.040492,-0.025002,0.006814,0.998844,1833.677124,81665.343750,-1.166815,-0.109986,1.300659,0.998535,1.031937,16.375000,20.301180,0,2.900000,0,0,0, 202
185, 101,13901,13891,-4161,1,1,0.763618,-9.831683,0.100708,0.014441,-0.039903,0.060716,0.769756,-9.693303,5.172924,-10.808200,-0.127655,-4.152588,179.642144,-177.316137,-4.552621,0.039634,-0.023524,0.002189,0.998935,1833.754517,81664.500000,1.189190,-0.111611,1.300659,1.075928,1.059238,16.375000,20.296644,0,2.900000,0,0,0, 202
186, 101,14002,13993,-4060,1,1,0.712905,-9.796341,0.003202,0.003530,0.009714,0.021242,0.769756,-9.212777,6.133976,-0.991163,-0.758691,2.645571,179.923671,-177.306520,-4.183718,0.036476,-0.023512,-0.000192,0.999058,1833.582764,81669.968750,-0.912734,-0.068869,1.300659,0.904175,1.039283,16.375000,20.310253,0,2.900000,0,0,0, 202
187, 101,14102,14095,-3960,1,1,0.736546,-9.814541,0.019366,-0.019220,-0.022013,0.041115,-0.191296,-9.212777,5.172924,-0.349959,1.876305,2.125440,0.020641,-2.744857,175.814820,0.036508,-0.023929,-0.001055,0.999046,1833.589111,81668.015625,0.014388,-0.224059,1.300659,0.910522,1.041834,16.375000,20.310253,0,2.900000,0,0,0, 202
