timestamp(ms),Data age,State,Altitude,Verticalvel,RSSI,
"1715454578.298","0.074",,,,,
"1715454578.399","0.175",,,,,
"1715454578.5","0.276",,,,,
"1715454578.602","0.377",,,,,
"1715454578.702","0.478",,,,,
"1715454578.803","0.579",,,,,
"1715454578.904","0.68",,,,,
"1715454579.006","0.781",,,,,
"1715454579.106","0.882",,,,,
"1715454579.207","0.983",,,,,
"1715454579.225",,"3","249.600006","-1.45",,
"1715454579.226",,,,,"-81",
"1715454579.309","0.082",,,,,
"1715454579.41","0.183",,,,,
"1715454579.511","0.284",,,,,
"1715454579.611","0.385",,,,,
"1715454579.712","0.486",,,,,
"1715454579.813","0.587",,,,,
"1715454579.915","0.688",,,,,
"1715454580.015","0.789",,,,,
"1715454580.116","0.89",,,,,
"1715454580.217","0.991",,,,,
"1715454580.229",,"3","240.199997","-19.5",,
"1715454580.23",,,,,"-82",
"1715454580.319","0.089",,,,,
"1715454580.419","0.19",,,,,
"1715454580.52","0.291",,,,,
"1715454580.621","0.392",,,,,
"1715454580.722","0.493",,,,,
"1715454580.823","0.594",,,,,
"1715454580.925","0.695",,,,,
"1715454581.026","0.796",,,,,
"1715454581.127","0.897",,,,,
"1715454581.228","0.998",,,,,
"1715454581.231",,"3",,,,
"1715454581.232",,,"229.600006","-15.17","-80",
"1715454581.328","0.096",,,,,
"1715454581.429","0.197",,,,,
"1715454581.53","0.298",,,,,
"1715454581.632","0.399",,,,,
"1715454581.732","0.5",,,,,
"1715454581.834","0.601",,,,,
"1715454581.934","0.702",,,,,
"1715454582.036","0.803",,,,,
"1715454582.137","0.904",,,,,
"1715454582.235",,"4","217.100006","-17.85","-97",
"1715454582.237","0.002",,,,,
"1715454582.339","0.103",,,,,
"1715454582.439","0.204",,,,,
"1715454582.54","0.305",,,,,
"1715454582.642","0.406",,,,,
"1715454582.743","0.507",,,,,
"1715454582.843","0.608",,,,,
"1715454582.945","0.709",,,,,
"1715454583.045","0.81",,,,,
"1715454583.146","0.911",,,,,
"1715454583.239",,"4","205.100006",,,
"1715454583.24",,,,"-11.56","-75",
"1715454583.247","0.007",,,,,
