time,baro_altitude,accl_x,accl_y,accl_z,gps_altitude,gyro_roll,gyro_pitch,gyro_yaw
0.0,0.0,9.68,0.08,-0.67,0.0,0.52,-0.02,0.06
0.010000000000000009,-0.19000000000005457,9.66,0.34,-0.49,0.0,-0.15,0.04,0.0
0.019999999999999962,-0.19000000000005457,9.79,-0.26,-0.46,0.0,-0.4,-0.08,-0.06
0.02999999999999997,0.08999999999991815,9.81,0.05,-0.74,0.0,0.33,0.04,-0.06
0.03999999999999998,0.1799999999998363,9.83,0.33,-0.71,0.0,-0.09,-0.08,0.0
0.04999999999999999,0.1799999999998363,9.87,0.11,-0.34,0.0,-0.03,-0.02,0.13
0.06,0.08999999999991815,9.89,-0.78,0.57,0.0,-0.22,-0.14,0.0
0.06999999999999998,0.2799999999999727,8.54,-1.2,0.4,0.0,0.03,-0.51,-0.55
0.07999999999999999,-1.7699999999999818,9.97,0.94,0.35,0.0,-0.46,-0.39,0.19
0.09,1.1199999999998909,9.88,0.65,-1.43,0.0,-2.23,0.22,0.25
0.09999999999999998,0.36999999999989086,9.39,0.92,-0.09,0.0,2.29,0.34,0.37
0.10999999999999999,-0.10000000000013642,10.3,-1.13,-0.72,0.0,-1.56,-0.14,-0.12
0.12,-0.19000000000005457,10.01,-0.11,-0.69,0.0,0.7,0.16,0.06
0.12999999999999998,0.36999999999989086,10.02,0.03,-0.07,0.0,0.15,-0.14,-0.24
0.13999999999999999,0.0,9.82,-1.24,-0.72,0.0,-0.95,-0.08,-0.18
0.15,0.0,9.48,-0.01,-0.73,0.0,0.82,0.04,-0.06
0.15999999999999998,-0.2799999999999727,9.58,0.28,-0.16,0.0,-1.5,-0.08,-0.06
0.16999999999999998,0.0,9.89,-0.08,-0.23,0.0,0.46,0.1,0.06
0.18,-0.10000000000013642,9.81,0.1,-0.51,0.0,-0.15,-0.02,0.0
0.19,0.08999999999991815,9.8,-0.4,-0.74,0.0,-0.58,-0.02,-0.12
0.19999999999999998,0.2799999999999727,9.77,0.08,-0.61,0.0,1.07,0.1,0.13
0.21,0.2799999999999727,9.85,0.15,-0.52,0.0,-0.7,0.04,0.06
0.21999999999999997,0.0,9.82,0.1,-0.69,0.0,0.21,-0.02,0.0
