index, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2
10805, 101,4636,6234,-225194,1,1,-1.535643,9.808976,1.559909,-0.083440,-0.180489,0.247283,8.938695,2.965941,-5.653450,-0.118552,-1.457736,1.346815,172.081343,178.292185,171.852450,0.994909,-0.069922,0.009925,-0.071890,1336.510498,86813.625000,3.768800,-0.226617,1.671997,1.405151,1.297731,21.750000,27.406504,0,2.860000,0,0,0, 202
10806, 101,6292,6286,-223538,1,1,-1.691562,9.972071,1.314075,-0.221650,0.088924,0.395731,8.938695,2.965941,-5.172924,-0.422940,2.392087,-1.747016,172.053941,178.233991,171.858420,0.994886,-0.070195,0.010417,-0.071875,1336.608643,86810.632812,3.417875,-0.224895,1.671997,1.503296,1.287566,21.750000,27.406504,0,2.870000,0,0,0, 202
10807, 101,6343,6338,-223487,1,1,-1.499236,9.924585,1.407145,0.095073,0.086894,0.333524,9.899747,3.446467,-5.172924,-0.939939,-3.514649,-4.567571,171.540952,178.215919,171.116907,0.994072,-0.074724,0.009769,-0.078366,1336.566650,86811.859375,1.835120,0.739159,1.671997,1.461304,1.376882,21.750000,27.397423,0,2.870000,0,0,0, 202
10808, 101,6393,6391,-223437,1,1,-1.600815,9.879019,1.554622,-0.025128,-0.061909,0.326685,8.938695,2.485415,-5.653450,0.903312,0.847296,2.118419,171.512184,178.286515,171.205863,0.994127,-0.074920,0.009195,-0.077552,1336.484009,86810.101562,-1.584593,0.761395,1.671997,1.378662,1.411859,21.750000,27.388342,0,2.860000,0,0,0, 202
10809, 101,6443,6426,-223387,1,1,-1.605007,10.148954,1.518992,-0.304452,0.660530,0.137202,9.899747,4.888044,-5.172924,1.634985,-1.815192,-0.777496,171.534791,178.309998,171.157191,0.994733,-0.044874,0.012324,-0.091326,1336.323975,86819.085938,-1.863086,0.030831,1.671997,1.218628,1.376726,21.750000,27.388342,0,2.860000,0,0,0, 202
10810, 101,6493,6479,-223337,1,1,-1.372438,9.594964,1.718073,0.446264,-0.860420,-0.005122,9.419221,3.446467,-5.172924,1.206751,0.453595,-2.148163,175.037504,178.152589,169.547357,0.994716,-0.044574,0.012096,-0.091688,1336.412476,86813.210938,-1.156172,0.055970,1.671997,1.307129,1.378392,21.750000,27.383802,0,2.860000,0,0,0, 202
10811, 101,6543,6532,-223287,1,1,-1.393380,9.247007,1.329821,0.352394,-0.525121,-0.376715,9.899747,3.926993,-5.653450,1.874240,-0.327338,-3.840269,175.155420,178.154064,169.532904,0.994750,-0.068637,0.009137,-0.075353,1336.456055,86813.328125,0.675690,0.239975,1.671997,1.350708,1.366925,21.750000,27.379263,0,2.870000,0,0,0, 202
10812, 101,6592,6584,-223238,1,1,-1.558625,9.529236,1.159458,-0.107150,0.151070,-0.077539,11.341324,2.485415,-5.172924,-1.863345,3.959032,-1.879547,172.240801,178.328466,171.547687,0.994817,-0.068541,0.009528,-0.074501,1336.466797,86809.570312,-0.906864,0.223055,1.671997,1.361450,1.378044,21.750000,27.370182,0,2.870000,0,0,0, 202
10813, 101,6642,6640,-223188,1,1,-1.376830,9.153506,1.306361,0.026475,-0.050842,-0.452972,9.419221,2.485415,-5.653450,1.347169,3.891726,-1.122143,172.279665,178.197655,171.536444,0.994734,-0.070736,0.010412,-0.073429,1336.404297,86815.437500,-0.504495,-0.001475,1.671997,1.298950,1.341313,21.750000,27.374722,0,2.860000,0,0,0, 202
10814, 101,228643,229837,-1187,1,1,-1.329400,9.525978,0.928539,0.321641,0.226589,-0.146004,9.899747,4.407518,-5.653450,-0.096883,-1.278531,-1.046001,170.739771,-146.326858,166.056993,0.949796,-0.041651,-0.295941,-0.092586,1346.489258,86708.437500,0.147589,-0.292142,42.987793,11.383911,11.490851,22.625000,28.368895,1,2.870000,0,0,0, 202
