timestamp(ms),MP uptime,NAV uptime,accel x,accel y,accel z,gyro x,gyro y,gyro z,altitude,verticalvel,mag x,mag y,mag z,magraw x,magraw y,magraw z,heading,
"1694994469.55","11275",,,,,,,,,,,,,,,,,
"1694994569.876",,"111465","-9.880897","-0.093193",,,,,,,,,,,,,,
"1694994569.877",,,,,"0.147605","-0.830103","-0.886257","0.18067","1915.691162","478.991547",,,,,,,,
"1694994569.878",,,,,,,,,,,"-27.418884","-36.21748","-94.504532","-1876","-2478",,,
"1694994569.879",,,,,,,,,,,,,,,,"-6466","-127.127991",
"1694994569.979",,"111546","-9.892438","-0.087856",,,,,,,,,,,,,,
"1694994569.98",,,,,"0.138201","-0.22368","0.432142","0.869167","1915.575806",,,,,,,,,
"1694994569.981",,,,,,,,,,"478.934662","-27.19965","-36.159019","-94.72377","-1861","-2474",,,
"1694994569.982",,,,,,,,,,,,,,,,"-6481","-126.951332",
"1694994570.082",,"111709","-9.884214","-0.083962",,,,,,,,,,,,,,
"1694994570.083",,,,,"0.140805","-1.217362","-0.419935","0.463881","1915.720337",,,,,,,,,
"1694994570.084",,,,,,,,,,"478.947174","-27.535809","-36.597488","-95.045311","-1884",,,,
"1694994570.085",,,,,,,,,,,,,,,"-2504","-6503","-126.957657",
"1694994570.185",,"111790","-9.892582","-0.087279",,,,,,,,,,,,,,
"1694994570.186",,,,,"0.147026","0.051271","-0.634785","-0.607929","1915.808228",,,,,,,,,
"1694994570.187",,,,,,,,,,"478.934906","-26.337328","-36.919029","-94.489914","-1802",,,,
"1694994570.188",,,,,,,,,,,,,,,"-2526","-6465","-125.503334",
"1694994570.288",,"111871","-9.894024","-0.086702",,,,,,,,,,,,,,
"1694994570.289",,,,,"0.154983","-0.164516","-0.920438","0.424818","1915.691772","478.946716",,,,,,,,
"1694994570.29",,,,,,,,,,,"-26.878107","-36.52441","-94.943001","-1839","-2499",,,
"1694994570.291",,,,,,,,,,,,,,,,"-6496","-126.349144",
"1694994570.391",,"112033","-9.895035","-0.087135",,,,,,,,,,,,,,
"1694994570.392",,,,,"0.140805","-1.534755","0.310068","0.205084","1916.159668","478.915222",,,,,,,,
"1694994570.393",,,,,,,,,,,"-26.907337","-36.816719","-94.650688","-1841","-2519",,,
"1694994570.394",,,,,,,,,,,,,,,,"-6476","-126.161041",
"1694994570.494",,"112114","-9.881041","-0.071269",,,,,,,,,,,,,,
"1694994570.495",,,,,"0.143699","1.381878","0.063479","-0.166021","1915.719727","479.007874",,,,,,,,
"1694994570.496",,,,,,,,,,,"-26.629642","-36.641331","-93.87606","-1822","-2507",,,
"1694994570.497",,,,,,,,,,,,,,,,"-6423","-126.008347",
"1694994570.597",,"112195","-9.889842","-0.087423",,,,,,,,,,,,,,
"1694994570.598",,,,,"0.141094","-737869746455707600","0.542009","-0.605487",,,,,,,,,,
"1694994570.599",,,,,,,,,"1915.720337","478.945496","-26.191172","-36.743641","-94.41684",,,,,
"1694994570.6",,,,,,,,,,,,,,"-1792","-2514","-6460","-125.481583",
"1694994570.7",,"112276","-9.886956","-0.0955","0.151222","-0.276824",,,,,,,,,,,,
"1694994570.701",,,,,,,"1.323283","-0.41261","1915.924194","478.936462","-26.629642","-36.553638",,,,,,
"1694994570.702",,,,,,,,,,,,,"-95.074539","-1822","-2501","-6505","-126.073669",
"1694994570.802",,"112438","-9.897197","-0.087279",,,,,,,,,,,,,,
"1694994570.803",,,,,"0.143699","-0.349132","-0.385754","0.212409","1916.129272",,,,,,,,,
"1694994570.804",,,,,,,,,,"478.98291","-26.863491","-37.079803","-95.016083","-1838","-2537",,,
"1694994570.805",,,,,,,,,,,,,,,,"-6501","-125.922485",
