checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,  imutemp, barotemp, state,checksum2
101,11626,11496,0,0,-0.273904,-0.614178,-9.828574,2.013790,5.832856,0.447225,0.727194,32.461456,-54.925461,-644.000000,2158.000000,-3758.000000,47.756703,2.799624,-16.407941,0.906190,0.397346,0.079856,-0.120657,1211.906982,87498.992188,0.032629,1729.280151,28.375000,30.116844,0,202
101,13701,13614,0,0,-0.540455,-0.421591,-9.872874,0.068960,0.091510,0.718015,0.562200,32.244053,-56.372406,-671.000000,2120.000000,-3857.000000,71.334550,0.928357,-18.835030,0.802214,0.574123,0.101897,-0.128269,1211.899048,87499.078125,-0.122322,1729.280151,28.375000,30.163193,0,202
101,15781,15662,0,0,-0.652317,-0.261994,-9.833194,-1.200794,1.108641,-0.960858,0.947187,32.347034,-56.591640,-608.000000,2138.000000,-3872.000000,82.697116,0.973595,-15.441022,0.744627,0.653769,0.095068,-0.095285,1212.206909,87495.796875,0.690488,1729.280151,28.500000,30.191002,0,202
101,17861,17713,0,0,-0.503841,0.492400,-9.840889,-4.941430,14.375487,82.046835,10.828527,32.490059,-54.560070,1009.000000,2163.000000,-3733.000000,81.866497,-9.927311,48.972361,0.708445,0.566925,-0.330024,0.260360,1212.042236,87497.554688,-0.155347,1729.280151,28.500000,30.237350,0,202
101,19937,19848,0,0,0.673976,-0.373282,-9.827329,-0.758263,2.665496,0.686704,13.865649,33.096497,-34.025139,1506.000000,2269.000000,-2328.000000,76.748431,-0.421177,80.893557,0.598087,0.470558,-0.404926,0.506856,1212.171265,87496.171875,0.102213,1729.280151,28.375000,30.251255,0,202
101,22080,21946,0,0,0.665356,-0.218692,-9.813431,0.856500,1.946930,-0.250810,13.932871,33.165146,-34.156681,1517.000000,2281.000000,-2337.000000,79.588772,1.235593,81.161260,0.579029,0.491462,-0.410037,0.505035,1212.007202,87497.921875,0.034198,1729.280151,28.500000,30.302238,0,202
101,24160,24070,0,0,0.678322,-0.155645,-9.817091,0.377543,1.722319,-0.948843,13.792318,33.085052,-34.244373,1494.000000,2267.000000,-2343.000000,81.128386,1.740600,81.070719,0.570873,0.501673,-0.413823,0.501178,1211.938110,87498.656250,0.320362,1729.280151,28.500000,30.320778,0,202
101,26240,26116,0,0,0.661777,-0.296780,-9.818235,-0.027754,1.106396,-0.356016,13.932871,33.050724,-35.296696,1517.000000,2266.000000,-2398.000000,81.752727,2.387436,81.165433,0.565257,0.507157,-0.413680,0.502140,1211.959106,87498.437500,-0.378074,1729.280151,28.500000,30.353222,0,202
101,28326,28244,0,0,0.683835,-0.166700,-9.816772,0.939656,2.828077,0.302681,13.945091,33.199474,-34.127445,1497.000000,2287.000000,-2335.000000,81.788558,2.915067,81.287939,0.562538,0.509105,-0.411693,0.504849,1211.862915,87499.460938,-0.638418,1729.280151,28.625000,30.385664,0,202
101,30413,30293,0,0,0.665505,-0.395531,-9.821856,0.000884,3.475487,0.834355,14.122309,33.153706,-33.425900,1548.000000,2279.000000,-2287.000000,81.900634,2.567895,81.607524,0.561969,0.507044,-0.415369,0.504544,1211.945557,87498.585938,0.155592,1729.280151,28.625000,30.413473,0,202
101,32500,32421,0,0,0.954645,-0.848777,-9.880987,6.560242,5.851224,-2.237557,14.397300,32.821880,-37.079803,1593.000000,2221.000000,-2537.000000,84.151844,3.054134,79.592809,0.558661,0.527343,-0.413564,0.488642,1212.192139,87495.953125,0.310948,1729.280151,28.750000,30.422743,0,202
101,34555,34454,0,0,0.195227,1.442927,-9.237166,-12.997864,10.665707,87.764365,11.891827,33.542740,-40.236774,1183.000000,2347.000000,-2753.000000,89.294048,-4.711361,84.552735,0.545394,0.499850,-0.493974,0.456821,1212.171265,87496.171875,0.171744,1729.280151,28.625000,30.455185,0,202
101,36612,36489,0,0,-0.014993,-1.231809,-10.616696,-14.355724,11.865427,-26.831481,16.523895,31.723431,-29.845074,1941.000000,2029.000000,-2042.000000,93.385283,-7.217917,124.343935,0.360070,0.300841,-0.662409,0.584002,1212.260620,87495.218750,0.414305,1729.280151,28.750000,30.478359,0,202
101,38727,38574,0,0,0.518516,0.204664,-9.876561,-0.579196,0.753863,-0.429810,12.026265,33.199474,-19.161064,1205.000000,2287.000000,-1311.000000,91.006417,-15.398443,137.857041,0.338885,0.166520,-0.693353,0.613751,1211.877563,87499.304688,-0.397346,1729.280151,28.625000,30.506166,0,202
101,40782,40692,0,0,0.602002,0.301254,-9.888747,-0.256651,1.078731,0.137801,11.934603,33.445480,-18.225666,1190.000000,2330.000000,-1247.000000,88.433376,-11.168854,136.523693,0.327221,0.192273,-0.670537,0.637446,1211.877563,87499.304688,-0.052630,1729.280151,28.625000,30.524706,0,202
101,42840,42728,0,0,1.010907,0.492866,-9.847999,0.503886,1.770865,0.105409,11.574059,33.285290,-17.991816,1131.000000,2302.000000,-1231.000000,86.552751,-11.116021,135.813285,0.334066,0.191286,-0.658718,0.646452,1211.864624,87499.445312,-0.257348,1729.280151,28.750000,30.552513,0,202
101,44901,44765,0,0,0.491271,0.427113,-9.845649,-2.152249,-0.150028,0.025440,11.891827,33.159424,-19.204912,1206.000000,2300.000000,-1314.000000,86.465714,-8.141439,135.236926,0.321683,0.212334,-0.651461,0.653477,1211.905884,87499.007812,-0.707514,1729.280151,28.750000,30.571053,0,202
101,46963,46804,0,0,0.638068,0.249753,-9.876962,-0.657020,2.022629,-0.023158,11.934603,33.142265,-18.766441,1190.000000,2277.000000,-1284.000000,86.128153,-7.682726,134.664638,0.323138,0.217392,-0.647519,0.655013,1212.152588,87496.375000,-0.380884,1729.280151,28.750000,30.584957,0,202
