{uptime mp, euler x, euler y, euler z},
{11626,47.756703,2.799624,-16.407941},
{13701,71.334550,0.928357,-18.835030},
{15781,82.697116,0.973595,-15.441022},
{17861,81.866497,-9.927311,48.972361},
{19937,76.748431,-0.421177,80.893557},
{22080,79.588772,1.235593,81.161260},
{24160,81.128386,1.740600,81.070719},
{26240,81.752727,2.387436,81.165433},
{28326,81.788558,2.915067,81.287939},
{30413,81.900634,2.567895,81.607524},
{32500,84.151844,3.054134,79.592809},
{34555,89.294048,-4.711361,84.552735},
{36612,93.385283,-7.217917,124.343935},
{38727,91.006417,-15.398443,137.857041},
{40782,88.433376,-11.168854,136.523693},
{42840,86.552751,-11.116021,135.813285},
{44901,86.465714,-8.141439,135.236926},
{46963,86.128153,-7.682726,134.664638},
{49024,85.737172,-7.136711,133.915066},
{51091,85.481272,-6.976393,133.234233},
{53156,85.565475,-6.893807,132.680673},
{55279,84.977334,-7.349678,132.074057},
{57346,85.305900,-6.730424,131.687946},
{59416,84.937719,-6.853306,131.158661},
{61482,84.669026,-6.529729,130.470943},
{63555,126.591833,-129.310835,117.568101},
{65625,170.338593,174.318462,18.063912},
{67700,50.525464,7.704706,171.348245},
{69778,71.869402,5.422475,162.131096},
{71911,81.647808,7.583212,127.565490},
{73985,83.093267,11.004140,152.394689},
{76058,87.810503,3.929832,150.858798},
{78134,80.358712,-2.227551,171.132329},
{80209,81.859851,-1.572255,-144.954523},
{82289,86.732194,-3.827014,-145.269654},
{84365,88.744026,-5.228296,-145.433306},
{86450,89.592179,-6.057020,-145.520691},
{88585,90.367091,-6.317479,-145.566808},
{90667,90.550864,-6.420863,-145.429071},
{92748,90.334941,-6.402888,-145.642487},
{94832,90.282629,-6.249454,-145.846723},
{96919,90.216888,-6.257193,-146.429912},
{98975,89.920274,-6.928391,-146.477874},
{101032,92.274954,-65.619116,-122.829177},
{103090,8.505775,75.052441,-71.142212},
{105206,172.202852,102.096964,148.298570},
{107265,161.315763,95.907098,111.431292},
{109326,1.737474,83.891163,-115.704347},
{111388,1.385389,82.929944,-127.864666},
{113449,0.262811,82.796311,-132.843833},
{115514,179.621899,98.219001,45.201092},
{117580,0.493594,81.050344,-136.964240},
{119646,1.557266,80.206618,-138.808063},
{121778,0.277757,79.442374,-137.684511},
{123845,0.186384,78.152589,-137.645920},
{125913,0.486973,77.322038,-138.106534},
{127982,0.084109,76.855331,-137.931258},
{130053,0.480955,76.093731,-138.411939},
{132125,0.745632,75.214514,-138.799880},
{134198,0.666259,74.734591,-138.919559},
{136274,0.427881,74.261362,-138.153253},
{11588,14.685511,-20.129904,-73.531180},
{13665,8.064971,-27.285334,-111.028461},
{15745,3.282987,-29.142904,-128.694069},
{17884,0.936769,-29.805880,-136.887810},
{19965,176.028264,-148.580465,31.730829},
{22047,0.266602,-33.017998,-141.407496},
{24126,179.949202,-145.526770,36.927066},
{26212,179.954721,-143.849808,35.995251},
{28348,179.968832,-142.022855,35.447039},
{30405,0.105459,-39.804362,-144.755901},
{32465,0.062999,-40.070503,-144.438188},
{34584,0.104683,-41.582789,-144.520792},
{36642,0.023885,-42.394861,-144.263103},
{38701,0.193862,-43.762316,-144.565380},
{40763,179.961210,-134.394326,35.243216},
{42825,0.027985,-48.047140,-144.989821},
{44887,0.035344,-49.085260,-144.786145},
{46951,0.105538,-49.931483,-144.332784},
{49014,179.861024,-128.437473,35.273289},
{51139,0.226049,-52.501366,-144.534097},
{53204,179.921786,-125.997251,35.319233},
{55271,0.201050,-55.108627,-144.627425},
{57340,0.213813,-55.319147,-144.363630},
{59412,179.954721,-124.331177,35.635737},
{61483,0.090396,-56.776904,-144.568153},
{63555,179.915447,-122.476043,35.338880},
{65631,0.050285,-59.362158,-144.809982},
{67761,0.089711,-60.250697,-144.641058},
{69833,179.959188,-118.048181,34.815448},
{71908,0.080271,-63.341037,-145.113885},
{73984,0.145044,-64.444720,-144.921834},
{76065,0.070203,-65.640358,-144.919826},
{78143,0.365953,-67.227858,-144.860990},
{80219,0.129394,-68.249456,-145.154962},
{82301,0.671520,-67.758639,-144.459908},
{84441,171.403146,-111.590108,-5.828216},
{86521,105.170181,-109.949004,-44.292950},
{88603,45.336620,-104.151212,-70.223449},
{90685,88.057579,-32.687626,54.291753},
{92814,77.338942,-17.210929,21.747954},
{94877,88.175140,-3.251159,18.135390},
{96931,96.213945,1.850379,16.456723},
{98992,96.639602,2.907504,50.212214},
{101103,97.069651,10.412099,44.814930},
{103163,101.866111,5.921791,64.545766},
{105237,91.073831,16.566340,75.465025},
{107297,82.300808,3.338904,70.601056},
{109359,83.847464,0.117654,66.142596},
{111424,83.461886,-0.400612,66.360615},
{113493,83.252971,-0.765744,66.209470},
{115561,83.328622,3.135636,65.492157},
{117685,109.755300,20.406715,66.397990},
{119751,88.396902,8.577778,54.446279},
{121817,87.710462,6.398447,62.676398},
{123886,90.864732,5.341336,-13.372451},
{125956,92.311748,-8.260715,-126.150083},
{128025,84.721400,-0.541633,-123.165181},
{130099,85.263697,2.696417,-120.291407},
{132172,84.284678,-6.890465,-121.077001},
{134304,91.597242,-7.600771,-130.423077},
{136379,92.106774,-6.848868,-127.939866},
{138455,92.356459,-9.315253,-118.426177},
{140532,90.012024,-7.942254,-118.966951},
{142609,92.129041,-8.718586,-117.753964},
{144688,90.082238,-5.446029,-121.478767},
{146769,91.267447,-3.572964,-113.973468},
{148848,92.729264,-3.764466,-113.857157},
{150985,90.967342,-6.382726,-92.562327},
{153065,88.981519,-1.857558,-105.154164},
{155150,84.770366,3.050507,-106.205070},
{157280,85.648291,-7.447550,-77.932868},
{159335,69.169940,-10.301355,173.134176},
{161391,67.367576,6.790732,171.566115},
{163474,83.111941,53.566319,-168.485973},
{165538,24.909416,156.066476,-86.898127},
{167655,17.182787,173.382563,-101.021107},
{169714,11.195843,178.799941,-116.490338},
{171775,7.584788,-178.994820,-131.089321},
{173838,5.862427,-178.818246,-140.553217},
{175900,4.556303,-178.739876,-144.601621},
{177965,3.862105,179.983435,-148.339442},
{180029,152.661818,-16.399284,58.072140},
{182097,90.243232,-21.594567,52.765489},
{184217,77.237275,6.865158,121.240475},
{186283,56.625967,2.016534,-162.487455},
{188351,137.218965,8.904796,-104.101092},
{190424,8.865633,163.475100,58.493972},
{192496,34.685254,-173.325763,-87.986087},
{194567,17.704436,-161.638134,-117.176772},
{196638,9.964351,-160.344701,-134.291177},
{198710,32.413858,-170.623999,-126.137871},
{200841,33.951183,-168.945672,-138.650859},
{202915,34.492066,-169.728985,-148.874177},
{204994,35.908828,-177.116709,-147.226121},
{207068,39.366263,178.857874,-148.450569},
{209149,39.406377,177.595410,-141.724376},
{211228,39.355267,-179.963040,-137.461437},
{213312,36.137991,179.233098,-147.987359},
{215390,44.858627,173.025863,-138.047754},
{217531,43.793971,176.803640,-134.930756},
{219618,63.355646,169.771401,-135.089339},
