checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,1260387,1252626,0,0,-0.177125,0.500252,9.898839,0.354960,0.654396,0.094211,-18.479397,40.888618,-0.321543,-3787.000000,3631.000000,-22.000000,4.268216,-86.976380,69.927217,0.608846,-0.371965,-0.579086,0.394471,1214.335449,87473.000000,-0.153709,1.551636,1.353394,1.311904,35.000000,38.999214,0,202
101,1262394,1262310,0,0,-0.164170,0.498941,9.900160,-0.031020,-0.137473,0.366430,-18.503839,40.928665,-0.643087,-3791.000000,3638.000000,-44.000000,6.118524,-86.963007,71.786914,0.608505,-0.371485,-0.579361,0.395046,1214.402954,87475.445312,0.144479,1.561157,1.420898,1.417515,35.000000,39.003880,0,202
101,1264451,1264328,0,0,-0.163241,0.501983,9.896131,-0.100714,0.115368,-0.144024,-18.357176,40.985878,-1.286174,-3767.000000,3648.000000,-88.000000,5.016023,-86.967706,70.520877,0.609269,-0.370959,-0.579691,0.393877,1214.455566,87470.585938,0.063641,1.561157,1.473511,1.416834,35.000000,39.003880,0,202
101,1266509,1266423,0,0,-0.181434,0.488651,9.897257,0.723711,0.253021,-0.536676,-18.784939,40.951550,-0.087694,-3837.000000,3642.000000,-6.000000,4.897716,-86.968717,70.367498,0.609409,-0.370816,-0.579786,0.393656,1214.417480,87470.890625,-0.168771,1.573364,1.435425,1.461504,35.000000,39.003880,0,202
101,1268567,1268439,0,0,-0.194344,0.484917,9.890740,0.037296,0.061211,0.087092,-18.485506,41.083138,-1.154633,-3788.000000,3665.000000,-79.000000,2.385879,-86.976551,68.160254,0.608810,-0.373043,-0.578350,0.394588,1214.430786,87473.375000,0.081501,1.573364,1.448730,1.448134,35.000000,39.022541,0,202
101,1270635,1270509,0,0,-0.156525,0.505892,9.897131,0.318929,-0.060841,-0.014402,-18.589392,40.757034,-0.613856,-3805.000000,3608.000000,-42.000000,4.580251,-86.948315,70.203198,0.609042,-0.371595,-0.579123,0.394463,1214.505127,87472.765625,-0.036196,1.582642,1.523071,1.456218,35.000000,39.022541,0,202
101,1272723,1272606,0,0,-0.175723,0.488677,9.891378,-1.102452,0.051758,-0.110048,-18.558836,40.779922,0.102309,-3800.000000,3612.000000,7.000000,4.699035,-86.994651,70.221878,0.609142,-0.371236,-0.579705,0.393792,1214.472900,87470.953125,0.064859,1.582642,1.490845,1.485560,35.000000,39.027206,0,202
101,1274837,1274680,0,0,-0.188578,0.495685,9.897576,-0.084132,0.066064,-0.193003,-18.564949,40.940105,0.000000,-3801.000000,3640.000000,0.000000,4.770742,-86.887397,70.174101,0.610049,-0.370201,-0.579566,0.393568,1214.222778,87476.812500,-0.183253,1.582642,1.240723,1.290057,35.000000,39.059864,0,202
101,1276899,1276752,0,0,-0.178107,0.495343,9.905251,-0.400343,0.226687,0.026119,-18.729942,41.128902,-0.526162,-3828.000000,3673.000000,-36.000000,4.711374,-86.958021,70.223340,0.609352,-0.371037,-0.579558,0.393871,1214.380005,87472.851562,-0.264691,1.582642,1.397949,1.403130,35.000000,39.055199,0,202
101,1278966,1278849,0,0,-0.182215,0.478232,9.888382,-0.373754,-0.280584,-0.411468,-18.540506,41.077415,0.833090,-3797.000000,3664.000000,57.000000,5.190612,-86.992882,70.693797,0.609121,-0.371003,-0.579857,0.393820,1214.342773,87474.117188,-0.313931,1.709961,1.360718,1.370486,35.000000,39.073860,0,202
101,1281054,1280901,0,0,-0.184302,0.497489,9.909503,-0.041144,-0.260910,0.017625,-18.442730,41.020206,0.453084,-3781.000000,3654.000000,31.000000,5.455600,-86.930270,71.099599,0.608878,-0.371403,-0.579142,0.394869,1214.376343,87473.789062,-0.072852,1.709961,1.394287,1.459093,35.125000,39.064529,0,202
101,1283142,1283016,0,0,-0.178410,0.500147,9.898168,0.814141,-0.374893,0.268355,-18.839937,40.865734,0.876937,-3846.000000,3627.000000,60.000000,5.432927,-86.993865,70.958692,0.608990,-0.371060,-0.579837,0.393998,1214.392822,87472.648438,-0.062012,1.709961,1.410767,1.409654,35.000000,39.092522,0,202
101,1285230,1285114,0,0,-0.168211,0.488960,9.899165,0.605026,0.435274,-0.040377,-18.650499,40.739872,0.087694,-3815.000000,3605.000000,6.000000,4.503320,-86.996966,70.097091,0.608926,-0.371654,-0.579448,0.394110,1214.354370,87472.382812,-0.019635,1.709961,1.372314,1.299506,35.125000,39.106518,0,202
101,1287318,1287165,0,0,-0.184153,0.484719,9.895697,-0.405964,-0.155382,-0.175507,-18.723833,41.100300,0.131540,-3827.000000,3668.000000,9.000000,3.695315,-87.000518,69.197377,0.609381,-0.371412,-0.579607,0.393401,1214.362061,87472.367188,-0.095583,1.709961,1.380005,1.378185,35.125000,39.101852,0,202
101,1289394,1289280,0,0,-0.175643,0.484056,9.896312,0.267904,-0.402658,-0.540271,-18.577169,40.940105,0.248465,-3803.000000,3640.000000,17.000000,5.168219,-86.984365,70.734887,0.608948,-0.371297,-0.579604,0.394183,1214.375000,87475.195312,0.052830,1.709961,1.392944,1.472283,35.125000,39.134510,0,202
101,1291524,1291435,0,0,-0.179609,0.497917,9.894048,-0.372855,-0.495693,0.105970,-18.454950,41.146069,-1.154633,-3783.000000,3676.000000,-79.000000,5.495367,-86.930925,71.032041,0.609237,-0.370853,-0.579501,0.394307,1214.402344,87472.789062,0.135095,1.709961,1.420288,1.441973,35.125000,39.143841,0,202
101,1293593,1293483,0,0,-0.181631,0.476628,9.889597,0.476380,0.195527,0.169857,-18.552727,41.008762,-0.175387,-3799.000000,3652.000000,-12.000000,3.780520,-86.950760,69.365181,0.609320,-0.371620,-0.579102,0.394040,1214.361816,87473.101562,0.020941,1.709961,1.379761,1.432173,35.125000,39.148506,0,202
