checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,322135,319105,0,0,0.817812,-0.598308,9.834366,0.809239,0.152227,0.883112,-6.972553,43.217102,1.885414,-1904.000000,4038.000000,129.000000,135.472240,-84.195230,-143.862936,0.502630,-0.454448,-0.574046,0.459687,1232.238037,87282.765625,-0.061910,1.455688,1.273315,1.265883,24.500000,26.545038,0,202
101,324143,324058,0,0,0.809029,-0.578547,9.845196,-0.207328,-0.027697,1.396003,-6.862555,43.148449,2.002338,-1886.000000,4026.000000,137.000000,134.648765,-84.231286,-144.430975,0.501874,-0.455240,-0.572778,0.461307,1232.297607,87282.640625,-0.013684,1.455688,1.332886,1.337708,24.500000,26.582432,0,202
101,326211,326078,0,0,0.831939,-0.593485,9.826879,-0.347725,-0.283397,0.183492,-6.679229,43.371574,2.133879,-1856.000000,4065.000000,146.000000,134.755275,-84.113704,-144.142646,0.500386,-0.456131,-0.572755,0.462072,1232.268555,87281.812500,0.081664,1.455688,1.303833,1.298704,24.500000,26.610476,0,202
101,328267,328124,0,0,0.822874,-0.546590,9.842684,-0.273734,0.117878,0.505857,-6.770893,43.320084,2.820812,-1871.000000,4056.000000,193.000000,133.162215,-84.190906,-145.622830,0.500517,-0.455757,-0.571755,0.463534,1232.271484,87280.445312,-0.024694,1.455688,1.306763,1.272431,24.500000,26.619823,0,202
101,330328,330184,0,0,0.827646,-0.611163,9.846719,0.035420,-0.203376,-0.388112,-6.783113,43.131287,2.046185,-1873.000000,4023.000000,140.000000,135.421874,-84.035041,-143.556506,0.500175,-0.456099,-0.573572,0.461318,1232.276001,87281.625000,-0.027056,1.455688,1.311279,1.312737,24.500000,26.643194,0,202
101,332445,332333,0,0,0.817620,-0.567175,9.834830,-0.176865,0.226042,-0.517694,-7.314764,43.451668,1.695411,-1960.000000,4079.000000,116.000000,135.946255,-84.220010,-143.719024,0.504089,-0.453103,-0.575227,0.457936,1232.151367,87283.757812,0.040752,1.455688,1.186646,1.171667,24.500000,26.647867,0,202
101,334503,334350,0,0,0.819649,-0.548451,9.846951,-0.797007,-0.082946,0.636687,-6.862555,43.331524,2.820812,-1886.000000,4058.000000,193.000000,135.120307,-84.099552,-144.144599,0.501754,-0.454515,-0.574315,0.460241,1232.179199,87284.648438,0.012461,1.455688,1.214478,1.272485,24.500000,26.671238,0,202
101,336560,336480,0,0,0.814319,-0.599721,9.837788,-0.162193,-0.400816,1.599270,-6.880889,43.159893,2.075417,-1900.000000,4048.000000,148.000000,134.940168,-84.174527,-143.999198,0.500931,-0.456082,-0.572570,0.461758,1232.161865,87284.875000,0.053327,1.455688,1.197144,1.272388,24.625000,26.689934,0,202
101,338625,338544,0,0,0.828438,-0.565475,9.835537,0.369355,0.077391,-0.452962,-7.192544,43.497440,1.783104,-1940.000000,4087.000000,122.000000,136.467740,-84.104245,-142.799243,0.501735,-0.455361,-0.574353,0.459377,1232.175049,87282.445312,-0.012227,1.455688,1.210327,1.319499,24.625000,26.708630,0,202
101,340693,340600,0,0,0.819431,-0.563580,9.837571,0.177495,-0.261881,1.347670,-7.259765,43.274315,1.768489,-1951.000000,4048.000000,121.000000,134.064141,-84.227297,-145.480967,0.503752,-0.452545,-0.574612,0.459628,1232.303955,87281.617188,0.260485,1.455688,1.339233,1.335316,24.625000,26.713305,0,202
