rkf,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,imutemp,pressure,altitude,bmptemp,verticalvelocity,apoogee,state,uptime(milliseconds),errorflag
0,    7.6707,    2.2548,    6.0145,   -2.6630,   -0.3867,   -7.9365,  -12.9903,   52.2393,  115.8277,   42.2500,87770.4375,    0.7114,   44.9905,    0.2433,    1.1755,0,10086,1
0,    8.1281,    2.4733,    6.9114,   -2.7241,  -18.9009,    1.4930,  -24.4018,   40.8634,  112.7664,   42.2500,87768.1953,    0.9207,   45.0091,    0.4742,    0.9836,0,15105,1
0,    7.2967,    0.4414,    6.7489,   10.6792,   -3.0667,    6.2736,  -14.8426,   43.7264,  103.0412,   42.3750,87771.7578,    0.5874,   45.0371,    0.2137,    0.8574,0,20126,1
0,    0.4011,    4.0184,    6.9703,   26.1231,    9.7951,   99.4248,   -8.1210,    4.0689,  118.1751,   42.2500,87775.4688,    0.2404,   45.0558,    0.0591,    0.4431,0,25144,1
0,    7.6908,    1.2518,   -6.9152,    1.7443,    4.4224,  -64.9015,  -13.7254,  129.7925,  196.4875,   42.2500,87778.9922,   -0.0884,   45.0745,    0.8932,    0.0254,0,30168,1
0,    7.6858,    2.2824,   -6.2808,    2.4095,   -1.6501,   -0.1044,   -8.1023,  126.9644,  205.8139,   42.3750,87784.9766,   -0.6482,   45.0978,   -0.1191,   -0.0959,0,35187,1
0,    7.9185,    1.7051,   -6.3261,   -1.9715,   -0.7534,   -2.7879,   -8.1670,  129.6464,  201.2933,   42.3750,87781.9766,   -0.3675,   45.1071,    0.1055,   -0.0210,0,40205,1
0,   -2.9704,    2.2093,   13.8838,   -0.1487,   -3.8823,  -93.3578,   75.3777,   45.3551,  118.3551,   42.3750,87764.2656,    1.2882,   45.1351,    1.0121,    1.5213,0,45224,1
0,    1.3985,   -0.2870,    7.9647,   -3.0037,    2.2296,  -10.5110,   86.6645,   61.5936,  115.3884,   42.3750,87775.9766,    0.1928,   45.1445,   -0.3693,    0.5653,0,50273,1
0,    0.6246,   -1.4896,    9.6822,   -1.2880,    2.2110,    2.2849,   86.2784,   62.0355,   83.6961,   42.3750,87776.6953,    0.1261,   45.1585,    0.1250,    0.2999,0,55294,1
0,    0.5226,   -1.5345,    9.6540,   -2.9855,    0.9122,    4.4900,   84.8529,   62.2741,   79.3775,   42.3750,87776.7656,    0.1192,   45.1771,   -0.3041,    0.3740,0,60318,1
