rkf,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,imutemp,pressure,altitude,bmptemp,verticalvelocity,apoogee,state,uptime(milliseconds),errorflag
0,   -5.2565,    7.7158,    0.0306,   -1.1594,    0.5281,   -0.5354,    7.9160,    3.6631,    1.6007,   35.3750,87792.5859,   -0.0549,   37.5651,    0.0201,    0.0413,0,24377,17
0,   -4.5564,    8.2435,    0.0412,   -1.1815,    0.1890,   -0.1505,   -8.0245,    3.1181,   15.5720,   35.5000,87789.5313,    0.2303,   37.6118,    0.5812,    0.2303,0,29405,17
0,   -4.5749,    8.2821,    0.0289,    1.3406,   -1.3274,   -0.4210,   -8.1074,    3.9333,   16.5389,   35.3750,87791.8203,    0.0164,   37.6165,    0.2073,    0.2179,0,34434,17
0,   -4.5648,    8.2559,    0.0379,    1.8378,    0.0462,    0.7308,   -6.8887,    3.8337,   17.8306,   35.5000,87789.9609,    0.1902,   37.6118,    0.9829,    0.3293,0,39462,17
0,   -4.5641,    8.2812,    0.0279,    0.9119,    1.7478,   -0.4768,   -6.2480,    4.9239,   18.0851,   35.5000,87790.1250,    0.1749,   37.6118,    0.5542,    0.1749,0,44491,17
0,   -4.5375,    8.2948,    0.0337,   -2.3078,    1.0144,    1.0347,   -6.4187,    6.7012,   18.6357,   35.3750,87792.4141,   -0.0391,   37.5511,   -0.6751,    0.3639,0,49519,17
0,   -4.5551,    8.2743,    0.0356,   -1.1365,   -0.4614,    0.0149,   -5.8333,    9.1458,   18.1417,   35.3750,87791.9844,    0.0011,   37.6118,   -0.3040,    0.4822,0,54563,17
0,   -4.5557,    8.2784,    0.0408,   -1.5442,    0.5120,    0.5540,   -5.5730,    9.6100,   18.9707,   35.3750,87791.7891,    0.0193,   37.5885,   -0.3044,    0.1595,0,59592,17
0,   -4.5437,    8.2819,    0.0222,   -0.2968,   -0.5248,    0.2869,   -4.2565,   10.8155,   18.6684,   35.5000,87793.6797,   -0.1574,   37.5791,   -0.5502,    0.1833,0,64621,17
0,   -4.5706,    8.2590,    0.0131,    3.1082,    0.2346,   -0.9012,   -3.7741,   11.3873,   19.5560,   35.3750,87792.1563,   -0.0153,   37.5558,   -0.5004,    0.2247,0,69649,17
0,    1.8742,   -1.0923,    9.6313,    2.5576,    1.8710,    2.5884,   -0.5955,    1.1873,   -2.0950,   33.0000,87779.8906,    0.1651,   35.5509,    0.3484,    0.3869,0,5022,1
0,    1.7607,   -1.2570,    9.6434,    1.6992,   -1.0970,    1.3484,   -0.2322,    1.0421,   -2.3153,   33.1250,87777.6484,    0.3745,   35.6584,    0.1731,    0.6174,0,10039,1
0,    3.8306,   -1.4115,    9.6024,   -6.3094,   -1.7394,  -23.6960,   -2.3046,    3.1094,   -2.3320,   33.3750,87780.5859,    0.1001,   35.7893,   -0.1141,    0.3774,0,15077,1
0,    1.8846,   -1.1229,    9.6325,   -0.2980,   -0.0691,    1.5296,   -1.1057,    3.1187,    0.7410,   33.5000,87779.3516,    0.2156,   35.9388,   -0.1446,    0.5359,0,20096,1
0,    1.7101,   -1.3910,    9.6427,    0.2599,    0.7286,    3.6678,    0.3018,    2.4940,    0.3020,   33.6250,87779.7266,    0.1810,   36.0790,    0.3364,    0.3463,0,25114,1
0,    1.7633,   -1.2684,    9.6338,   -0.0568,    0.2257,    1.5893,   -1.1101,    4.2103,    1.5235,   33.8750,87780.9141,    0.0694,   36.2052,    0.0304,    0.1391,0,30133,1
0,    1.7621,   -1.3080,    9.6480,   -0.5016,   -0.3912,    1.0299,   -0.5882,    4.0701,    2.1891,   33.8750,87783.5703,   -0.1784,   36.3361,   -0.8090,    0.4945,0,35151,1
0,    1.7995,   -1.2338,    9.6334,    0.4074,   -0.9744,   -0.7900,   -0.9667,    4.4874,    2.7836,   34.0000,87779.1484,    0.2342,   36.4716,   -0.7385,    0.3650,0,40170,1
0,    1.7558,   -1.3121,    9.6457,    0.7986,    0.6839,    1.6043,   -1.0464,    4.6587,    3.5059,   34.1250,87779.8516,    0.1686,   36.5931,    0.3913,    0.1686,0,45188,1
0,    1.7449,   -1.2152,    9.6530,   -2.1118,    2.8374,    3.6617,   -1.1957,    5.6933,    5.4619,   34.1250,87776.5938,    0.4736,   36.7146,    1.1495,    0.4929,0,50215,1
0,    1.8128,   -1.2368,    9.6233,    1.9189,    0.1274,    2.4849,   -0.9868,    5.6915,    6.2162,   34.3750,87778.7578,    0.2710,   36.8315,   -0.5500,    0.5342,0,55233,1
0,    1.8238,   -1.2052,    9.6240,    0.6943,    0.5978,   -0.6047,    0.0269,    6.2022,    6.2067,   34.5000,87778.7578,    0.2710,   36.9623,    0.3537,    0.2710,0,60252,1
0,    1.8066,   -1.2587,    9.6162,    0.8503,   -0.7684,   -1.4500,    1.0212,    7.2901,    6.2916,   34.6250,87779.9297,    0.1611,   37.0838,    0.0206,    0.2234,0,65270,1
0,    1.7986,   -1.2747,    9.6305,   -1.8388,    0.3004,   -1.3672,    0.7951,    8.7649,    7.2366,   34.6250,87781.1641,    0.0462,   37.2006,   -0.2153,    0.2201,0,70288,1
0,    1.7593,   -1.2989,    9.6317,    1.4764,    0.2470,   -0.5830,    0.9683,    8.5614,    7.6151,   34.7500,87780.5234,    0.1063,   37.3128,    0.4466,    0.3791,0,75307,1
0,    1.7445,   -1.2938,    9.6154,    0.0633,    0.5983,    0.9374,   -0.5341,    9.0491,    8.2160,   34.8750,87780.6328,    0.0956,   37.4436,   -0.1409,    0.2409,0,80324,1
0,    1.7142,   -1.3263,    9.6434,    0.6564,   -0.4320,   -0.0012,   -0.7845,    9.6007,    9.0430,   35.0000,87782.3594,   -0.0658,   37.5558,   -0.7491,    0.5460,0,85342,1
0,    1.6665,   -1.3541,    9.6501,    1.3994,   -0.1421,   -0.6007,   -1.7347,   10.0234,    9.5732,   35.1250,87778.2656,    0.3169,   37.6772,   -0.0589,    0.8263,0,90361,1
0,    1.7373,   -1.2949,    9.6348,   -0.6106,    1.2166,    1.2050,   -1.1981,   10.8990,   11.0370,   35.2500,87778.1719,    0.3259,   37.7987,   -0.5356,    0.6666,0,95379,1
0,    1.7666,   -1.2924,    9.6388,   -0.8977,   -0.5858,    2.0095,   -2.3057,   11.5845,   11.9437,   35.3750,87774.4219,    0.6762,   37.9109,   -0.1415,    0.6762,0,100397,1
