index, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2
0, 101,11655,11654,-9239,1,1,2.904660,9.398309,0.542909,-0.039255,-0.008202,0.050822,13.263428,1.524364,-5.653450,-1.328000,0.240815,0.191957,176.896463,-176.866041,-162.769760,0.987874,-0.030859,-0.022972,0.150417,1992.925537,80070.960938,1.797335,0.440073,0.172607,-0.312012,-0.329446,14.500000,19.645260,0,2.890000,0,0,0, 202
1, 101,11706,11703,-9188,1,1,2.921561,9.460248,0.531888,-0.028137,0.012648,0.114330,13.743954,0.563312,-6.133976,1.417850,0.225771,-0.948289,176.856233,-176.897282,-162.841791,0.987966,-0.031151,-0.022669,0.149798,1992.822754,80072.085938,0.946937,0.442918,0.172607,-0.414795,-0.309518,14.500000,19.640713,0,2.890000,0,0,0, 202
2, 101,11756,11753,-9138,1,1,2.924923,9.425876,0.536381,-0.005546,0.008158,0.082821,13.263428,1.524364,-6.133976,-0.113651,0.874628,0.068051,176.838952,-176.881750,-162.897867,0.988079,-0.030948,-0.022844,0.149063,1992.851318,80071.937500,-1.649979,-0.310670,0.172607,-0.386230,-0.356932,14.500000,19.645260,0,2.890000,0,0,0, 202
3, 101,11806,11803,-9088,1,1,2.931431,9.400323,0.555907,0.005454,-0.030251,0.061426,14.705005,1.524364,-6.614501,1.724084,-1.639790,1.207221,176.938004,-176.889209,-162.887813,0.988046,-0.030448,-0.022858,0.149387,1992.993164,80069.828125,1.353535,-0.306567,0.172607,-0.244385,-0.371060,14.500000,19.649809,0,2.890000,0,0,0, 202
4, 101,11856,11852,-9038,1,1,2.951622,9.389851,0.508800,0.034698,0.012688,0.054906,13.743954,2.485415,-5.172924,0.447832,-0.011119,-1.182017,176.951459,-176.844417,-162.915462,0.988073,-0.030384,-0.023269,0.149154,1992.890137,80066.734375,-0.621927,-0.302216,0.172607,-0.347412,-0.384739,14.500000,19.654356,0,2.890000,0,0,0, 202
5, 101,11906,11902,-8988,1,1,2.936968,9.414332,0.536061,0.002990,-0.015754,0.075363,13.743954,1.524364,-5.653450,0.131040,-2.135058,-1.641998,176.974259,-176.824035,-162.863976,0.988006,-0.030224,-0.023461,0.149598,1992.832764,80070.960938,-1.094000,-0.699627,0.172607,-0.404785,-0.389461,14.500000,19.645260,0,2.890000,0,0,0, 202
6, 101,11956,11951,-8938,1,1,2.890296,9.428477,0.562859,-0.033393,-0.039753,0.076455,13.263428,1.043838,-6.133976,-0.439273,1.004691,-2.116370,176.969628,-176.846903,-162.942933,0.988114,-0.030218,-0.023279,0.148913,1992.830566,80071.640625,-0.295209,-0.695872,0.172607,-0.406982,-0.420820,14.500000,19.654356,0,2.890000,0,0,0, 202
7, 101,12005,12001,-8889,1,1,2.932176,9.428539,0.544269,-0.000373,-0.012985,0.087937,14.224480,1.043838,-6.614501,1.669661,0.737231,0.150164,176.915669,-176.898320,-162.893824,0.988050,-0.030627,-0.022752,0.149338,1992.905273,80070.515625,0.666165,-0.304261,0.172607,-0.332275,-0.356558,14.500000,19.658905,0,2.890000,0,0,0, 202
8, 101,12056,12051,-8838,1,1,2.927620,9.455210,0.561852,-0.019030,-0.029505,0.112949,14.224480,2.485415,-7.095027,-0.176068,0.508348,-0.112331,176.922882,-176.902528,-162.861571,0.988011,-0.030566,-0.022717,0.149614,1993.000977,80067.718750,1.692231,-0.299937,0.172607,-0.236572,-0.370142,14.500000,19.654356,0,2.890000,0,0,0, 202
9, 101,12106,12100,-8788,1,1,2.916206,9.441285,0.525696,-0.021881,0.006900,0.094350,14.705005,2.004889,-6.614501,0.234340,-0.031393,-1.840418,176.917131,-176.872721,-162.874699,0.988176,-0.030364,-0.022986,0.148517,1992.982910,80071.640625,2.415140,0.671394,0.172607,-0.254639,-0.311622,14.500000,19.654356,0,2.890000,0,0,0, 202
10, 101,12156,12150,-8738,1,1,2.930081,9.456062,0.553142,0.011698,-0.031086,0.114006,14.224480,2.004889,-7.575553,0.207823,-2.597558,-0.697245,176.972892,-176.827655,-163.028993,0.988221,-0.030197,-0.023472,0.148174,1993.130127,80067.718750,2.105036,0.675931,0.172607,-0.107422,-0.280787,14.500000,19.654356,0,2.890000,0,0,0, 202
11, 101,12205,12199,-8689,1,1,2.941113,9.436573,0.529836,0.018879,-0.014400,0.097445,13.743954,2.965941,-6.133976,0.717767,-0.475688,1.885725,177.003724,-176.725271,-162.974570,0.988131,-0.030074,-0.024381,0.148657,1992.971436,80069.679688,0.589066,0.680017,0.172607,-0.266113,-0.250118,14.500000,19.654356,0,2.890000,0,0,0, 202
12, 101,12256,12249,-8638,1,1,2.922556,9.457783,0.560574,-0.013009,0.007988,0.113888,14.224480,1.524364,-6.133976,0.005195,-1.752301,1.048650,176.711706,-176.736513,-162.937878,0.988006,-0.032585,-0.023894,0.149032,1993.017334,80067.421875,-1.128964,0.143615,0.172607,-0.220215,-0.311802,14.500000,19.663452,0,2.890000,0,0,0, 202
13, 101,12306,12299,-8588,1,1,2.935852,9.439273,0.545928,0.006480,0.014898,0.099347,13.743954,1.524364,-6.133976,1.965020,-0.717084,0.602379,176.745379,-176.711829,-162.942400,0.988015,-0.032326,-0.024152,0.148991,1992.911377,80068.695312,-0.965424,0.146374,0.172607,-0.326172,-0.305274,14.500000,19.654356,0,2.890000,0,0,0, 202
14, 101,12355,12349,-8539,1,1,2.951703,9.420493,0.543820,0.009824,0.011017,0.086050,13.263428,2.004889,-7.095027,-1.879352,3.345561,1.558841,176.774954,-176.790431,-162.836873,0.987908,-0.031991,-0.023483,0.149879,1992.748413,80071.195312,-3.461437,-0.399618,0.172607,-0.489136,-0.375135,14.500000,19.667999,0,2.890000,0,0,0, 202
15, 101,12405,12399,-8489,1,1,2.898396,9.410526,0.541647,-0.041615,0.010084,0.060554,14.224480,2.485415,-5.653450,1.463635,-1.521633,-0.607003,176.801550,-176.721637,-162.819415,0.987873,-0.031855,-0.024106,0.150038,1992.668335,80072.476562,-3.530126,-0.395924,0.172607,-0.569214,-0.393118,14.500000,19.658905,0,2.890000,0,0,0, 202
16, 101,12455,12449,-8439,1,1,2.922632,9.407229,0.538042,0.034894,-0.021214,0.064372,14.224480,1.524364,-7.095027,0.728431,-2.399384,2.900595,176.979627,-176.654332,-163.127307,0.988302,-0.030340,-0.025001,0.147358,1992.901123,80070.515625,1.253858,-0.782120,0.172607,-0.336426,-0.393869,14.500000,19.658905,0,2.890000,0,0,0, 202
17, 101,12505,12499,-8389,1,1,2.896901,9.450211,0.528563,-0.005693,-0.000555,0.097377,14.224480,1.524364,-6.614501,-0.655231,1.259378,1.529972,176.939028,-176.698742,-163.101092,0.988270,-0.030639,-0.024559,0.147584,1992.795166,80073.304688,2.165550,-0.778232,0.172607,-0.442383,-0.429061,14.500000,19.663452,0,2.890000,0,0,0, 202
18, 101,12556,12549,-8338,1,1,2.918540,9.449609,0.531333,-0.018595,0.000819,0.103289,13.743954,2.004889,-6.614501,-0.171846,-1.498148,0.492837,176.921065,-176.630632,-162.909847,0.987998,-0.030923,-0.025072,0.149251,1992.829590,80068.250000,-1.964356,-0.768732,0.172607,-0.407959,-0.450064,14.500000,19.667999,0,2.900000,0,0,0, 202
19, 101,12606,12598,-8288,1,1,2.888487,9.451952,0.537036,-0.040500,-0.000221,0.096955,13.743954,1.524364,-6.614501,0.701876,-1.051174,-1.582592,176.899454,-176.649415,-162.954093,0.988055,-0.031075,-0.024894,0.148870,1992.844482,80072.031250,0.074225,-0.764431,0.172607,-0.393066,-0.484525,14.500000,19.672548,0,2.890000,0,0,0, 202
20, 101,12655,12648,-8239,1,1,2.905874,9.454348,0.560607,-0.031848,-0.032909,0.105613,12.782902,2.004889,-6.133976,1.577763,-2.191851,1.036185,176.951528,-176.591017,-162.923371,0.988180,-0.032222,-0.025190,0.147743,1992.850342,80069.085938,-0.089052,-0.525776,0.172607,-0.387207,-0.417021,14.500000,19.672548,0,2.890000,0,0,0, 202
21, 101,12706,12698,-8188,1,1,2.906032,9.428645,0.547440,-0.005095,0.001256,0.080500,12.782902,1.524364,-7.575553,-0.046783,-1.023760,1.817509,176.812697,-176.481857,-163.035823,0.988088,-0.032020,-0.026249,0.148218,1992.831787,80072.179688,0.605583,-0.521981,0.172607,-0.405762,-0.440927,14.500000,19.667999,0,2.890000,0,0,0, 202
22, 101,12756,12747,-8138,1,1,2.917583,9.423588,0.564100,0.011584,-0.014247,0.080000,13.743954,2.004889,-7.575553,-0.862618,-0.850884,-1.988953,176.799283,-176.429332,-163.069114,0.988111,-0.032195,-0.026694,0.147945,1992.754639,80074.820312,-0.644998,-0.517533,0.172607,-0.482910,-0.464420,14.500000,19.677095,0,2.890000,0,0,0, 202
23, 101,12822,12804,-8072,1,1,2.902828,9.408664,0.552591,-0.004367,0.001643,0.060780,13.263428,2.004889,-7.095027,-0.457899,-1.061726,0.414062,176.773301,-176.328355,-163.034457,0.988028,-0.032556,-0.027522,0.148270,1992.768188,80069.625000,-2.194817,-0.847207,0.172607,-0.469360,-0.486707,14.500000,19.686192,0,2.890000,0,0,0, 202
24, 101,12895,12883,-7999,1,1,2.933074,9.418246,0.539378,0.015229,0.012340,0.078111,13.263428,1.524364,-5.653450,-0.076110,-0.834648,0.312654,176.786019,-176.228197,-162.997315,0.987866,-0.032009,-0.028497,0.149276,1992.935303,80069.976562,0.289131,-0.524335,0.172607,-0.302246,-0.405470,14.500000,19.645260,0,2.890000,0,0,0, 202
25, 101,12965,12962,-7929,1,1,2.912917,9.449894,0.555085,-0.029089,-0.003543,0.103183,14.224480,1.524364,-6.133976,-1.206071,0.981865,-0.586645,176.811823,-176.290570,-162.907771,0.987862,-0.032303,-0.027862,0.149360,1992.847656,80070.718750,0.781320,-0.518496,0.172607,-0.389893,-0.443734,14.500000,19.622520,0,2.890000,0,0,0, 202
26, 101,13034,13014,-7860,1,1,2.935143,9.403129,0.548538,0.006446,0.022910,0.064811,13.743954,1.524364,-6.614501,0.494744,0.659186,-2.117314,176.670984,-176.395072,-162.903072,0.987848,-0.033384,-0.026776,0.149413,1992.895020,80072.976562,0.490867,-0.193909,0.172607,-0.342529,-0.361621,14.500000,19.613424,0,2.890000,0,0,0, 202
27, 101,13108,13094,-7786,1,1,2.886680,9.475546,0.515638,-0.062771,0.054940,0.117559,13.743954,2.004889,-6.133976,1.702741,0.957939,1.149412,176.719670,-176.391220,-162.881188,0.988334,-0.030588,-0.027145,0.146710,1992.738037,80071.460938,-0.487341,-0.266269,0.172607,-0.499512,-0.398106,14.500000,19.599779,0,2.890000,0,0,0, 202
28, 101,13177,13172,-7717,1,1,2.959109,9.410466,0.547137,0.061469,-0.040725,0.078632,13.743954,1.043838,-5.172924,-0.035547,1.525202,1.320673,177.033449,-176.469152,-163.098101,0.988224,-0.030118,-0.026661,0.147632,1992.913818,80069.351562,-0.639128,-0.259583,0.172607,-0.323730,-0.417088,14.500000,19.604328,0,2.890000,0,0,0, 202
29, 101,13247,13224,-7647,1,1,2.923324,9.427301,0.536956,0.037826,-0.000477,0.083671,13.743954,2.485415,-6.133976,0.972661,0.902917,-0.920234,176.869716,-176.523084,-163.181156,0.988303,-0.031442,-0.026007,0.146944,1992.804443,80074.101562,0.433118,-0.132229,0.172607,-0.433105,-0.378272,14.500000,19.608875,0,2.890000,0,0,0, 202
30, 101,13321,13304,-7573,1,1,2.906137,9.387152,0.543071,0.038201,-0.013148,0.040623,14.224480,0.563312,-5.653450,-0.384932,0.323460,-1.864624,176.893826,-176.509942,-163.214446,0.988072,-0.031792,-0.026127,0.148395,1992.719238,80070.476562,-0.926594,-0.326845,0.172607,-0.518311,-0.416361,14.500000,19.599779,0,2.890000,0,0,0, 202
31, 101,13393,13381,-7501,1,1,2.914419,9.440658,0.553390,0.004694,-0.026515,0.094725,13.743954,2.965941,-7.575553,0.551538,-0.406904,-0.762671,176.939821,-176.428007,-163.071654,0.988153,-0.030984,-0.026888,0.147890,1992.889648,80070.476562,-0.081086,-0.322257,0.172607,-0.347900,-0.439537,14.500000,19.599779,0,2.890000,0,0,0, 202
32, 101,13463,13462,-7431,1,1,2.918293,9.445025,0.532821,0.020670,0.017337,0.098905,13.743954,2.965941,-6.614501,-1.916320,-1.281313,-0.613799,176.801045,-176.439523,-163.142251,0.988209,-0.032150,-0.026629,0.147311,1992.901245,80068.367188,1.163989,-0.077687,0.172607,-0.336304,-0.413935,14.500000,19.604328,0,2.890000,0,0,0, 202
33, 101,13538,13513,-7356,1,1,2.915462,9.446950,0.517689,0.020812,0.048251,0.099001,13.263428,1.043838,-6.133976,-2.079754,1.880836,0.067809,176.710354,-176.503426,-163.153193,0.988146,-0.030656,-0.026318,0.148102,1992.917725,80069.351562,0.696923,0.107028,0.172607,-0.319824,-0.384168,14.500000,19.604328,0,2.890000,0,0,0, 202
34, 101,13611,13594,-7283,1,1,2.910963,9.423436,0.548629,0.005178,-0.014168,0.077037,14.705005,1.524364,-8.056079,-0.402746,1.875521,1.223279,176.890889,-176.595402,-163.053472,0.988166,-0.031196,-0.025376,0.148026,1992.764648,80075.085938,0.141463,0.113115,0.172607,-0.472900,-0.376138,14.500000,19.608875,0,2.890000,0,0,0, 202
35, 101,13685,13672,-7209,1,1,2.911036,9.379271,0.532533,0.018010,-0.009764,0.034040,12.782902,2.004889,-6.614501,1.993655,-1.470062,0.627944,176.941351,-176.615687,-163.046260,0.988176,-0.030737,-0.025264,0.148073,1992.739014,80074.101562,-1.119771,0.021474,0.172607,-0.498535,-0.404370,14.500000,19.608875,0,2.890000,0,0,0, 202
36, 101,13756,13753,-7138,1,1,2.893117,9.455420,0.570135,-0.024994,-0.014701,0.103509,14.224480,2.004889,-6.614501,-0.656618,0.035677,-0.260593,176.787972,-176.718085,-163.031602,0.988144,-0.031932,-0.024178,0.148212,1992.635986,80073.273438,-1.523627,-0.324001,0.172607,-0.601562,-0.467761,14.500000,19.604328,0,2.890000,0,0,0, 202
37, 101,13825,13803,-7069,1,1,2.901502,9.456143,0.529467,-0.014839,0.024845,0.104395,12.782902,2.485415,-6.133976,1.159447,-0.008752,-1.171926,176.792138,-176.719848,-163.031684,0.988146,-0.031894,-0.024169,0.148210,1992.679932,80075.085938,-1.230753,-0.319589,0.172607,-0.557617,-0.482391,14.500000,19.608875,0,2.890000,0,0,0, 202
