
index, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2
0, 101,76678,76660,1,1,1,2.017522,9.280396,0.131356,0.089828,-0.397211,-0.134637,1.250281,9.212777,-5.172924,0.836554,0.938820,1.825241,172.394630,-98.661475,-176.647366,0.755226,-0.069304,-0.648507,0.065341,1831.993164,81684.531250,-3.130601,0.543157,0.857422,0.354370,0.609723,17.875000,22.174292,0,2.900000,0,0,0, 202
1, 101,76778,76768,6,1,1,1.472599,9.500257,0.208163,-0.014383,0.276554,-0.189024,0.289230,8.732251,-4.211873,3.087897,9.188201,-0.468380,171.051842,-99.133912,-178.383955,0.758056,-0.068489,-0.645681,0.061289,1832.099609,81677.945312,-1.610087,-0.599256,0.857422,0.460815,0.496415,17.875000,22.165222,0,2.900000,0,0,0, 202
2, 101,76878,76877,14,1,1,2.060725,9.608527,0.321837,-0.109428,-0.327652,0.025222,1.250281,9.212777,-4.692398,-1.187919,-5.665878,-0.647243,173.678214,-98.731108,-175.936848,0.755976,-0.064870,-0.648348,0.062748,1832.030029,81681.726562,-0.475705,-0.308817,0.857422,0.391235,0.507786,17.875000,22.169758,0,2.900000,0,0,0, 202
3, 101,76977,76969,21,1,1,2.214908,9.625684,0.062579,0.376369,-0.551365,0.053840,0.769756,9.212777,-5.172924,-1.040191,4.615164,-0.564000,166.963100,-99.051936,176.580908,0.757645,-0.067079,-0.647196,0.051108,1832.258789,81678.921875,2.924694,0.356285,0.857422,0.619995,0.561197,17.875000,22.165222,0,2.900000,0,0,0, 202
4, 101,77077,77060,28,1,1,1.942540,9.664544,0.187556,0.015449,-0.143638,0.065657,1.250281,7.290674,-5.653450,-0.433410,-0.313227,0.806050,171.133750,-99.051397,-177.442659,0.757113,-0.073225,-0.645692,0.067085,1832.230225,81679.765625,-0.545636,0.263334,0.857422,0.591431,0.536408,17.875000,22.169758,0,2.900000,0,0,0, 202
5, 101,77177,77168,34,1,1,1.926606,9.688660,0.217893,-0.005925,0.034099,0.079699,0.769756,8.732251,-5.172924,0.361187,0.575820,1.366450,171.996867,-99.091818,-176.456489,0.757308,-0.073087,-0.645306,0.068726,1832.147461,81682.570312,-0.407902,0.184984,0.857422,0.508667,0.550483,17.875000,22.174292,0,2.900000,0,0,0, 202
6, 101,77277,77277,39,1,1,1.917122,9.656110,0.183784,0.001700,-0.003470,0.045297,1.730806,9.212777,-5.172924,-1.387362,-1.016498,-1.011388,173.242230,-99.183410,-175.463981,0.758013,-0.070452,-0.644820,0.068257,1832.264160,81678.500000,1.414426,0.224168,0.857422,0.625366,0.558340,17.875000,22.178825,0,2.890000,0,0,0, 202
7, 101,77378,77368,47,1,1,1.914651,9.662528,0.187739,-0.001835,-0.009796,0.051182,2.211333,9.212777,-4.692398,0.310110,0.614972,0.158863,173.295136,-99.223121,-175.465401,0.758246,-0.070490,-0.644553,0.068168,1832.356201,81678.500000,2.029772,0.809620,0.857422,0.717407,0.615947,17.875000,22.178825,0,2.900000,0,0,0, 202
8, 101,77478,77478,54,1,1,1.931570,9.637144,0.165149,0.032269,-0.027849,0.029105,1.730806,9.693303,-4.692398,-1.129141,2.001709,-0.587339,173.056722,-99.323156,-175.709321,0.758644,-0.070327,-0.643949,0.069593,1832.317627,81679.625000,1.093377,0.901649,0.857422,0.678833,0.639646,17.875000,22.174292,0,2.900000,0,0,0, 202
9, 101,77577,77568,59,1,1,1.938153,9.592062,0.101632,0.075239,-0.018846,-0.014867,1.250281,8.732251,-4.692398,-1.056983,-2.780125,-0.511947,173.726995,-99.302788,-174.947591,0.758677,-0.070153,-0.644000,0.068931,1832.327881,81678.500000,-0.507903,0.904115,0.857422,0.689087,0.713002,17.875000,22.178825,0,2.900000,0,0,0, 202
10, 101,77678,77676,65,1,1,1.989883,9.635475,0.201631,0.105605,-0.250033,0.036124,2.691859,7.771200,-4.692398,0.551533,-0.498539,-0.649456,170.326080,-99.266035,-179.416966,0.758911,-0.067528,-0.645039,0.058475,1832.293945,81677.804688,-0.002814,0.762617,0.857422,0.655151,0.713938,17.875000,22.169758,0,2.900000,0,0,0, 202
