Comment,Designator,Footprint,LCSC
1k,"R1,R3,R9",R_0402_1005Metric,C11702
MAX31865xTP,"U1,U3",TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm,C118474
AO3401A,Q2,SOT-23,C15127
100n,"C10,C12,C14,C16,C17,C18,C19,C20,C21,C22,C3,C4,C7,C8,C9",C_0402_1005Metric,C1525
RP2040,U6,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
22R,"R4,R5",R_0402_1005Metric,C25092
27k,R7,R_0402_1005Metric,C25771
51k,R8,R_0402_1005Metric,C25794
5.1k,R6,R_0402_1005Metric,C25905
SX1M12.000M10F30TNN,X1,OSC-SMD_4P-L2.0-W1.6-BL,C2901608
Conn_01x04,C1000,CONN-SMD_1.25-4PWB,C2905011
400,"R10,R2",R_0402_1005Metric,C41042
1u,"C1,C13,C15,C2",C_0402_1005Metric,C52923
XC6206P332MR,U2,SOT-23-3,C5446
W25Q128JVS,U5,SOIC-8_5.23x5.23mm_P1.27mm,C97521
Screw_Terminal_01x02,J1,PinHeader_1x02_P2.54mm_Vertical,
Screw_Terminal_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,
