Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,8.2308,6.2484,90.0,top
C2,1u,C_0402_1005Metric,10.2558,5.0292,-90.0,top
C3,100n,C_0402_1005Metric,2.1558,41.6192,0.0,top
C4,100n,C_0402_1005Metric,10.3558,37.9192,-90.0,top
C7,100n,C_0402_1005Metric,3.1558,31.3192,-90.0,top
C8,100n,C_0402_1005Metric,10.3632,33.8074,90.0,top
C9,100n,C_0402_1005Metric,10.4058,30.4442,-90.0,top
C10,100n,C_0402_1005Metric,4.4196,26.6446,90.0,top
C12,100n,C_0402_1005Metric,0.7874,11.049,90.0,top
C13,1u,C_0402_1005Metric,2.6558,16.3942,-90.0,top
C14,100n,C_0402_1005Metric,10.033,25.9588,-90.0,top
C15,1u,C_0402_1005Metric,1.7058,16.3942,-90.0,top
C16,100n,C_0402_1005Metric,8.4836,7.6708,180.0,top
C17,100n,C_0402_1005Metric,9.906,18.2192,-90.0,top
C18,100n,C_0402_1005Metric,5.5372,16.2814,-90.0,top
C19,100n,C_0402_1005Metric,9.8806,21.844,-90.0,top
C20,100n,C_0402_1005Metric,5.3848,26.6446,90.0,top
C21,100n,C_0402_1005Metric,0.6604,22.0218,-90.0,top
C22,100n,C_0402_1005Metric,0.635,18.4404,-90.0,top
C1000,Conn_01x04,CONN-SMD_1.25-4PWB,5.5558,2.8967,0.0,top
D1,LED,LED_0603_1608Metric,0.8058,13.8942,90.0,top
D3,LED,LED_0603_1608Metric,0.7058,33.6442,-90.0,top
Q2,AO3401A,SOT-23,2.2308,7.9817,90.0,top
R1,1k,R_0402_1005Metric,0.7558,16.4192,90.0,top
R2,400,R_0402_1005Metric,2.8558,33.7192,-90.0,top
R3,1k,R_0402_1005Metric,9.5758,9.1186,0.0,top
R4,22R,R_0402_1005Metric,4.5974,16.4592,90.0,top
R5,22R,R_0402_1005Metric,3.6322,16.3068,-90.0,top
R6,5.1k,R_0402_1005Metric,3.4544,26.6446,-90.0,top
R7,27k,R_0402_1005Metric,9.2558,6.2442,90.0,top
R8,51k,R_0402_1005Metric,10.3308,7.2136,90.0,top
R9,1k,R_0402_1005Metric,1.9058,33.7192,90.0,top
R10,400,R_0402_1005Metric,10.3808,41.1442,-90.0,top
R11,5.1k,R_0402_1005Metric,10.4708,16.3442,90.0,top
R12,5.1k,R_0402_1005Metric,9.4808,16.3192,90.0,top
U1,MAX31865xTP,TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm,6.7808,31.8067,-90.0,top
U2,XC6206P332MR,SOT-23-3,5.8053,7.5692,-90.0,top
U3,MAX31865xTP,TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm,6.7183,39.1192,-90.0,top
U5,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,6.2308,12.4968,180.0,top
U6,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,5.2704,21.5266,180.0,top
X1,SX1M12.000M10F30TNN,OSC-SMD_4P-L2.0-W1.6-BL,7.5692,27.0764,180.0,top
